Date,AC ASIA ex JP IMI WITH PARTIAL A SHARES
2008-11-27,1054.0998353511673
2008-11-28,1068.2071851231779
2008-12-30,1177.6632997267202
2008-12-31,1181.1083754913104
2009-01-29,1110.2501831812826
2009-01-30,1117.4226809911431
2009-02-26,1056.435085655514
2009-02-27,1049.7248415123092
2009-03-30,1182.8905400331134
2009-03-31,1195.7975468804773
2009-04-29,1339.5356777548402
2009-04-30,1402.7036951876066
2009-05-28,1627.685954125031
2009-05-29,1649.2419780650464
2009-06-29,1645.0904134165037
2009-06-30,1638.4805000581619
2009-07-30,1822.139462856554
2009-07-31,1852.5310818587438
2009-08-28,1817.436502174401
2009-08-31,1792.373092577319
2009-09-29,1938.6212195308915
2009-09-30,1948.998357162083
2009-10-29,1922.7900812130868
2009-10-30,1943.1391571293864
2009-11-27,1957.9810278620007
2009-11-30,2001.209519959458
2009-12-30,2073.0831447952874
2009-12-31,2094.615098546335
2010-01-28,1990.513155188078
2010-01-29,1971.195715711182
2010-02-25,1965.5283167402788
2010-02-26,1981.7369802974042
2010-03-30,2140.7673528789715
2010-03-31,2129.9968658631446
2010-04-29,2153.5750139867782
2010-04-30,2175.0343132315734
2010-05-28,1971.5343282032018
2010-05-31,1985.7995847990348
2010-06-29,2025.396470369588
2010-06-30,2019.3260602425116
2010-07-29,2144.4378900600536
2010-07-30,2139.042776222366
2010-08-30,2137.2033432897497
2010-08-31,2118.573114841718
2010-09-29,2355.465029962384
2010-09-30,2360.31811884005
2010-10-28,2434.2339478255426
2010-10-29,2427.6850378958047
2010-11-29,2399.1672253047623
2010-11-30,2389.5310740846503
2010-12-30,2508.701443077373
2010-12-31,2518.4901246591767
2011-01-28,2515.485952746748
2011-01-31,2490.172279726932
2011-02-25,2381.958121595616
2011-02-28,2390.6662228732794
2011-03-30,2512.36111830542
2011-03-31,2533.088498513196
2011-04-28,2635.603208189458
2011-04-29,2629.790164985538
2011-05-30,2546.0083777227687
2011-05-31,2590.626358766759
2011-06-29,2497.178675966833
2011-06-30,2531.5840759606413
2011-07-28,2590.430741505272
