Date,ACWI ex SPAIN IMI
1994-05-31,1000.0
1994-06-30,1002.3142114549418
1994-07-29,1017.6902361839133
1994-08-31,1051.4511693084055
1994-09-30,1028.267328843373
1994-10-31,1050.5012875272935
1994-11-30,999.7826434917799
1994-12-30,1009.5653680449061
1995-01-31,989.0024048048471
1995-02-28,994.561770454862
1995-03-31,1040.0482704246529
1995-04-28,1071.7045708954874
1995-05-31,1078.222952595166
1995-06-30,1080.7090034538835
1995-07-31,1133.3867753880147
1995-08-31,1114.1175721464158
1995-09-29,1140.8989610408732
1995-10-31,1117.9846874524137
1995-11-30,1149.4036113848463
1995-12-29,1182.7507918853198
1996-01-31,1204.3066926252
1996-02-29,1213.4359128937515
1996-03-29,1232.5826256569294
1996-04-30,1271.3552344460502
1996-05-31,1274.598758352233
1996-06-28,1274.7964161889902
1996-07-31,1219.889296143589
1996-08-30,1238.6437243576684
1996-09-30,1279.7354282113897
1996-10-31,1277.1468203270279
1996-11-29,1334.6328006271365
1996-12-31,1315.6296070672445
1997-01-01,1315.6442987748298
1997-01-02,1306.4861844174654
1997-01-03,1313.9469179665098
1997-01-06,1318.4476328867875
1997-01-07,1321.7316565802903
1997-01-08,1317.4370792106172
1997-01-09,1315.851906462132
1997-01-10,1309.592272824224
1997-01-13,1317.5236332111867
1997-01-14,1326.6905259298821
1997-01-15,1328.7572135505022
1997-01-16,1335.0507215230475
1997-01-17,1336.4927336744622
1997-01-20,1331.393042279813
1997-01-21,1331.3333863321798
1997-01-22,1336.878680046448
1997-01-23,1330.0425423543973
1997-01-24,1321.345167562219
1997-01-27,1310.9225110394711
1997-01-28,1309.64555693135
1997-01-29,1313.9654109242424
1997-01-30,1321.1703561349234
1997-01-31,1329.9920815622434
1997-02-03,1329.6571041066416
1997-02-04,1332.1834944666916
1997-02-05,1323.2650241922054
1997-02-06,1323.821127600387
1997-02-07,1326.9077279641995
1997-02-10,1331.644488540525
1997-02-11,1332.2166970019719
1997-02-12,1342.5225583281638
1997-02-13,1350.7665980000736
1997-02-14,1351.6548661718168
1997-02-17,1350.9221115315786
1997-02-18,1353.6482928273017
1997-02-19,1352.7129609227302
1997-02-20,1352.085356358273
1997-02-21,1353.8621233155498
1997-02-24,1362.9261448115678
1997-02-25,1368.1015942100091
1997-02-26,1358.9865079776027
1997-02-27,1351.6076500111624
1997-02-28,1344.1051019002803
1997-03-03,1343.130083641782
1997-03-04,1343.1534655181106
1997-03-05,1348.8871777935979
1997-03-06,1347.3683525965425
1997-03-07,1352.2955388322703
1997-03-10,1361.8186366639695
1997-03-11,1362.8077668886767
1997-03-12,1352.0265504436136
1997-03-13,1337.2822142924063
1997-03-14,1339.0010948147412
1997-03-17,1335.984556260229
1997-03-18,1333.4739426887422
1997-03-19,1329.8120106872157
1997-03-20,1321.2668393926044
1997-03-21,1327.5204172350147
1997-03-24,1326.6553493572526
1997-03-25,1330.9576655413168
1997-03-26,1336.7794152812994
1997-03-27,1327.3955980380586
1997-03-28,1326.6609306641076
1997-03-31,1312.9541074132264
1997-04-01,1303.9225193626437
1997-04-02,1299.3264389562232
1997-04-03,1296.1789676668286
1997-04-04,1299.461399420325
1997-04-07,1299.653077337819
1997-04-08,1303.080248556802
1997-04-09,1298.4648797111588
1997-04-10,1292.9413133777875
1997-04-11,1277.7886534686932
1997-04-14,1275.2965179067235
1997-04-15,1287.046179368075
1997-04-16,1296.1370423475105
1997-04-17,1298.359013884052
1997-04-18,1304.6244934272393
1997-04-21,1305.5510169748086
1997-04-22,1312.1251937502639
1997-04-23,1316.7766009345582
1997-04-24,1315.292285145501
1997-04-25,1305.7616218936814
1997-04-28,1308.496690322454
1997-04-29,1325.968951202368
1997-04-30,1337.1684385627584
1997-05-01,1342.5378491109377
1997-05-02,1355.947913209346
1997-05-05,1370.794388221253
1997-05-06,1382.886260040055
1997-05-07,1376.2999579288949
1997-05-08,1381.5017466821228
1997-05-09,1390.0851928495626
1997-05-12,1407.9150994518304
1997-05-13,1407.8881462467841
1997-05-14,1413.5315628788267
1997-05-15,1419.1927824437564
1997-05-16,1418.9587550906722
1997-05-19,1418.35359766019
1997-05-20,1428.7515808418075
1997-05-21,1427.4970932682265
1997-05-22,1420.9932213222128
1997-05-23,1433.6337520070401
1997-05-26,1433.6642907450384
1997-05-27,1431.5819461415101
1997-05-28,1435.0313582702
1997-05-29,1432.277197082069
1997-05-30,1428.804832076317
1997-06-02,1432.5050357202779
1997-06-03,1434.4984351584683
1997-06-04,1432.7671346421312
1997-06-05,1438.1632729670398
1997-06-06,1449.4490135598064
1997-06-09,1461.707732339883
1997-06-10,1464.3370171895372
1997-06-11,1469.9097252834204
1997-06-12,1477.6042019308784
1997-06-13,1484.9049570588847
1997-06-16,1492.0447843659788
1997-06-17,1488.8740591953372
1997-06-18,1486.8157433199813
1997-06-19,1494.424345474259
1997-06-20,1494.1260119248786
1997-06-23,1482.4809122286667
1997-06-24,1494.8056197659957
1997-06-25,1500.9627712781285
1997-06-26,1498.8043523498814
1997-06-27,1495.8728231761695
1997-06-30,1494.7056696238778
1997-07-01,1500.6669188434055
1997-07-02,1510.5319526486217
1997-07-03,1527.4554384088149
1997-07-04,1526.3214153271288
1997-07-07,1526.7339891767438
1997-07-08,1529.943254437666
1997-07-09,1522.7727424496034
1997-07-10,1526.3771078876257
1997-07-11,1529.448234342033
1997-07-14,1532.5632142010427
1997-07-15,1529.2033883396452
1997-07-16,1546.072414100903
1997-07-17,1543.3368096097854
1997-07-18,1527.2969118465367
1997-07-21,1518.711402809589
1997-07-22,1535.6640164214161
1997-07-23,1543.2345410023468
1997-07-24,1544.0672178407413
1997-07-25,1541.80949179204
1997-07-28,1539.1637250194913
1997-07-29,1543.3585545795738
1997-07-30,1551.253900202867
1997-07-31,1554.77285404363
1997-08-01,1542.1358078775752
1997-08-04,1537.1382444923258
1997-08-05,1534.9564522657984
1997-08-06,1547.374119294609
1997-08-07,1543.4557254491565
1997-08-08,1534.2305616934466
1997-08-11,1525.7748599480847
1997-08-12,1520.6809880209566
1997-08-13,1517.109924483382
1997-08-14,1512.930336479273
1997-08-15,1499.3598298300562
1997-08-18,1495.2167849533237
1997-08-19,1506.373167365685
1997-08-20,1519.9186680121197
1997-08-21,1513.5241774246488
1997-08-22,1501.7852934242696
1997-08-25,1497.979965119461
1997-08-26,1494.4321757513328
1997-08-27,1490.465145495016
1997-08-28,1476.6768024694118
1997-08-29,1463.0010612031015
1997-09-01,1456.1061632295969
1997-09-02,1477.895081211708
1997-09-03,1490.5099416607097
1997-09-04,1491.6729425814633
1997-09-05,1498.9774064843652
1997-09-08,1502.2915728504659
1997-09-09,1508.5760539377898
1997-09-10,1494.870067592593
1997-09-11,1479.1508088325984
1997-09-12,1486.3822389726217
1997-09-15,1488.628157474536
1997-09-16,1504.9077256729968
1997-09-17,1508.367596736668
1997-09-18,1512.6489113894447
1997-09-19,1515.6750261212708
1997-09-22,1520.8342376306532
1997-09-23,1519.3649450581277
1997-09-24,1526.1048246471478
1997-09-25,1521.7522720103616
1997-09-26,1525.0843415115428
1997-09-29,1530.8289979960593
1997-09-30,1531.7521214136557
1997-10-01,1537.6012671130252
1997-10-02,1541.4852405801373
1997-10-03,1547.6955269318187
1997-10-06,1554.1520151402665
1997-10-07,1559.7989276837823
1997-10-08,1556.9646210190924
1997-10-09,1549.0835280807282
1997-10-10,1546.1442481337792
1997-10-13,1547.0488118786582
1997-10-14,1545.6350494283233
1997-10-15,1541.9624598546197
1997-10-16,1539.5830281601702
1997-10-17,1520.8173217147776
1997-10-20,1521.4981124482524
1997-10-21,1536.188607762869
