Date,ACWI + FRONTIER MARKETS (ACWI FM) IMI
2002-05-31,512.1398209820547
2002-06-03,505.04088689808066
2002-06-04,502.47327618924515
2002-06-05,502.7055165502964
2002-06-06,497.38581378908594
2002-06-07,494.96892433113396
2002-06-10,495.52801488638096
2002-06-11,491.32274480795456
2002-06-12,490.3035150103237
2002-06-13,485.28617089217056
2002-06-14,481.0708517184524
2002-06-17,490.82868449211674
2002-06-18,491.6116498009267
2002-06-19,484.5893703274529
2002-06-20,479.8581338878396
2002-06-21,475.45804177847566
2002-06-24,474.31910168346235
2002-06-25,471.422726090141
2002-06-26,469.13570557702946
2002-06-27,474.81018685095086
2002-06-28,480.9961284206338
2002-07-01,475.0991721950055
2002-07-02,465.0577495845687
2002-07-03,462.8962512095077
2002-07-04,464.785899772752
2002-07-05,478.7329270579631
2002-07-08,477.0998068406888
2002-07-09,471.3258211136771
2002-07-10,458.05846528015144
2002-07-11,454.2454270359726
2002-07-12,453.4764576095913
2002-07-15,447.57997642147535
2002-07-16,443.23629178955514
2002-07-17,447.7274752166616
2002-07-18,443.5870612371532
2002-07-19,429.6906587077152
2002-07-22,414.9024935493298
2002-07-23,404.40743855695194
2002-07-24,413.97856399627335
2002-07-25,416.8336878443355
2002-07-26,417.86259031514214
2002-07-29,435.67182452321396
2002-07-30,438.88158025807274
2002-07-31,440.18086143371755
2002-08-01,428.8021176053887
2002-08-02,423.1033446956079
2002-08-05,411.15333334558574
2002-08-06,418.088562291417
2002-08-07,423.8757625738758
2002-08-08,435.04001182286464
2002-08-09,438.91949838712543
2002-08-12,435.7538973870903
2002-08-13,431.33146437198053
2002-08-14,439.8741117337613
2002-08-15,445.5881695512328
2002-08-16,446.7234886022519
2002-08-19,453.5626708090262
2002-08-20,448.6239062569416
2002-08-21,454.12365894577096
2002-08-22,459.2641674406153
2002-08-23,451.8642130466713
2002-08-26,454.01896546781353
2002-08-27,452.69684109577054
2002-08-28,443.3331008860914
2002-08-29,441.50038442644575
2002-08-30,441.59497059455583
2002-09-02,439.821869755852
2002-09-03,425.6816899194394
2002-09-04,428.9161388305002
2002-09-05,424.7201878071838
2002-09-06,430.749097687131
2002-09-09,431.98294042266383
2002-09-10,435.5997067041434
2002-09-11,437.6856097745076
2002-09-12,428.65222897193166
2002-09-13,426.5938962452373
2002-09-16,425.0383078573612
2002-09-17,420.22705338924374
2002-09-18,415.7317180100641
2002-09-19,407.88119957273597
2002-09-20,407.08263641051656
2002-09-23,399.8393730126056
2002-09-24,393.7951672368367
2002-09-25,400.0656641691856
2002-09-26,408.924064999469
2002-09-27,402.4080545319538
2002-09-30,395.7815537859673
2002-10-01,404.0727556493631
2002-10-02,400.62361520740455
2002-10-03,396.5172946786227
2002-10-04,388.9740850848806
2002-10-07,381.2291030984178
2002-10-08,382.7025608959042
2002-10-09,375.6496021217594
2002-10-10,384.346852652977
2002-10-11,398.0546956120466
