Date,ACWI ex BELGIUM IMI
1994-05-31,1000.0
1994-06-30,1001.9384406080853
1994-07-29,1017.5405335234165
1994-08-31,1051.0697597683093
1994-09-30,1027.99280117236
1994-10-31,1050.2347558281056
1994-11-30,999.6358160950216
1994-12-30,1008.8103024365776
1995-01-31,988.2828613306382
1995-02-28,993.8627584307333
1995-03-31,1038.682849002741
1995-04-28,1070.5072989300438
1995-05-31,1077.2621735771957
1995-06-30,1079.7779400089278
1995-07-31,1132.7246459958096
1995-08-31,1113.5258996995465
1995-09-29,1140.0222853791922
1995-10-31,1117.0396393613453
1995-11-30,1148.7825881599983
1995-12-29,1182.0339160495205
1996-01-31,1203.275105415947
1996-02-29,1213.0858907534382
1996-03-29,1232.186003398645
1996-04-30,1270.9599011765426
1996-05-31,1273.9468917217541
1996-06-28,1274.5015342663614
1996-07-31,1219.2838135066468
1996-08-30,1238.0865800461013
1996-09-30,1279.1304760152152
1996-10-31,1276.7534738105244
1996-11-29,1334.4243033514124
1996-12-31,1316.6347409121197
1997-01-01,1316.6493861824708
1997-01-02,1307.3074673127894
1997-01-03,1314.9414716692472
1997-01-06,1319.3906674327627
1997-01-07,1322.736248756367
1997-01-08,1318.5533086305895
1997-01-09,1316.911312570785
1997-01-10,1310.760630287907
1997-01-13,1318.7451153295149
1997-01-14,1327.8033910816503
1997-01-15,1329.7572776999914
1997-01-16,1336.2014969140748
1997-01-17,1337.7713484686185
1997-01-20,1332.6527162009365
1997-01-21,1332.6206876158096
1997-01-22,1337.8836786170737
1997-01-23,1330.8903298588978
1997-01-24,1321.9893057153142
1997-01-27,1311.479595981886
1997-01-28,1310.347093560387
1997-01-29,1314.530310062967
1997-01-30,1321.6343070204648
1997-01-31,1330.5522510099695
1997-02-03,1330.0587396129777
1997-02-04,1332.6451635703575
1997-02-05,1323.8880241112536
1997-02-06,1324.5100536215764
1997-02-07,1327.5111074764043
1997-02-10,1332.2720200817823
1997-02-11,1332.7707910452868
1997-02-12,1342.9813580106338
1997-02-13,1351.2055469417362
1997-02-14,1352.1726421186781
1997-02-17,1351.4563925958844
1997-02-18,1354.117829436364
1997-02-19,1353.1228339324032
