Date,ACWI ex FRANCE IMI
1994-05-31,1000.0
1994-06-30,1002.81008819821
1994-07-29,1016.1168838891296
1994-08-31,1050.4144572889297
1994-09-30,1028.4040990301685
1994-10-31,1050.7314019158646
1994-11-30,999.0667516290245
1994-12-30,1009.5665224733888
1995-01-31,989.3627052205121
1995-02-28,994.6197177751991
1995-03-31,1037.4151546708028
1995-04-28,1070.4133976361977
1995-05-31,1076.9223460259675
1995-06-30,1079.5530040300914
1995-07-31,1132.80133778616
1995-08-31,1115.0721410391764
1995-09-29,1142.9337384717549
1995-10-31,1119.178115135899
1995-11-30,1152.4098023849808
1995-12-29,1185.8565300716673
1996-01-31,1206.6592792839854
1996-02-29,1215.4844612879363
1996-03-29,1233.6746795262181
1996-04-30,1272.9454749250183
1996-05-31,1276.2697570558717
1996-06-28,1276.110782495935
1996-07-31,1220.331899604332
1996-08-30,1240.4642034241247
1996-09-30,1281.408329372553
1996-10-31,1278.236810483791
1996-11-29,1335.8976334655006
1996-12-31,1316.8603361824607
1997-01-01,1316.875382263774
1997-01-02,1307.8310379765226
1997-01-03,1315.812034426176
1997-01-06,1320.2352592794712
1997-01-07,1323.5331089925376
1997-01-08,1319.0887503023573
1997-01-09,1317.3397427388384
1997-01-10,1311.4679466172
1997-01-13,1319.331179626525
1997-01-14,1328.2297732664692
1997-01-15,1330.212979843042
1997-01-16,1336.5408641486963
1997-01-17,1338.3500432620328
1997-01-20,1333.6071573298238
1997-01-21,1333.62594237525
1997-01-22,1339.0660853205031
1997-01-23,1331.6215809300618
1997-01-24,1322.610644007703
1997-01-27,1311.8588802077943
1997-01-28,1310.3819951138446
1997-01-29,1314.6913113478017
1997-01-30,1321.4859812889845
1997-01-31,1330.5004037738977
1997-02-03,1330.1701170404008
1997-02-04,1332.8685602247556
1997-02-05,1323.4945956504678
1997-02-06,1323.9923781633352
1997-02-07,1327.1583873794348
1997-02-10,1331.9123837552156
1997-02-11,1332.7730491589039
1997-02-12,1343.2171255783153
1997-02-13,1351.3951473741777
1997-02-14,1352.3594249773676
1997-02-17,1351.8367588695396
1997-02-18,1354.6093226863768
1997-02-19,1353.970731862193
1997-02-20,1353.4094053897566
1997-02-21,1355.120977111916
1997-02-24,1363.8402350319125
1997-02-25,1368.7479074052585
1997-02-26,1359.6235163809392
1997-02-27,1351.8988553716288
1997-02-28,1344.3739813668356
1997-03-03,1343.506326539786
1997-03-04,1343.3141984463223
1997-03-05,1348.9922884759412
1997-03-06,1347.2521408744494
