Date,ACWI ex TAIWAN IMI
1994-05-31,1000.0
1994-06-30,1001.840111955985
1994-07-29,1017.5864945932404
1994-08-31,1050.993210220129
1994-09-30,1027.7479482259448
1994-10-31,1050.0302037117337
1994-11-30,999.6008005126569
1994-12-30,1008.7839003058848
1995-01-31,988.3164687762558
1995-02-28,994.0201823791737
1995-03-31,1038.9089423204905
1995-04-28,1070.9624102192747
1995-05-31,1077.8129187920842
1995-06-30,1080.412175707468
1995-07-31,1133.2598254155528
1995-08-31,1113.7463805291043
1995-09-29,1140.3070778316107
1995-10-31,1117.4035608064
1995-11-30,1149.006331261941
1995-12-29,1182.4842036897048
1996-01-31,1203.8191654445657
1996-02-29,1213.5033323494756
1996-03-29,1232.3181926822888
1996-04-30,1270.9875453389582
1996-05-31,1274.1352366177855
1996-06-28,1274.8148354144016
1996-07-31,1219.9723939120374
1996-08-30,1238.745527644125
1996-09-30,1279.6714691686138
1996-10-31,1277.5713787260531
1996-11-29,1335.095318524732
1996-12-31,1317.0521597017682
1997-01-01,1317.0668261633823
1997-01-02,1307.6381732564762
1997-01-03,1315.2671013756271
1997-01-06,1319.8503472768502
1997-01-07,1323.1432590234385
1997-01-08,1318.7483901579367
1997-01-09,1317.17210315603
1997-01-10,1310.9144873287128
1997-01-13,1318.8587230119883
1997-01-14,1328.0201856437618
1997-01-15,1329.992968697413
1997-01-16,1336.33200640138
1997-01-17,1337.9122458631953
1997-01-20,1332.6621443372437
1997-01-21,1332.662393603854
1997-01-22,1337.8853551732686
1997-01-23,1331.074162943277
1997-01-24,1322.134193064248
1997-01-27,1311.6299975254215
1997-01-28,1310.4484336311994
1997-01-29,1314.6305723560456
1997-01-30,1321.7220584052354
1997-01-31,1330.6034886187992
1997-02-03,1329.9936683710514
1997-02-04,1332.570127795693
1997-02-05,1323.821032635704
1997-02-06,1324.4527100009427
1997-02-07,1327.4436387114363
1997-02-10,1332.3027405609616
1997-02-11,1332.615836573415
1997-02-12,1342.8180023081377
1997-02-13,1350.9155942783773
1997-02-14,1351.9449227714124
1997-02-17,1350.9101476636818
1997-02-18,1353.7383644335277
1997-02-19,1352.674194807783
1997-02-20,1351.9739783371085
1997-02-21,1353.490461544458
1997-02-24,1362.3140955541087
1997-02-25,1367.5269018823788
1997-02-26,1358.5010348124226
1997-02-27,1351.0693298062138
1997-02-28,1343.4026649460336
1997-03-03,1342.3324649534936
1997-03-04,1342.291964369469
1997-03-05,1347.8651256170776
1997-03-06,1346.3909346176306
1997-03-07,1351.3810303846144
1997-03-10,1361.2088064108912
1997-03-11,1362.0268833381583
1997-03-12,1351.1758895085347
1997-03-13,1336.4865844808457
1997-03-14,1338.1807386063037
1997-03-17,1334.8257837857275
1997-03-18,1332.2026767039165
1997-03-19,1328.6870054583553
1997-03-20,1319.8687699237728
1997-03-21,1326.530418349437
1997-03-24,1326.071890259014
1997-03-25,1330.6561622392085
1997-03-26,1336.3806534706566
1997-03-27,1327.0342250248143
1997-03-28,1326.2629849808277
1997-03-31,1312.5763475413064
1997-04-01,1303.1458356224646
1997-04-02,1298.4770067152983
1997-04-03,1295.058635431432
1997-04-04,1298.4295068725257
1997-04-07,1298.4037646641332
1997-04-08,1301.9603419198975
1997-04-09,1297.1221089010053
1997-04-10,1291.6373859513892
1997-04-11,1276.3961690383794
1997-04-14,1273.882010280309
1997-04-15,1285.8253279604814
1997-04-16,1294.9459994380752
1997-04-17,1297.468868731686
1997-04-18,1304.0509192762343
1997-04-21,1304.9944939776494
1997-04-22,1311.6037138740132
1997-04-23,1316.2016586030509
1997-04-24,1314.557563041763
1997-04-25,1304.878784443113
1997-04-28,1307.6417519103268
1997-04-29,1325.362153067761
1997-04-30,1336.798868247776
1997-05-01,1342.2395598151868
1997-05-02,1356.056387887365
1997-05-05,1371.0688658049537
1997-05-06,1383.1074855264646
1997-05-07,1376.386586416565
1997-05-08,1381.8065450532017
1997-05-09,1390.798057821026
1997-05-12,1409.3178374421334
1997-05-13,1409.450824940447
1997-05-14,1414.7142043420863
1997-05-15,1420.7114623533828
1997-05-16,1420.2654742879809
1997-05-19,1419.500778885739
1997-05-20,1430.3126559630207
1997-05-21,1429.3470299402773
1997-05-22,1422.573638885125
1997-05-23,1435.2964054484005
