Date,ACWI ex MEXICO IMI
1996-05-31,1000.0
1996-06-28,1000.6622985800947
1996-07-31,957.7161043043576
1996-08-30,972.0440102924223
1996-09-30,1004.325278912177
1996-10-31,1003.0559904053192
1996-11-29,1048.318274057329
1996-12-31,1034.242912888416
1997-01-01,1034.2544140727036
1997-01-02,1026.8873990042573
1997-01-03,1032.797893852347
1997-01-06,1036.1456707759926
1997-01-07,1038.724861458046
1997-01-08,1035.3727473384165
1997-01-09,1034.1325603945572
1997-01-10,1029.284870243433
1997-01-13,1035.6545737289448
1997-01-14,1042.6907956031882
1997-01-15,1044.1454600369966
1997-01-16,1049.2208810464433
1997-01-17,1050.3054955996295
1997-01-20,1046.2537323213198
1997-01-21,1046.2710869841333
1997-01-22,1050.3978251850779
1997-01-23,1045.0075257241517
1997-01-24,1038.093527490364
1997-01-27,1029.76711968669
1997-01-28,1028.8287093236136
1997-01-29,1032.2116663230534
1997-01-30,1037.7964024237508
1997-01-31,1044.8474784211164
1997-02-03,1044.4584409149088
1997-02-04,1046.4368234469416
1997-02-05,1039.5580607304153
1997-02-06,1040.0652521529544
1997-02-07,1042.403262394895
1997-02-10,1046.1871540613492
1997-02-11,1046.3985020366406
1997-02-12,1054.3029363918338
1997-02-13,1060.8169108174457
1997-02-14,1061.4847027489004
1997-02-17,1060.856619675557
1997-02-18,1063.0232268681198
1997-02-19,1062.1256585523424
1997-02-20,1061.6306500226885
1997-02-21,1062.8837860040694
1997-02-24,1069.9215302442985
1997-02-25,1073.9125087915743
1997-02-26,1066.767071766409
1997-02-27,1061.2785019625537
1997-02-28,1055.2856833135227
1997-03-03,1054.5707468247526
1997-03-04,1054.6778836608971
1997-03-05,1059.1354132954941
1997-03-06,1058.0238035869388
1997-03-07,1061.985851838776
1997-03-10,1069.6189148566114
1997-03-11,1070.406841807815
1997-03-12,1061.9724580881298
1997-03-13,1050.5215118942601
1997-03-14,1051.8110956283174
1997-03-17,1049.3644078804573
1997-03-18,1047.3408972342831
1997-03-19,1044.3889011366473
1997-03-20,1037.594934544188
1997-03-21,1042.5034486286668
1997-03-24,1041.7432110473753
1997-03-25,1045.212851093649
1997-03-26,1049.8815891069514
1997-03-27,1042.661631595778
1997-03-28,1042.0896492575323
1997-03-31,1031.3483670033613
1997-04-01,1024.1903341988366
1997-04-02,1020.5867201652238
1997-04-03,1018.0727141283028
1997-04-04,1020.6803691815483
1997-04-07,1020.7354525550584
1997-04-08,1023.4636421917594
1997-04-09,1019.8631195797357
1997-04-10,1015.5018132740757
1997-04-11,1003.6206648365801
1997-04-14,1001.6774694828927
1997-04-15,1010.984790020126
1997-04-16,1018.0648679311043
1997-04-17,1019.9462510687736
1997-04-18,1024.9191593985465
1997-04-21,1025.7976206743567
1997-04-22,1030.8962313679808
1997-04-23,1034.627117185173
1997-04-24,1033.4597217155838
1997-04-25,1025.9105564165525
1997-04-28,1028.1765936940076
1997-04-29,1041.967515167473
1997-04-30,1050.818064390322
1997-05-01,1055.0739731746053
1997-05-02,1065.5175982917276
1997-05-05,1077.3461034076604
1997-05-06,1086.7940804750178
1997-05-07,1081.7047057174084
1997-05-08,1085.7986072684844
1997-05-09,1092.6601092425205
1997-05-12,1106.752947549792
1997-05-13,1106.8328853954888
1997-05-14,1111.2583365905589
1997-05-15,1115.7310946639013
1997-05-16,1115.4834594742529
1997-05-19,1114.8639143672472
1997-05-20,1123.1475826470546
1997-05-21,1122.366717539151
1997-05-22,1117.1775907599879
1997-05-23,1127.156615137323
1997-05-26,1127.4463184283045
1997-05-27,1125.9179646347907
1997-05-28,1128.4345306426171
1997-05-29,1126.0715989940206
1997-05-30,1123.0596065817906
1997-06-02,1125.7656833376818
1997-06-03,1127.443915162094
1997-06-04,1126.0126604543125
