Date,ACWI IMI WITH USA GROSS
2001-09-28,1000.0
2001-10-01,995.4140594629375
2001-10-02,1004.5279181274816
2001-10-03,1016.5193425003313
2001-10-04,1026.7933902133332
2001-10-05,1027.9843529950797
2001-10-08,1022.9899057931306
2001-10-09,1018.0128390460445
2001-10-10,1033.21895234576
2001-10-11,1048.6479674365964
2001-10-12,1047.3801042587434
2001-10-15,1041.1732391796095
2001-10-16,1049.6420653468342
2001-10-17,1045.8937481262535
2001-10-18,1033.167695264726
2001-10-19,1030.2745861404883
2001-10-22,1040.1002115972456
2001-10-23,1045.0863404535344
2001-10-24,1048.5030865296492
2001-10-25,1053.7470291766572
2001-10-26,1060.3163376499313
2001-10-29,1044.752226516386
2001-10-30,1027.5988007110743
2001-10-31,1029.0126897215148
2001-11-01,1044.028507836446
2001-11-02,1045.57268929674
2001-11-05,1058.478398537334
2001-11-06,1068.628709693489
2001-11-07,1067.9527767156208
2001-11-08,1073.5292751739375
2001-11-09,1070.9837629285005
2001-11-12,1064.4898700276433
2001-11-13,1078.7332151955538
2001-11-14,1083.3242003605044
2001-11-15,1086.5942522498283
2001-11-16,1089.4234982580317
2001-11-19,1099.8425991560412
2001-11-20,1091.5605476854641
2001-11-21,1085.8954283705916
2001-11-22,1089.118748079365
2001-11-23,1094.2222366550957
2001-11-26,1103.6675578467293
2001-11-27,1097.6732382511161
2001-11-28,1081.68981597567
2001-11-29,1086.6927780238143
2001-11-30,1090.8397583055005
2001-12-03,1080.9694668239513
2001-12-04,1093.5438426752937
2001-12-05,1118.2620641270832
2001-12-06,1121.6698436067063
2001-12-07,1113.5293692859575
2001-12-10,1096.5155657044218
2001-12-11,1094.1800394302936
2001-12-12,1097.2238160197037
2001-12-13,1080.3193167509369
2001-12-14,1079.482108535967
2001-12-17,1090.2646527296545
2001-12-18,1093.8519102429918
2001-12-19,1092.788150357824
2001-12-20,1086.4983341045365
2001-12-21,1088.9135117869148
2001-12-24,1087.4454143038135
2001-12-25,1087.640320963658
2001-12-26,1090.2161174430337
2001-12-27,1102.4188469248693
2001-12-28,1108.338791597355
2001-12-31,1105.5793242496147
2002-01-01,1105.5815007455572
2002-01-02,1109.1183994739654
2002-01-03,1120.2383295430516
2002-01-04,1127.819207359805
2002-01-07,1122.0167017558497
2002-01-08,1114.4907901025379
2002-01-09,1110.5833641119764
2002-01-10,1107.0977599547082
2002-01-11,1101.0570000036541
2002-01-14,1091.7031557072708
2002-01-15,1093.9223655147193
2002-01-16,1078.7827071958652
2002-01-17,1086.4813230777675
2002-01-18,1081.9169314929184
2002-01-21,1081.2591928987106
2002-01-22,1073.7636904594028
2002-01-23,1079.9577437501293
2002-01-24,1084.6459332547713
2002-01-25,1081.2847840560255
2002-01-28,1084.3604548762275
2002-01-29,1064.1793245762665
2002-01-30,1064.4144647084424
2002-01-31,1076.4988393129627
2002-02-01,1071.5736385652842
2002-02-04,1055.5453143518234
2002-02-05,1046.8532371237861
2002-02-06,1040.3548559232033
2002-02-07,1041.3127502385676
2002-02-08,1051.2964459674192
2002-02-11,1064.176856114625
2002-02-12,1064.391841355301
2002-02-13,1071.694516899173
2002-02-14,1074.415416133859
2002-02-15,1066.799804278038
2002-02-18,1064.5901917598774
2002-02-19,1046.4923442388001
2002-02-20,1049.9049727573358
2002-02-21,1046.3905962737656
2002-02-22,1049.879629810629
2002-02-25,1060.6336393492668
2002-02-26,1062.2975100545293
2002-02-27,1068.8719770646928
2002-02-28,1068.069805649445
2002-03-01,1086.1169415380994
2002-03-04,1112.944266158589
2002-03-05,1109.1913685956708
2002-03-06,1121.5509832327984
2002-03-07,1129.0011464266506
2002-03-08,1133.5776299954057
2002-03-11,1136.2375965646347
2002-03-12,1127.0833581866038
2002-03-13,1119.5139732955768
2002-03-14,1123.634755379878
2002-03-15,1133.3892160620655
2002-03-18,1133.1140464149096
2002-03-19,1138.834252614192
2002-03-20,1127.7803256472394
2002-03-21,1127.56837685925
2002-03-22,1123.226188812077
2002-03-25,1110.786467127009
2002-03-26,1114.142558014627
2002-03-27,1118.801026572286
2002-03-28,1124.2583961949626
2002-03-29,1122.136295553761
2002-04-01,1122.8550342579113
2002-04-02,1118.6357048265224
2002-04-03,1114.0331278402136
2002-04-04,1113.699334844455
2002-04-05,1112.0765026343463
2002-04-08,1108.7968216989643
2002-04-09,1104.5402995007455
2002-04-10,1115.29875425545
2002-04-11,1098.5910513358958
2002-04-12,1102.0345448555404
2002-04-15,1102.3287522374135
2002-04-16,1122.299861642695
2002-04-17,1126.3453573781658
2002-04-18,1126.0718922060398
2002-04-19,1125.8891125947687
2002-04-22,1116.7122995142995
2002-04-23,1112.7581435094057
2002-04-24,1108.662763640258
2002-04-25,1107.0870039816805
2002-04-26,1097.414334212238
2002-04-29,1090.8167646192858
2002-04-30,1097.871264830902
2002-05-01,1104.7136433849587
2002-05-02,1102.0098243294942
2002-05-03,1099.2341385959435
2002-05-06,1087.4699914347282
2002-05-07,1079.577315651605
2002-05-08,1104.488656249001
2002-05-09,1096.034319078716
2002-05-10,1085.698982696601
2002-05-13,1095.8771898103737
2002-05-14,1107.409819503951
2002-05-15,1112.2552591710369
2002-05-16,1115.90658802103
2002-05-17,1125.6496693288248
2002-05-20,1117.574623897633
2002-05-21,1109.854294523646
2002-05-22,1112.6356765890662
