Date,ACWI ex BRAZIL IMI
1994-05-31,1000.0
1994-06-30,1001.7135658926449
1994-07-29,1016.4051314496645
1994-08-31,1047.2983545680688
1994-09-30,1023.0034516266342
1994-10-31,1046.0428848175861
1994-11-30,995.3314013801601
1994-12-30,1005.3447094680265
1995-01-31,985.4277118262354
1995-02-28,992.7494710932526
1995-03-31,1039.4789881912923
1995-04-28,1070.4628284239764
1995-05-31,1077.3522505101653
1995-06-30,1080.3478926960343
1995-07-31,1133.4053692128073
1995-08-31,1113.2982675185126
1995-09-29,1139.7884154052258
1995-10-31,1117.6433350865952
1995-11-30,1149.7924762292416
1995-12-29,1183.6146585947574
1996-01-31,1203.7125113622394
1996-02-29,1213.8749693054428
1996-03-29,1232.8988518516587
1996-04-30,1271.8454262724176
1996-05-31,1274.2731265257764
1996-06-28,1274.33483932564
1996-07-31,1219.1272576467009
1996-08-30,1237.7632595023654
1996-09-30,1278.8820755017375
1996-10-31,1276.2847064694395
1996-11-29,1334.3944559460751
1996-12-31,1315.8849941715175
1997-01-01,1315.9019669498516
1997-01-02,1306.5305673112398
1997-01-03,1314.1258725155933
1997-01-06,1318.4337513193373
1997-01-07,1321.4709883471164
1997-01-08,1317.0710266953213
1997-01-09,1315.4493913839788
1997-01-10,1309.252028933942
1997-01-13,1317.4541889607976
1997-01-14,1326.2337411496067
1997-01-15,1328.1910603932704
1997-01-16,1334.6141687448305
1997-01-17,1335.9309155576589
1997-01-20,1330.7247679580692
1997-01-21,1330.5321883938514
1997-01-22,1335.8954029408596
1997-01-23,1328.8096696191546
1997-01-24,1320.084245455059
1997-01-27,1309.4587208101957
1997-01-28,1308.1678188017756
1997-01-29,1312.5701405303207
1997-01-30,1319.7506912117049
1997-01-31,1328.4230061097157
1997-02-03,1327.5753566594146
1997-02-04,1330.1494595634051
1997-02-05,1321.19129260309
1997-02-06,1321.7969918433846
1997-02-07,1324.4772681380193
1997-02-10,1329.358058470703
1997-02-11,1329.7557205703577
1997-02-12,1339.3193562320564
1997-02-13,1347.6227720697998
1997-02-14,1348.6301949504184
1997-02-17,1347.7375842737279
1997-02-18,1350.326367115974
1997-02-19,1349.4846784153638
1997-02-20,1348.948097757161
1997-02-21,1350.7330436819404
1997-02-24,1359.580668018316
1997-02-25,1364.5044678198412
1997-02-26,1355.4566956571293
1997-02-27,1348.4726447534424
1997-02-28,1340.7860030389595
1997-03-03,1339.6756042274649
1997-03-04,1339.6985369909935
1997-03-05,1345.3495212905907
1997-03-06,1343.8837600355585
1997-03-07,1348.9113854470102
1997-03-10,1358.4187736545518
1997-03-11,1359.2695216500645
1997-03-12,1348.7199016683956
1997-03-13,1334.0825230404082
1997-03-14,1335.5979915316855
1997-03-17,1332.7143514943102
1997-03-18,1330.4377305826165
1997-03-19,1326.9492078971894
1997-03-20,1317.9756121914463
1997-03-21,1324.2945874208347
1997-03-24,1323.3726018293396
1997-03-25,1327.75689507623
1997-03-26,1333.844684866213
1997-03-27,1324.579790183221
1997-03-28,1323.8517601123438
1997-03-31,1310.3026621362749
1997-04-01,1301.0329191612818
1997-04-02,1296.380231644725
1997-04-03,1293.0378697892058
1997-04-04,1295.9367632717424
1997-04-07,1295.8319465773618
1997-04-08,1299.412283986745
1997-04-09,1294.7417099929228
1997-04-10,1289.2146249548318
1997-04-11,1274.1911268014217
1997-04-14,1271.9448115973184
1997-04-15,1283.8155402425355
1997-04-16,1292.9229841317106
1997-04-17,1295.494721549337
1997-04-18,1301.8789751380916
1997-04-21,1302.9639078496107
1997-04-22,1309.5188018158215
1997-04-23,1314.1579530593403
1997-04-24,1312.4368904691812
1997-04-25,1302.7685878094692
1997-04-28,1305.4943620947452
1997-04-29,1323.039390360466
1997-04-30,1334.2157908177182
1997-05-01,1339.6739096195718
1997-05-02,1352.939380472799
1997-05-05,1368.2412191289925
1997-05-06,1380.204874028805
1997-05-07,1373.8064771102536
1997-05-08,1378.9505366785997
1997-05-09,1387.8093046198487
1997-05-12,1405.8665568552517
1997-05-13,1405.9914224976246
1997-05-14,1412.014447410698
1997-05-15,1417.5935103021413
1997-05-16,1417.2354416753053
1997-05-19,1416.4396418551876
1997-05-20,1426.995495276009
1997-05-21,1425.9425917255844
1997-05-22,1419.369857974028
1997-05-23,1432.0961525995087
1997-05-26,1432.1941952861846
1997-05-27,1430.0880472602937
1997-05-28,1433.0747014044625
1997-05-29,1430.0962903491097
1997-05-30,1426.154604891994
1997-06-02,1429.594121602195
1997-06-03,1432.0353357110498
1997-06-04,1430.375118063825
1997-06-05,1435.7774485312098
1997-06-06,1446.9233260578615
1997-06-09,1459.103934958812
1997-06-10,1461.4766033851881
1997-06-11,1467.0794727530601
1997-06-12,1474.2467324904644
1997-06-13,1481.429702915276
1997-06-16,1488.3644881088503
1997-06-17,1484.8371266305812
1997-06-18,1483.0311664921865
1997-06-19,1490.8628463487635
1997-06-20,1490.7244528197284
1997-06-23,1479.08193782919
1997-06-24,1490.8267664136526
1997-06-25,1496.8130105203375
1997-06-26,1494.9442776639266
1997-06-27,1492.231641407589
1997-06-30,1491.128621739006
1997-07-01,1496.836774767749
1997-07-02,1506.4474262046988
