Date,ACWI ex IRELAND IMI
1994-05-31,1000.0
1994-06-30,1001.8510129853814
1994-07-29,1017.5361318526893
1994-08-31,1050.9004367388586
1994-09-30,1027.650752453539
1994-10-31,1049.9235377917905
1994-11-30,999.4929186847062
1994-12-30,1008.6519010203245
1995-01-31,988.1486835483125
1995-02-28,993.8124731966763
1995-03-31,1038.7210169044342
1995-04-28,1070.7807145811287
1995-05-31,1077.6119345446948
1995-06-30,1080.1382058605077
1995-07-31,1132.9928848490881
1995-08-31,1113.4700657204526
1995-09-29,1140.004037547837
1995-10-31,1117.0845521179372
1995-11-30,1148.6800096657
1995-12-29,1182.1662209086269
1996-01-31,1203.4885119784228
1996-02-29,1213.1657492347063
1996-03-29,1231.944593836338
1996-04-30,1270.5830671465214
1996-05-31,1273.6807970368845
1996-06-28,1274.3506351812455
1996-07-31,1219.486457332147
1996-08-30,1238.1892377890222
1996-09-30,1279.0230816829273
1996-10-31,1276.7701252755746
1996-11-29,1334.388775252404
1996-12-31,1316.6633153235368
1997-01-01,1316.6778925502665
1997-01-02,1307.323533532642
1997-01-03,1314.8942198416228
1997-01-06,1319.3097865989805
1997-01-07,1322.606229988608
1997-01-08,1318.4346814131018
1997-01-09,1316.8475467160627
1997-01-10,1310.7576030727557
1997-01-13,1318.794281880044
1997-01-14,1327.837448033123
1997-01-15,1329.85675278632
1997-01-16,1336.2439207107957
1997-01-17,1337.750489433009
1997-01-20,1332.659412729339
1997-01-21,1332.6461291991927
1997-01-22,1337.8524949208258
1997-01-23,1331.0320673106003
1997-01-24,1322.187556807996
1997-01-27,1311.6284761381503
1997-01-28,1310.4619179447081
1997-01-29,1314.6011284982758
1997-01-30,1321.7251282789139
1997-01-31,1330.630426924355
1997-02-03,1330.1037972591105
1997-02-04,1332.6678470733154
1997-02-05,1323.9333909127342
1997-02-06,1324.5513691774936
1997-02-07,1327.5291558409408
1997-02-10,1332.3179626044414
1997-02-11,1332.7093776937602
1997-02-12,1342.888000486353
1997-02-13,1351.0968580747915
1997-02-14,1352.0510223876736
1997-02-17,1351.2802359239618
1997-02-18,1354.0184310594232
1997-02-19,1352.9911469782526
1997-02-20,1352.3229508366387
1997-02-21,1353.9941524551493
1997-02-24,1362.9236576044705
1997-02-25,1368.0684053083332
1997-02-26,1358.8868553308746
1997-02-27,1351.6573397761117
1997-02-28,1344.0908516939282
1997-03-03,1343.0575774801232
1997-03-04,1343.1361943955
1997-03-05,1348.7750795125091
1997-03-06,1347.3833343064543
1997-03-07,1352.480056223216
1997-03-10,1362.2450435278886
1997-03-11,1363.1474610869584
1997-03-12,1352.3698090154417
1997-03-13,1337.7896822449059
1997-03-14,1339.4939772802966
1997-03-17,1336.3753419726029
1997-03-18,1333.9110527715147
1997-03-19,1330.303740357118
1997-03-20,1321.6633479829864
1997-03-21,1327.864225796694
1997-03-24,1326.9771666382992
1997-03-25,1331.3725092057095
1997-03-26,1337.3103333999275
1997-03-27,1328.1277859417826
1997-03-28,1327.3941665261243
1997-03-31,1313.6179220432675
1997-04-01,1304.5250562447513
1997-04-02,1299.941495479945
1997-04-03,1296.7863983003047
1997-04-04,1300.126715412108
1997-04-07,1300.3123565088003
1997-04-08,1303.7587970194904
1997-04-09,1299.207273345315
1997-04-10,1293.6614470765091
1997-04-11,1278.5205657577478
1997-04-14,1276.1082024132381
1997-04-15,1287.9383561235381
1997-04-16,1296.9765931658621
1997-04-17,1299.2771323045415
1997-04-18,1305.5854831189922
1997-04-21,1306.6518538219298
1997-04-22,1313.2255742174355
1997-04-23,1318.0128974508339
1997-04-24,1316.4364895957767
1997-04-25,1306.8737434613863
