Date,AC ASIA ex JAPAN IMI
1994-05-31,656.4706378769145
1994-06-30,632.801410811151
1994-07-29,661.3170840584221
1994-08-31,713.8907709526829
1994-09-30,711.5778183827721
1994-10-31,716.9385536317101
1994-11-30,655.9394215049294
1994-12-30,637.9870746839081
1995-01-31,576.2539174679939
1995-02-28,617.1152141141953
1995-03-31,615.2821067279172
1995-04-28,605.8880206488083
1995-05-31,667.7527999703498
1995-06-30,662.2298745101293
1995-07-31,678.9224038696308
1995-08-31,650.6010355841452
1995-09-29,654.8198806426416
1995-10-31,642.4172287720885
1995-11-30,627.0148943578324
1995-12-29,657.3522982453734
1996-01-31,711.9871450263041
1996-02-29,718.0106352935852
1996-03-29,721.6800606739877
1996-04-30,754.3789563609504
1996-05-31,747.8400442165024
1996-06-28,737.2042054895636
1996-07-31,682.4034679158335
1996-08-30,705.2682890647907
1996-09-30,713.2047157362304
1996-10-31,701.1266946503871
1996-11-29,731.9076309507657
1996-12-31,728.2302518920227
1997-01-01,728.3639920900058
1997-01-02,725.7523282189845
1997-01-03,727.7408144301868
1997-01-06,732.039225277201
1997-01-07,734.9401055840591
1997-01-08,740.8226558512545
1997-01-09,739.9977212986787
1997-01-10,741.1893946858612
1997-01-13,742.1671993189051
1997-01-14,740.3214565483089
1997-01-15,751.3635524797373
1997-01-16,752.0172385304655
1997-01-17,754.9346755027702
1997-01-20,759.5281588656148
1997-01-21,755.0041793799207
1997-01-22,757.4135736327358
1997-01-23,757.2451977454259
1997-01-24,753.8800547343201
1997-01-27,751.8484645576725
1997-01-28,752.2368265674542
1997-01-29,748.9045044021801
1997-01-30,750.8715787862618
1997-01-31,749.8281665105126
1997-02-03,749.7244626179894
1997-02-04,750.7825189478106
1997-02-05,752.154377501284
1997-02-06,753.6562230723839
1997-02-07,753.5158774465915
1997-02-10,753.8531456376442
1997-02-11,752.9668813308787
1997-02-12,756.2557709466937
1997-02-13,756.5474347281852
1997-02-14,755.2958095490329
1997-02-17,758.041517915071
1997-02-18,753.0835971397709
1997-02-19,758.399938583888
1997-02-20,765.1317277170219
1997-02-21,765.4636041271227
1997-02-24,762.5852956554385
1997-02-25,765.7033746224431
1997-02-26,763.9364161715829
