Date,ACWI ex INDIA IMI
1994-05-31,1000.0
1994-06-30,1001.6206167054581
1994-07-29,1017.3365222755742
1994-08-31,1050.4990495629538
1994-09-30,1027.5611339038262
1994-10-31,1050.1413777043228
1994-11-30,999.5046923748225
1994-12-30,1009.0681223210045
1995-01-31,988.9528195682893
1995-02-28,995.0476768006206
1995-03-31,1040.3725755687349
1995-04-28,1072.8919597899526
1995-05-31,1079.5688483266986
1995-06-30,1082.4139405706228
1995-07-31,1135.439884094038
1995-08-31,1116.0569797016583
1995-09-29,1142.9570847497298
1995-10-31,1120.0512870575967
1995-11-30,1152.5682847709331
1995-12-29,1186.1016771042207
1996-01-31,1207.9611138072974
1996-02-29,1216.81465775749
1996-03-29,1235.7320868447607
1996-04-30,1273.9520697141038
1996-05-31,1277.4428621097438
1996-06-28,1277.929289720596
1996-07-31,1223.300327663642
1996-08-30,1242.3140278072622
1996-09-30,1284.2230610329564
1996-10-31,1282.1375615240986
1996-11-29,1340.7391240228812
1996-12-31,1322.625479692369
1997-01-01,1322.6401566468435
1997-01-02,1312.9689377152113
1997-01-03,1320.5565030063726
1997-01-06,1325.0159320288856
1997-01-07,1328.3551290848916
1997-01-08,1324.1081837052102
1997-01-09,1322.392945355556
1997-01-10,1316.1168668630726
1997-01-13,1324.162146018665
1997-01-14,1333.248296917428
1997-01-15,1335.0400249764812
1997-01-16,1341.7465444250863
1997-01-17,1343.3365664858811
1997-01-20,1338.2457781035957
1997-01-21,1338.2792925515878
1997-01-22,1343.489890855248
1997-01-23,1336.5869398342688
1997-01-24,1327.6891094640996
1997-01-27,1316.8900532217087
1997-01-28,1315.659532207723
1997-01-29,1319.9410276954966
1997-01-30,1327.1830696423806
1997-01-31,1336.3273443124767
1997-02-03,1335.8836661720522
1997-02-04,1338.4058564741829
1997-02-05,1329.652288797805
1997-02-06,1330.2307066501608
1997-02-07,1333.2141826105562
1997-02-10,1338.0341145110272
1997-02-11,1338.352323353697
1997-02-12,1348.5867739163407
1997-02-13,1356.865738128783
1997-02-14,1357.8125905254687
1997-02-17,1356.9364485869678
1997-02-18,1359.7549853537798
1997-02-19,1358.7230208160763
1997-02-20,1358.0934667277218
1997-02-21,1359.8595269924765
1997-02-24,1368.9774444914756
1997-02-25,1374.1871491085694
1997-02-26,1364.9172801123598
1997-02-27,1357.529564835362
1997-02-28,1349.5556185031803
1997-03-03,1348.0510407630077
1997-03-04,1348.0562679498523
1997-03-05,1353.7203507901395
1997-03-06,1352.4317862077144
1997-03-07,1357.5510851219583
