Date,AC AP IMI WITH PARTIAL A SHARES
2008-11-27,1016.9806129696888
2008-11-28,1032.1209424031638
2008-12-30,1120.4018103911787
2008-12-31,1121.9931186825572
2009-01-29,1061.7728318768925
2009-01-30,1043.0899589493445
2009-02-26,937.7041471771183
2009-02-27,945.6942374595714
2009-03-30,1038.5579622851474
2009-03-31,1024.7220017956042
2009-04-29,1116.9882768552075
2009-04-30,1152.4951192840108
2009-05-28,1282.3615876180622
2009-05-29,1305.4706393258634
2009-06-29,1318.5521637008383
2009-06-30,1325.0161486328789
2009-07-30,1412.4545307132457
2009-07-31,1437.8875984805923
2009-08-28,1468.249161829109
2009-08-31,1462.2657317425733
2009-09-29,1511.1422355001012
2009-09-30,1527.3001908424985
2009-10-29,1485.590919880702
2009-10-30,1508.6114863704338
2009-11-27,1478.0508978393693
2009-11-30,1525.8324989224925
2009-12-30,1555.5559424321746
2009-12-31,1563.294952865136
2010-01-28,1545.74747386876
2010-01-29,1517.4361042343041
2010-02-25,1522.460865177695
2010-02-26,1535.9282833764644
2010-03-30,1645.8045507035351
2010-03-31,1636.1784014481768
2010-04-29,1634.2801419295506
2010-04-30,1651.611937918942
2010-05-28,1490.515488062207
2010-05-31,1492.0667044476643
2010-06-29,1502.0000328470942
2010-06-30,1487.5877366872062
2010-07-29,1580.4676152510658
2010-07-30,1572.4035250703669
2010-08-30,1567.9317744197997
2010-08-31,1544.8679077952486
2010-09-29,1699.1570679375282
2010-09-30,1684.412114014333
2010-10-28,1727.7058329784895
2010-10-29,1725.5556202853154
2010-11-29,1728.3003067900772
2010-11-30,1717.6845466005425
2010-12-30,1831.8769183795598
2010-12-31,1841.6951714612876
2011-01-28,1839.7533387293163
2011-01-31,1826.8354740409757
2011-02-25,1829.5224612689535
2011-02-28,1838.7199602644832
2011-03-30,1814.151979299071
2011-03-31,1826.9556980195446
2011-04-28,1879.6590829557313
2011-04-29,1878.0027061071514
2011-05-30,1813.4235699877777
2011-05-31,1839.291897201342
2011-06-29,1803.6842527323356
2011-06-30,1827.079730054221
2011-07-28,1870.749662193528
2011-07-29,1859.1358962422294
2011-08-30,1684.238336048805
2011-08-31,1705.7566280144654
2011-09-29,1562.8696088309114
2011-09-30,1550.1181768390925
2011-10-28,1702.31664219442
2011-10-31,1663.1276040189464
2011-11-29,1550.4583769117687
2011-11-30,1555.6481931862804
2011-12-29,1543.725930981093
2011-12-30,1558.8725221096117
2012-01-30,1670.79269018069
2012-01-31,1682.3859908852914
2012-02-28,1761.329432015743
2012-02-29,1769.9835431752506
2012-03-29,1743.6566461194711
2012-03-30,1745.8880351023904
2012-04-27,1714.9583472769796
2012-04-30,1729.0333042536527
2012-05-30,1563.3013325731097
2012-05-31,1561.0554154728204
2012-06-28,1594.8709570494207
2012-06-29,1625.7101059249735
2012-07-30,1627.1647512521804
2012-07-31,1644.892653540535
2012-08-30,1647.0117257564716
2012-08-31,1639.8908600996367
2012-09-27,1715.556185216079
2012-09-28,1715.3787505329965
2012-10-30,1695.7684898157656
2012-10-31,1707.4304411923683
2012-11-29,1739.055451873852
2012-11-30,1745.0124570527314
2012-12-28,1815.077277641531
2012-12-31,1811.8808645837955
2013-01-30,1869.75574609106
2013-01-31,1868.8704323503528
2013-02-27,1874.2370006849958
2013-02-28,1899.51677920304
2013-03-28,1920.0483215723273
2013-03-29,1921.1287747063332
2013-04-29,1988.5951957787631
2013-04-30,2011.3359766452816
2013-05-30,1925.2669544649743
2013-05-31,1917.0644464745071
2013-06-27,1821.4881926240196
2013-06-28,1853.2871450425603
2013-07-30,1903.2106895173326
2013-07-31,1881.4508634863798
2013-08-29,1851.4407518663063
2013-08-30,1856.896615270962
2013-09-27,2019.1436571403756
2013-09-30,1989.6275594314782
2013-10-30,2052.9108188875016
2013-10-31,2040.3433318421596
2013-11-28,2033.316205501172
2013-11-29,2035.8890144098978
2013-12-30,2026.1095885045418
2013-12-31,2029.548095470171
2014-01-01,2029.5599556072077
2014-01-02,2024.109312523389
2014-01-03,2017.1700412906505
2014-01-06,2002.2079723017855
2014-01-07,1992.3852793154072
2014-01-08,2011.8670383988995
2014-01-09,2000.2844765800703
2014-01-10,2010.1764688118803
2014-01-13,2024.903501549677
2014-01-14,1995.6249862382278
2014-01-15,2006.3981750932332
2014-01-16,2008.8870207514353
2014-01-17,2009.9299494668169
2014-01-20,2006.5921245856769
2014-01-21,2009.7674041878556
2014-01-22,2016.5016424045293
2014-01-23,1999.5034610173948
2014-01-24,1983.8570769282305
2014-01-27,1942.643438949943
2014-01-28,1936.6423040223845
2014-01-29,1972.4830375776435
2014-01-30,1942.6841778240287
2014-01-31,1945.4406830119244
2014-02-03,1932.3714031238494
2014-02-04,1878.754479046894
2014-02-05,1891.9007271307064
2014-02-06,1898.02051050563
2014-02-07,1923.56264156311
2014-02-10,1938.0784061170573
2014-02-11,1948.184616750066
2014-02-12,1968.8043219679596
2014-02-13,1951.6527846742204
2014-02-14,1953.4642416210975
2014-02-17,1967.9967135537408
2014-02-18,1985.2304928280494
2014-02-19,1985.4827777624776
2014-02-20,1959.6102062586458
2014-02-21,1982.9690690418556
2014-02-24,1980.3669967295978
2014-02-25,1993.4557736548854
2014-02-26,1990.2293957036275
2014-02-27,1991.7396241487806
2014-02-28,1990.0290524170732
2014-03-03,1976.9619806679275
2014-03-04,1977.9841517205527
2014-03-05,1990.0478742227174
2014-03-06,2005.8821933680733
2014-03-07,2012.0393972096856
2014-03-10,1991.9061218652441
2014-03-11,1998.719790188673
2014-03-12,1971.037166318928
2014-03-13,1978.287908347002
2014-03-14,1946.1480958571906
2014-03-17,1942.204508735683
2014-03-18,1957.7112853732006
2014-03-19,1953.194247303734
2014-03-20,1915.324655231208
2014-03-21,1924.6064022077617
2014-03-24,1947.061067725364
2014-03-25,1945.2778447453152
2014-03-26,1963.3272503995904
2014-03-27,1975.3673841119653
2014-03-28,1983.500864541391
2014-03-31,2002.0627356180958
2014-04-01,2006.4270276019793
2014-04-02,2015.0009760450307
2014-04-03,2017.0636724994106
2014-04-04,2020.547652767067
2014-04-07,2009.6218675476339
2014-04-08,2009.7110332611423
2014-04-09,2007.4951211657276
2014-04-10,2018.3124039746278
2014-04-11,1998.6409310534489
2014-04-14,1990.590883816118
2014-04-15,1989.2532644934415
2014-04-16,2007.325284824254
2014-04-17,2011.7150416551312
2014-04-18,2018.4596169244412
2014-04-21,2013.9279641550975
2014-04-22,2009.7978033687148
2014-04-23,2014.6416173407324
2014-04-24,2010.9429469438392
2014-04-25,2005.3339528437132
2014-04-28,1992.143171514732
2014-04-29,1994.6539878494884
2014-04-30,1993.3933605282748
2014-05-01,2003.5208369280192
2014-05-02,2008.9284631833086
2014-05-05,2008.3183436612844
2014-05-06,2017.4781774907226
2014-05-07,1987.0385092590625
2014-05-08,1997.9658356670807
2014-05-09,2001.097257236691
2014-05-12,1999.056219717
2014-05-13,2020.6307086043735
2014-05-14,2037.600904622158
2014-05-15,2038.6560814934019
2014-05-16,2026.925021357904
2014-05-19,2021.348946067593
2014-05-20,2017.9733371822917
2014-05-21,2013.3515644532927
2014-05-22,2036.5524063315252
2014-05-23,2045.981424771466
2014-05-26,2055.1386996291435
2014-05-27,2051.591511570385
2014-05-28,2062.3395830712284
2014-05-29,2065.832454423744
2014-05-30,2061.587799874596
2014-06-02,2071.601528716528
2014-06-03,2079.2120581422023
2014-06-04,2076.195239121394
2014-06-05,2079.469950122419
2014-06-06,2083.399595741147
2014-06-09,2087.4179148118774
2014-06-10,2091.9647770580086
2014-06-11,2102.4699409401796
2014-06-12,2100.8664047349853
2014-06-13,2097.6390972186664
2014-06-16,2092.957104060175
2014-06-17,2090.023033649466
2014-06-18,2093.2179427871743
2014-06-19,2118.408087284558
2014-06-20,2108.662748075208
2014-06-23,2108.5908182587573
2014-06-24,2109.958207888963
2014-06-25,2104.1968041447158
2014-06-26,2121.8417663705577
2014-06-27,2116.4834793983205
2014-06-30,2127.3160585662854
2014-07-01,2135.220064387348
2014-07-02,2151.470896665798
2014-07-03,2147.8241977304183
2014-07-04,2156.2376360572844
2014-07-07,2156.6207120333497
2014-07-08,2155.8173882344963
2014-07-09,2141.5834700522087
2014-07-10,2140.8138022296457
2014-07-11,2132.9856790046115
2014-07-14,2142.0817120378865
2014-07-15,2149.4270689180066
2014-07-16,2150.0254468368007
2014-07-17,2150.9391906595188
2014-07-18,2144.922421746843
2014-07-21,2147.135949348301
2014-07-22,2161.293514608525
2014-07-23,2169.6857729889366
2014-07-24,2168.3172000322375
2014-07-25,2174.4747451541957
2014-07-28,2180.1212828731177
2014-07-29,2183.1905661306105
2014-07-30,2182.3502184828158
2014-07-31,2174.3245816316216
2014-08-01,2158.2683647406398
2014-08-04,2161.7248354795893
2014-08-05,2145.8080914354723
2014-08-06,2136.9743498551834
2014-08-07,2135.674626218766
2014-08-08,2108.151182786607
2014-08-11,2134.0044391574083
2014-08-12,2144.5226483947426
2014-08-13,2153.8669070635124
2014-08-14,2162.5926837002826
2014-08-15,2165.6840875531134
2014-08-18,2165.079861233647
2014-08-19,2178.521233721946
2014-08-20,2175.565288764389
