Date,ACWI ex GERMANY IMI
1994-05-31,1000.0
1994-06-30,1001.7593667731092
1994-07-29,1016.6598427279308
1994-08-31,1050.1747275179707
1994-09-30,1028.189471733764
1994-10-31,1049.5618771635031
1994-11-30,999.4294711863953
1994-12-30,1007.6797011322532
1995-01-31,987.0364225666302
1995-02-28,990.3032298020207
1995-03-31,1037.188797635323
1995-04-28,1069.27362959483
1995-05-31,1075.9601856343445
1995-06-30,1077.4152887542446
1995-07-31,1130.142328045706
1995-08-31,1112.4122651263808
1995-09-29,1139.5135231535025
1995-10-31,1116.246959236995
1995-11-30,1149.4513532338808
1995-12-29,1182.9734210440954
1996-01-31,1204.0006105502011
1996-02-29,1213.5758015035387
1996-03-29,1233.4245747028315
1996-04-30,1275.294550938562
1996-05-31,1277.595150871417
1996-06-28,1277.1530905374677
1996-07-31,1220.2470842490159
1996-08-30,1238.8736946841898
1996-09-30,1281.2841473164956
1996-10-31,1278.5743572799063
1996-11-29,1336.9194966765153
1996-12-31,1318.0392217099443
1997-01-01,1318.0543701142265
1997-01-02,1308.7851477060315
1997-01-03,1317.0232340606055
1997-01-06,1321.5007201197861
1997-01-07,1324.8023925960263
1997-01-08,1320.473357380029
1997-01-09,1319.1619769080462
1997-01-10,1312.6219110163588
1997-01-13,1320.8275569055336
1997-01-14,1330.4633367943632
1997-01-15,1331.8336767766516
1997-01-16,1338.4822650440565
1997-01-17,1340.4368574190044
1997-01-20,1335.066003950079
1997-01-21,1335.7358724329583
1997-01-22,1340.984769744745
1997-01-23,1333.8183475834342
1997-01-24,1324.6631105845902
1997-01-27,1314.080427384232
1997-01-28,1313.3571469521053
1997-01-29,1317.3684410995968
1997-01-30,1324.4046452901969
1997-01-31,1333.3195937983623
1997-02-03,1332.4840912116206
1997-02-04,1335.0248106672618
1997-02-05,1325.754566690694
1997-02-06,1326.3258625752167
1997-02-07,1329.6880771673923
1997-02-10,1333.6338490384246
1997-02-11,1334.4934428164854
1997-02-12,1344.9893037036052
1997-02-13,1353.518859770216
1997-02-14,1354.299014933085
1997-02-17,1354.0919001794064
1997-02-18,1356.1301968597709
1997-02-19,1355.6527857227782
1997-02-20,1355.2914817868855
1997-02-21,1356.9640587233494
1997-02-24,1365.8601713227677
1997-02-25,1370.7869789814322
1997-02-26,1361.5746360813685
1997-02-27,1353.5167860920596
1997-02-28,1345.761437032373
1997-03-03,1344.5521100110798
1997-03-04,1344.3870311674339
1997-03-05,1349.7880859607185
1997-03-06,1347.9444918640459
1997-03-07,1353.784179706408
1997-03-10,1362.6392262430286
1997-03-11,1363.2282929776432
1997-03-12,1352.2965106353154
1997-03-13,1337.9108552371486
1997-03-14,1339.5211451652128
1997-03-17,1336.1082684495584
1997-03-18,1333.8889181434113
1997-03-19,1329.9548403045071
1997-03-20,1321.605520022223
1997-03-21,1327.4493714313878
