Date,AC AP ex JP IMI WITH PARTIAL A SHARES
2008-11-27,1041.9310986691469
2008-11-28,1061.060253983124
2008-12-30,1150.65631173585
2008-12-31,1161.3991737372191
2009-01-29,1077.0212951482358
2009-01-30,1073.491101880815
2009-02-26,1023.7989153301975
2009-02-27,1013.6492496860538
2009-03-30,1152.1271968003323
2009-03-31,1165.7466068762346
2009-04-29,1292.2408498554876
2009-04-30,1350.410995420187
2009-05-28,1533.4516402986646
2009-05-29,1563.09925300239
2009-06-29,1570.4389390501337
2009-06-30,1574.6962671294036
2009-07-30,1740.384106727437
2009-07-31,1770.1734140491437
2009-08-28,1783.787446277212
2009-08-31,1764.9634129793455
2009-09-29,1917.81568948204
2009-09-30,1931.9749322131488
2009-10-29,1912.9870267163164
2009-10-30,1929.2730198105126
2009-11-27,1936.9421326073887
2009-11-30,1987.0119699302493
2009-12-30,2040.8948583115782
2009-12-31,2064.3106588957316
2010-01-28,1966.331523216337
2010-01-29,1935.6939240523018
2010-02-25,1934.948942425271
2010-02-26,1959.2415203381643
2010-03-30,2123.2789129318858
2010-03-31,2110.2959996036925
2010-04-29,2121.274878563612
2010-04-30,2141.0942756168197
2010-05-28,1905.3016169076814
2010-05-31,1907.3904522422818
2010-06-29,1934.651102827112
2010-06-30,1920.6123798802034
2010-07-29,2069.1607477279617
2010-07-30,2063.5501464728654
2010-08-30,2056.8768081239878
2010-08-31,2034.6344149027536
2010-09-29,2285.420944179756
2010-09-30,2280.7167052587192
2010-10-28,2353.3504970590984
2010-10-29,2347.6874091406285
2010-11-29,2310.750158586428
2010-11-30,2300.3340794341952
2010-12-30,2446.8180909042217
2010-12-31,2456.0038366130857
2011-01-28,2438.1349714003127
2011-01-31,2419.379736667891
2011-02-25,2366.7331866242207
2011-02-28,2374.723332015653
2011-03-30,2474.0049991620654
2011-03-31,2493.103148984218
2011-04-28,2608.725782986088
2011-04-29,2599.2518224585074
2011-05-30,2502.65570913956
2011-05-31,2538.9620376125063
2011-06-29,2446.4868823221464
2011-06-30,2486.330075701587
2011-07-28,2527.1804038820596
2011-07-29,2502.08976951531
2011-08-30,2249.4863395622992
2011-08-31,2284.5180759269006
2011-09-29,1987.054051877655
2011-09-30,1965.1753596983224
2011-10-28,2252.09810607336
2011-10-31,2221.734630556737
2011-11-29,2036.0075231257342
2011-11-30,2046.0006504455366
2011-12-29,2033.084246050555
2011-12-30,2040.426658034899
2012-01-30,2223.2207590291464
2012-01-31,2248.564144734702
2012-02-28,2345.7163062329532
2012-02-29,2376.5676039660702
2012-03-29,2290.343240029641
2012-03-30,2301.639788855929
2012-04-27,2288.727546058241
2012-04-30,2308.4086943059824
2012-05-30,2077.993415079805
2012-05-31,2071.4069501977283
2012-06-28,2091.1334070406438
2012-06-29,2145.932399138194
2012-07-30,2190.423267115262
2012-07-31,2218.3707964219752
2012-08-30,2214.6747741303493
2012-08-31,2216.9753288016777
2012-09-27,2332.440195634389
2012-09-28,2348.280593790121
2012-10-30,2342.283270785082
2012-10-31,2357.0716063459
2012-11-29,2396.3763179149632
2012-11-30,2410.0781090056225
2012-12-28,2487.894095659623
2012-12-31,2487.0946074063536
2013-01-30,2565.744459302926
2013-01-31,2557.692600692318
2013-02-27,2551.9576715549256
2013-02-28,2582.957720740211
2013-03-28,2543.9243566759837
2013-03-29,2548.4786265901666
2013-04-29,2579.1563562147853
2013-04-30,2608.8524691164093
2013-05-30,2527.266444785241
2013-05-31,2509.301897172976
2013-06-27,2318.652047124957
2013-06-28,2348.5869338059583
2013-07-30,2414.489810195375
2013-07-31,2397.1347404284566
2013-08-29,2357.2815690718908
2013-08-30,2378.103489986916
2013-09-27,2552.737202348808
2013-09-30,2520.8220436203665
2013-10-30,2644.543970657948
2013-10-31,2631.6416938053003
2013-11-28,2590.3116431722165
2013-11-29,2601.1727525715996
2013-12-30,2564.5385013494747
2013-12-31,2573.170070577743
2014-01-01,2573.195682646863
2014-01-02,2560.046513631999
2014-01-03,2535.5270622778166
2014-01-06,2518.688617256505
2014-01-07,2512.5921319632025
2014-01-08,2526.9543665754827
2014-01-09,2513.73905070061
2014-01-10,2520.853474364803
2014-01-13,2538.9216856632434
2014-01-14,2520.981561114798
2014-01-15,2523.9688891152095
2014-01-16,2525.270330805727
2014-01-17,2524.037999213678
2014-01-20,2517.7839857588883
2014-01-21,2525.7280650950975
2014-01-22,2534.3432987285146
2014-01-23,2504.259965777743
2014-01-24,2479.5079290274034
2014-01-27,2441.4923565588906
2014-01-28,2441.254268723679
2014-01-29,2463.616453222694
2014-01-30,2452.7789395041896
2014-01-31,2451.5837439160186
2014-02-03,2446.026116728241
2014-02-04,2413.8478513647833
2014-02-05,2405.9250653224854
2014-02-06,2430.6165942830257
2014-02-07,2454.0513170014956
2014-02-10,2460.7181515364687
2014-02-11,2488.5522194135024
2014-02-12,2514.303014320607
2014-02-13,2499.3708386558797
2014-02-14,2520.65875497866
2014-02-17,2541.069411164208
2014-02-18,2540.6453599814645
2014-02-19,2546.3870229586228
2014-02-20,2525.813025953558
2014-02-21,2543.1442150781986
2014-02-24,2538.231920468313
2014-02-25,2541.1043785542715
2014-02-26,2547.09173552916
2014-02-27,2557.9222524210873
2014-02-28,2561.9604800842844
2014-03-03,2544.531521773397
2014-03-04,2548.870931721575
2014-03-05,2565.917916354011
2014-03-06,2591.11158425955
2014-03-07,2596.068824910654
2014-03-10,2563.9725629525165
2014-03-11,2570.4891201722926
2014-03-12,2540.3948881725873
2014-03-13,2551.066566290364
2014-03-14,2525.8666873817974
2014-03-17,2533.300519390825
2014-03-18,2546.9065572268664
