Date,AC FAR EAST IMI
1994-05-31,854.1451466164002
1994-06-30,890.9373447583594
1994-07-29,869.9832249640313
1994-08-31,883.5256113234019
1994-09-30,864.7782924198633
1994-10-31,883.1325002158989
1994-11-30,823.5781952266269
1994-12-30,832.4021166333521
1995-01-31,778.6640285799309
1995-02-28,750.9271744638517
1995-03-31,807.1696989350223
1995-04-28,833.9822409042736
1995-05-31,802.8509652201267
1995-06-30,773.2596359449673
1995-07-31,821.8033621955442
1995-08-31,791.492140517106
1995-09-29,795.6204679157113
1995-10-31,759.5036549802103
1995-11-30,789.3158252244494
1995-12-29,826.362078815809
1996-01-31,831.5043628813592
1996-02-29,821.0447003381134
1996-03-29,844.3241212991254
1996-04-30,896.4094271396764
1996-05-31,860.8284269219456
1996-06-28,860.766846488402
1996-07-31,816.1440989663748
1996-08-30,795.6229945019724
1996-09-30,815.0074796442274
1996-10-31,770.886150348158
1996-11-29,783.463791090936
1996-12-31,739.5020345800219
1997-01-01,739.5427916800979
1997-01-02,739.8919887467393
1997-01-03,738.0776759262079
1997-01-06,745.3117929323098
1997-01-07,739.0795674437215
1997-01-08,731.7375734019804
1997-01-09,715.4351900867541
1997-01-10,697.6303928656811
1997-01-13,710.4008339557986
1997-01-14,708.4470053533266
1997-01-15,710.0475786684303
1997-01-16,716.5638451826485
1997-01-17,712.8618457151791
1997-01-20,701.682146438772
1997-01-21,697.1813182802166
1997-01-22,703.0437008169557
1997-01-23,697.4100665784661
1997-01-24,693.7091373862255
1997-01-27,682.2206371265605
1997-01-28,681.4658857049577
1997-01-29,684.006282968112
1997-01-30,678.9836905489672
1997-01-31,689.0805342571766
1997-02-03,686.6344423387085
1997-02-04,688.081765228446
1997-02-05,677.4039767608472
1997-02-06,675.0640473356959
1997-02-07,667.9307271651825
1997-02-10,678.7054687053612
1997-02-11,677.3449376103977
1997-02-12,679.6918835232445
1997-02-13,681.4073372423859
1997-02-14,684.9585383940188
1997-02-17,685.6549201322786
1997-02-18,681.7388034218606
1997-02-19,682.8695021400395
1997-02-20,698.4452656377125
1997-02-21,703.8532741323082
1997-02-24,705.8941835085524
1997-02-25,707.8619484750558
1997-02-26,704.1788198923456
1997-02-27,707.4886557598526
1997-02-28,700.7685606661471
1997-03-03,696.0901226722092
1997-03-04,693.8701698056593
1997-03-05,689.9825685626433
1997-03-06,682.7027792341668
1997-03-07,683.7955738525874
1997-03-10,683.0776981197238
1997-03-11,686.0524667340636
1997-03-12,680.9396240346991
1997-03-13,673.8499809901673
1997-03-14,670.6069832634777
1997-03-17,671.8719661905166
1997-03-18,680.6404414955136
1997-03-19,680.9908748774718
1997-03-20,676.8709045951108
1997-03-21,682.4562859008084
1997-03-24,675.4452367671993
1997-03-25,677.5495140672795
1997-03-26,680.7440015200535
1997-03-27,677.5626112887628
1997-03-28,675.172096264389
1997-03-31,672.6703065508768
1997-04-01,669.7441649517565
1997-04-02,676.1308298556025
1997-04-03,674.3987303599315
1997-04-04,665.6034532979976
1997-04-07,655.0805979453678
1997-04-08,657.8721562997109
1997-04-09,650.490567600972
1997-04-10,643.1840238501269
1997-04-11,647.3929250753738
1997-04-14,640.9151405770316
1997-04-15,643.523293557095
1997-04-16,651.2999343690414
1997-04-17,653.8096247794907
1997-04-18,660.4785707215065
1997-04-21,669.8062031686885
1997-04-22,666.7066062318402
1997-04-23,672.7207738853975
1997-04-24,671.0246394605235
1997-04-25,668.4380617265018
1997-04-28,664.7524456388105
1997-04-29,662.1325029086479
1997-04-30,672.8677706058082
1997-05-01,680.7325298325743
1997-05-02,683.0467236190025
1997-05-05,685.0452944538197
1997-05-06,704.119254318539
1997-05-07,704.4153274157877
1997-05-08,706.6121023449107
1997-05-09,710.3294819609748
1997-05-12,727.4603042425687
1997-05-13,727.5842937153805
1997-05-14,732.4945508345187
1997-05-15,735.3810731252382
1997-05-16,744.9043869181377
1997-05-19,744.923522374333
1997-05-20,755.4702478411293
1997-05-21,743.500759761834
1997-05-22,736.3061852998529
1997-05-23,744.0578803358567
1997-05-26,742.0041901351989
1997-05-27,737.4868074481881
1997-05-28,749.9861043034759
1997-05-29,747.4292913697881
1997-05-30,741.7078997331349
1997-06-02,750.5416439336864
1997-06-03,753.4297801543496
1997-06-04,755.2967152403
1997-06-05,756.7681836212555
1997-06-06,755.8461540001762
1997-06-09,767.3208573774973
1997-06-10,769.3128746059182
1997-06-11,773.7103945855617
1997-06-12,764.1448798219749
1997-06-13,762.1603723017938
1997-06-16,774.8581747885655
1997-06-17,773.2655157527784
1997-06-18,772.4745436960158
1997-06-19,769.5239091816151
1997-06-20,768.5967963933031
1997-06-23,764.8202828227722
1997-06-24,766.7123001025521
1997-06-25,780.4686322330969
1997-06-26,782.3500291299187
1997-06-27,774.1330067211977
1997-06-30,778.1074887892953
1997-07-01,768.703873494523
1997-07-02,771.2710258525015
1997-07-03,773.4165119524323
1997-07-04,768.6235325041959
1997-07-07,767.8329664717836
1997-07-08,767.7837452896542
1997-07-09,762.9777016011111
1997-07-10,762.4975120668948
1997-07-11,762.0539413164759
1997-07-14,767.3475708227601
1997-07-15,757.62069556294
1997-07-16,761.6218725710146
1997-07-17,764.4942313487696
1997-07-18,762.4858038621378
1997-07-21,761.6968470649024
1997-07-22,758.6376528981767
1997-07-23,757.5455075535864
1997-07-24,760.7752027262294
1997-07-25,759.5027159129904
1997-07-28,760.0651163897135
1997-07-29,758.0694727292523
1997-07-30,751.5425974673018
1997-07-31,754.1082892144674
1997-08-01,745.2187148426209
1997-08-04,738.6274205057261
