Date,ACWI ex HUNGARY IMI
1994-05-31,1000.0
1994-06-30,1001.840111955985
1994-07-29,1017.5864945932404
1994-08-31,1050.993210220129
1994-09-30,1027.7479482259448
1994-10-31,1050.0302037117337
1994-11-30,999.6008005126569
1994-12-30,1008.7839003058848
1995-01-31,988.3164687762558
1995-02-28,994.0201823791737
1995-03-31,1038.9089423204905
1995-04-28,1070.9624102192747
1995-05-31,1077.8129187920842
1995-06-30,1080.412175707468
1995-07-31,1133.2598254155528
1995-08-31,1113.7463805291043
1995-09-29,1140.3070778316107
1995-10-31,1117.4035608064
1995-11-30,1149.006331261941
1995-12-29,1182.4842036897048
1996-01-31,1203.8191654445657
1996-02-29,1213.5033323494756
1996-03-29,1232.3181926822888
1996-04-30,1270.9875453389582
1996-05-31,1274.1352366177855
1996-06-28,1274.8148354144016
1996-07-31,1219.9723939120374
1996-08-30,1238.745527644125
1996-09-30,1279.6283873736902
1996-10-31,1277.4161603467496
1996-11-29,1335.055685331226
1996-12-31,1317.374093099462
1997-01-01,1317.3886569820588
1997-01-02,1308.0242362041954
1997-01-03,1315.601857151222
1997-01-06,1320.010954641889
1997-01-07,1323.319425654706
1997-01-08,1319.141828414556
1997-01-09,1317.5636895255261
1997-01-10,1311.471145515618
1997-01-13,1319.4928054698682
1997-01-14,1328.5335860682892
1997-01-15,1330.5435668288574
1997-01-16,1336.9083065404081
1997-01-17,1338.4196997430124
1997-01-20,1333.3080758938722
1997-01-21,1333.2723745531637
1997-01-22,1338.4968361507624
1997-01-23,1331.650871053332
1997-01-24,1322.7999721498563
1997-01-27,1312.240630819759
1997-01-28,1311.0542260214897
1997-01-29,1315.2322959200171
1997-01-30,1322.3678443448023
1997-01-31,1331.270410218617
1997-02-03,1330.749727540341
1997-02-04,1333.2974873696974
1997-02-05,1324.58116893616
1997-02-06,1325.2119437563233
1997-02-07,1328.189766928552
1997-02-10,1333.029228597303
1997-02-11,1333.426289757624
1997-02-12,1343.5650182597342
1997-02-13,1351.7795328426996
1997-02-14,1352.7514943958797
1997-02-17,1351.9623952360673
1997-02-18,1354.6848602103817
1997-02-19,1353.6771177477915
1997-02-20,1353.0027083670475
1997-02-21,1354.6792883236105
1997-02-24,1363.6205103449336
1997-02-25,1368.780784550893
1997-02-26,1359.5979663959943
1997-02-27,1352.35916959522
1997-02-28,1344.8152883506505
1997-03-03,1343.7543182583524
1997-03-04,1343.8319891733854
1997-03-05,1349.4652756395767
1997-03-06,1348.095917397649
1997-03-07,1353.1826391452619
1997-03-10,1362.9459857940676
1997-03-11,1363.8741964360722
1997-03-12,1353.0926699202678
1997-03-13,1338.5361422688798
1997-03-14,1340.2435247337933
1997-03-17,1337.1138090922252
1997-03-18,1334.6189558153494
1997-03-19,1331.0079001586632
1997-03-20,1322.3372252587778
1997-03-21,1328.553523582371
1997-03-24,1327.659964952514
1997-03-25,1332.078787176938
1997-03-26,1338.0147382907837
1997-03-27,1328.8298917796048
1997-03-28,1328.1044187615025
1997-03-31,1314.346042597312
1997-04-01,1305.221895583858
1997-04-02,1300.6423123989605
1997-04-03,1297.4814540684852
1997-04-04,1300.8277201123794
1997-04-07,1301.0144317837653
1997-04-08,1304.4478355025594
1997-04-09,1299.9159680288985
1997-04-10,1294.3804407688276
1997-04-11,1279.2467485316538
1997-04-14,1276.8177928052921
1997-04-15,1288.650951511015
1997-04-16,1297.6947993461247
1997-04-17,1299.9968336071738
1997-04-18,1306.2955388756188
1997-04-21,1307.352416293547
1997-04-22,1313.9293198498444
1997-04-23,1318.7066320102394
1997-04-24,1317.141555640226
1997-04-25,1307.5798194424074
1997-04-28,1310.3097895292265
1997-04-29,1327.7963536996444
1997-04-30,1339.0051802372957
1997-05-01,1344.4046133684578
1997-05-02,1357.6858301438215
1997-05-05,1372.683516645128
1997-05-06,1384.6836778417721
1997-05-07,1378.1866346408221
1997-05-08,1383.4749612168694
1997-05-09,1392.2338953681672
1997-05-12,1410.2039187604773
1997-05-13,1410.3202042249582
1997-05-14,1415.8701151229284
1997-05-15,1421.546971082287
1997-05-16,1421.2420592086282
1997-05-19,1420.508468127585
1997-05-20,1431.0708954967681
1997-05-21,1430.1426200623557
1997-05-22,1423.6118094248252
1997-05-23,1436.2199946998262
