Date,JAPAN MINIMUM VOLATILITY (JPY)
1998-12-31,856.9160538525284
1999-01-01,856.9160538525284
1999-01-04,837.7244088820062
1999-01-05,839.213788227127
1999-01-06,841.0040505587252
1999-01-07,859.0526751864987
1999-01-08,858.4640078497379
1999-01-11,875.3289154081484
1999-01-12,855.0893324490695
1999-01-13,828.0487412165185
1999-01-14,839.167755500339
1999-01-15,843.3361160723992
1999-01-18,838.505764870262
1999-01-19,837.2538353626386
1999-01-20,850.4586968397084
1999-01-21,856.0984221969851
1999-01-22,842.3398250905612
1999-01-25,846.8037285953047
1999-01-26,853.4837762575655
1999-01-27,851.0233066466237
1999-01-28,849.573608508501
1999-01-29,864.1947659786235
1999-02-01,869.4402083630455
1999-02-02,886.1583018808501
1999-02-03,879.7457492840176
1999-02-04,878.2337008892843
1999-02-05,870.4830465422283
1999-02-08,871.3813034675998
1999-02-09,854.6400784751735
1999-02-10,853.3691349705463
1999-02-11,856.8280207763394
1999-02-12,863.4092720169825
1999-02-15,861.9452827530622
1999-02-16,852.1474657674954
1999-02-17,839.7133004359832
1999-02-18,831.6931455086682
1999-02-19,835.398232857872
1999-02-22,852.2005731437708
1999-02-23,855.6721587541722
1999-02-24,852.8474061900495
1999-02-25,858.7279754923609
1999-02-26,869.0527126441831
1999-03-01,861.3552869486979
1999-03-02,844.8221861296128
1999-03-03,846.0483710349657
1999-03-04,840.7554880569535
1999-03-05,876.8020157704756
1999-03-08,873.5438663042454
1999-03-09,890.822718230532
1999-03-10,911.0274674782347
1999-03-11,924.5568195251585
1999-03-12,919.7693556455283
1999-03-15,940.3525445511169
1999-03-16,962.5027537217956
1999-03-17,956.9446264579618
1999-03-18,937.123383979846
1999-03-19,971.6268787777152
1999-03-22,966.8528749503987
1999-03-23,959.5601027067719
1999-03-24,940.4341091644249
1999-03-25,960.1472740865821
1999-03-26,969.9071941120541
1999-03-29,976.9931884103943
1999-03-30,965.9790731549008
1999-03-31,979.7702508502391
1999-04-01,988.237571661835
1999-04-02,978.7373720905612
1999-04-05,973.9448568277936
1999-04-06,993.3254632186492
1999-04-07,986.0550858585353
1999-04-08,995.2972585079282
1999-04-09,988.2451925766046
1999-04-12,971.9842161758781
1999-04-13,984.9479050979504
1999-04-14,1011.1191913040302
1999-04-15,1010.1958023214116
1999-04-16,1023.1099606520792
1999-04-19,1031.4269296437822
1999-04-20,1024.563658736764
1999-04-21,1005.0372201417213
1999-04-22,1005.203402483821
1999-04-23,1014.1438006338698
1999-04-26,1023.57710178542
1999-04-27,1011.2721678961386
1999-04-28,1018.5946594507518
1999-04-29,1022.8915617301855
1999-04-30,1010.3063394860625
1999-05-03,1005.0544039995767
1999-05-04,994.5055077547514
1999-05-05,987.0068834292007
1999-05-06,1011.8691719704492
1999-05-07,998.1496575405479
1999-05-10,996.660257170962
1999-05-11,986.4957110600399
1999-05-12,994.467106138506
1999-05-13,985.7805392387834
1999-05-14,968.3815078003485
1999-05-17,948.6528812122314
1999-05-18,955.1710117168941
1999-05-19,936.0109664001492
1999-05-20,942.8332286657393
1999-05-21,958.2880911841992
1999-05-24,963.9358865548621
1999-05-25,967.3011195487175
1999-05-26,985.2710980087162
1999-05-27,984.9526194413863
1999-05-28,990.5814511530037
1999-05-31,986.1020760292145
1999-06-01,1006.5415127126889
1999-06-02,1021.6166830637769
1999-06-03,1006.82521670939
1999-06-04,1008.2370203642382
1999-06-07,1023.8668223661483
1999-06-08,1027.2521003377958
1999-06-09,1033.836690694251
1999-06-10,1043.6212677598442
1999-06-11,1056.8134649883177
1999-06-14,1040.438140369617
1999-06-15,1049.1677401598572
1999-06-16,1055.7092963507448
1999-06-17,1069.3166833323364
1999-06-18,1052.7525518460056
1999-06-21,1060.8206462833355
1999-06-22,1068.8635532991689
1999-06-23,1052.0775699379358
1999-06-24,1049.3496223841507
1999-06-25,1035.9128401202665
1999-06-28,1052.7594040609542
1999-06-29,1066.7488364057876
1999-06-30,1056.9803620730092
1999-07-01,1084.3604580281951
1999-07-02,1091.163693696166
1999-07-05,1091.0890435370284
1999-07-06,1085.7416661414468
1999-07-07,1087.8122186688777
1999-07-08,1085.745045099282
1999-07-09,1082.5565266605342
1999-07-12,1101.6513255070806
1999-07-13,1103.8111581044443
1999-07-14,1116.265139433273
1999-07-15,1122.7320765422478
1999-07-16,1112.0279098008336
1999-07-19,1135.0254677271598
1999-07-20,1107.945932490141
1999-07-21,1099.8099737920993
1999-07-22,1085.0640275780509
1999-07-23,1083.197850139484
1999-07-26,1063.6000444675856
1999-07-27,1068.1076071034036
1999-07-28,1083.716842754236
1999-07-29,1093.130939193703
1999-07-30,1112.531951417501
1999-08-02,1113.6241326491331
1999-08-03,1120.9133621426263
1999-08-04,1102.489121451812
1999-08-05,1089.9574188227298
1999-08-06,1072.1534991179515
1999-08-09,1072.7935461753796
1999-08-10,1077.1938844065085
1999-08-11,1072.4572301679186
1999-08-12,1082.8216258819202
1999-08-13,1091.883021529742
1999-08-16,1117.8634595459735
1999-08-17,1133.9433134594196
1999-08-18,1145.1701056671288
1999-08-19,1133.7937695863866
1999-08-20,1138.117305424922
1999-08-23,1145.1189007255934
1999-08-24,1144.3318332016631
1999-08-25,1146.974752589013
1999-08-26,1129.3577720631579
1999-08-27,1125.2140479229063
1999-08-30,1146.0880307964073
1999-08-31,1110.5401342235843
1999-09-01,1147.1611124226324
1999-09-02,1137.262655533432
1999-09-03,1133.396420306807
1999-09-06,1144.5777877731496
1999-09-07,1122.3311484406702
1999-09-08,1126.699534724474
1999-09-09,1162.5661521694979
1999-09-10,1171.5510966699853
1999-09-13,1217.7151270104769
1999-09-14,1217.8021718979003
1999-09-15,1234.200393570808
1999-09-16,1206.7621319109746
1999-09-17,1187.497562643531
1999-09-20,1194.538076823657
1999-09-21,1224.3515057518161
1999-09-22,1186.3549126403084
1999-09-23,1192.362083807415
