Date,CANADA MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1022.9080198765444
2001-06-04,1024.9795305489536
2001-06-05,1020.1483027563401
2001-06-06,1020.8992778793628
2001-06-07,1015.4851675264238
2001-06-08,1018.4198347673928
2001-06-11,1028.5250112976357
2001-06-12,1017.9840893054098
2001-06-13,1013.3657293072837
2001-06-14,995.4969020991002
2001-06-15,979.5714701221252
2001-06-18,973.2127419549238
2001-06-19,977.5145312180695
2001-06-20,979.7289548356383
2001-06-21,978.4669351286225
2001-06-22,978.6369812648975
2001-06-25,968.8135512406903
2001-06-26,963.9910528521782
2001-06-27,957.9228846539214
2001-06-28,971.9600811226645
2001-06-29,992.7614328445094
2001-07-02,994.6207702784088
2001-07-03,1000.1712732618982
2001-07-04,998.8475230622859
2001-07-05,1003.3454586855244
2001-07-06,983.022516961582
2001-07-09,979.8796761775534
2001-07-10,964.6943883996502
2001-07-11,958.5224462648072
2001-07-12,978.4903941770389
2001-07-13,983.9951228397111
2001-07-16,966.3823709195977
2001-07-17,979.5458807921393
2001-07-18,951.5230423736334
2001-07-19,953.8315137780567
2001-07-20,951.3299521491269
2001-07-23,953.17937581625
2001-07-24,948.5280929495502
2001-07-25,949.566443568261
2001-07-26,948.3501879662472
2001-07-27,962.3947381254435
2001-07-30,959.9807132055558
2001-07-31,968.1316397393362
2001-08-01,966.3530659631134
2001-08-02,963.6214777278556
2001-08-03,959.4536482426163
2001-08-06,970.4755350127973
2001-08-07,976.3945979055411
2001-08-08,966.7659019319431
2001-08-09,955.8520454455119
2001-08-10,943.349744509977
2001-08-13,942.0419869723945
2001-08-14,940.2992976041475
2001-08-15,924.6990321547511
2001-08-16,929.9244806576394
2001-08-17,913.2382795776238
2001-08-20,917.4236558852999
2001-08-21,910.7586115436451
2001-08-22,912.7294607009944
2001-08-23,922.0012668243876
2001-08-24,932.6846779363856
2001-08-27,935.2482640228624
2001-08-28,927.990274209749
2001-08-29,918.4323253088415
2001-08-30,910.2470617655824
2001-08-31,907.8094875741913
2001-09-03,908.8830124375565
2001-09-04,935.7421143775445
2001-09-05,931.0752152285186
2001-09-06,926.7415203863138
2001-09-07,905.5412652561006
2001-09-10,908.3803637583649
2001-09-11,867.0482754077418
2001-09-12,875.96908663689
2001-09-13,877.6584234851027
2001-09-14,844.5625801922095
2001-09-17,844.7204770507623
2001-09-18,833.6258183216919
2001-09-19,811.5106503908626
2001-09-20,794.0897037222659
2001-09-21,807.4233644317515
2001-09-24,824.1414680410353
2001-09-25,821.6594755604755
2001-09-26,816.2316773131422
2001-09-27,819.2478251795878
2001-09-28,844.4214975277558
2001-10-01,840.1585038427374
2001-10-02,850.431546357731
2001-10-03,849.1059064896501
2001-10-04,855.1188584492786
2001-10-05,853.8588002683823
2001-10-08,854.8949029134382
2001-10-09,851.047652732777
2001-10-10,865.3227965313297
2001-10-11,886.1282038320344
2001-10-12,877.9352192624673
2001-10-15,872.3425281164403
2001-10-16,876.6969097857633
2001-10-17,866.1465580531368
2001-10-18,855.2976372391314
2001-10-19,859.947496684135
2001-10-22,865.3826399595958
2001-10-23,873.053827264363
2001-10-24,864.7764761692764
2001-10-25,863.0157492944334
2001-10-26,873.5363334565383
2001-10-29,850.052902381106
2001-10-30,836.3067711168476
2001-10-31,846.5255555922708
2001-11-01,848.6168884419818
2001-11-02,854.6263062301435
2001-11-05,864.1444489395271
2001-11-06,868.2682451199673
2001-11-07,866.9923792062235
2001-11-08,871.9516524819637
2001-11-09,876.5639500617608
2001-11-12,876.0726299263922
2001-11-13,902.278850522994
2001-11-14,903.0910502275032
2001-11-15,894.6242162136934
2001-11-16,896.195097355126
2001-11-19,913.5669067630938
2001-11-20,905.0014257498606
2001-11-21,900.4196130419525
2001-11-22,906.5419397175219
2001-11-23,913.9130612095116
2001-11-26,914.4627543960916
2001-11-27,914.5104389485632
2001-11-28,905.2545554527967
2001-11-29,914.6333951724733
2001-11-30,914.3804019974256
2001-12-03,914.2786917245066
2001-12-04,920.346418955353
2001-12-05,940.3966354177318
2001-12-06,927.6095928088556
2001-12-07,932.5277941062441
2001-12-10,928.0865774875291
2001-12-11,920.5172769990493
2001-12-12,924.3910138409722
2001-12-13,911.7290245675979
2001-12-14,908.5898317958888
2001-12-17,916.5179193737445
2001-12-18,922.4047310442063
2001-12-19,919.4745790812191
