Date,UNITED KINGDOM MINIMUM VOLATILITY (GBP)
2001-05-31,1000.0
2001-06-01,1001.369612015083
2001-06-04,1007.2017174490921
2001-06-05,1011.3429264532563
2001-06-06,1000.6411770865436
2001-06-07,999.0864265319623
2001-06-08,996.398059208596
2001-06-11,986.7953594241285
2001-06-12,977.0436455714156
2001-06-13,984.2249614812614
2001-06-14,979.5028407575234
2001-06-15,971.823961907603
2001-06-18,968.6796153155833
2001-06-19,974.033744455376
2001-06-20,977.9891613119256
2001-06-21,982.4320948067625
2001-06-22,984.1017542114686
2001-06-25,978.4670790049131
2001-06-26,965.6535194834055
2001-06-27,976.4706240730118
2001-06-28,990.5934644018682
2001-06-29,990.8388668363395
2001-07-02,1006.8830305990396
2001-07-03,991.333138801179
2001-07-04,986.7549520421795
2001-07-05,988.5050906063691
2001-07-06,977.1297852137199
2001-07-09,970.093180838454
2001-07-10,963.8281475837211
2001-07-11,955.077661225971
2001-07-12,970.5697320372558
2001-07-13,974.3962060015929
2001-07-16,967.4785857456396
2001-07-17,962.1439059373027
2001-07-18,951.0710829275733
2001-07-19,959.5948798312521
2001-07-20,957.365534720906
2001-07-23,956.9037059196664
2001-07-24,939.5643242655672
2001-07-25,931.3819448232841
2001-07-26,934.5410056818389
2001-07-27,950.4211463120731
2001-07-30,953.0681415474199
2001-07-31,965.9959795846149
2001-08-01,968.8690965908588
2001-08-02,972.469924081271
2001-08-03,963.7004255756491
2001-08-06,957.4290916956674
2001-08-07,962.3521045698362
2001-08-08,951.9802963032784
2001-08-09,935.6339936111872
2001-08-10,936.1644808599547
2001-08-13,930.5664853476989
2001-08-14,939.6281607318057
2001-08-15,933.7821797388459
2001-08-16,926.9081963529396
2001-08-17,918.2261033461776
2001-08-20,924.8263930846856
2001-08-21,938.4841557924507
2001-08-22,931.6189620006184
2001-08-23,932.7285722648561
2001-08-24,943.1899651692415
2001-08-27,944.5804268112578
2001-08-28,945.1250673928733
2001-08-29,941.1626012676472
2001-08-30,928.986058062671
2001-08-31,931.5700816103733
2001-09-03,931.279497866234
2001-09-04,949.1194443770282
2001-09-05,948.0013726715096
