Date,WORLD ex USA SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.30985434421257
2001-01-03,98.85301412033627
2001-01-04,99.19094250605362
2001-01-05,98.81818337350562
2001-01-08,98.77363801584485
2001-01-09,98.5771205528502
2001-01-10,98.18928247636251
2001-01-11,97.10944963406484
2001-01-12,97.7021196057002
2001-01-15,98.5042251794364
2001-01-16,99.22219836232055
2001-01-17,100.61762674752771
2001-01-18,100.37062697343138
2001-01-19,102.12776260284781
2001-01-22,102.10654838404645
2001-01-23,101.9639086527959
2001-01-24,102.6672327391275
2001-01-25,103.44974849437308
2001-01-26,102.83833609762155
2001-01-29,103.69702319658651
2001-01-30,103.58959610470158
2001-01-31,103.93247982957539
2001-02-01,104.0189965985709
2001-02-02,104.44923286401817
2001-02-05,103.64123353860778
2001-02-06,104.22045165771813
2001-02-07,103.52743707857246
2001-02-08,103.96872407929175
2001-02-09,103.15119220586479
2001-02-12,102.76078496873784
2001-02-13,103.68133320832689
2001-02-14,103.73030721217418
2001-02-15,105.22444266520027
2001-02-16,104.14208043396884
2001-02-19,103.2951078056861
2001-02-20,104.39617563071559
2001-02-21,103.28599467518258
2001-02-22,102.94993718381834
2001-02-23,103.30644901329921
2001-02-26,103.71031869719893
2001-02-27,103.51775035982209
2001-02-28,102.78370802323673
2001-03-01,101.39316152547838
2001-03-02,100.31904021871344
2001-03-05,100.87990260571452
2001-03-06,101.89663667085269
2001-03-07,102.01670976812943
2001-03-08,101.92971476910547
2001-03-09,101.72496908935052
2001-03-12,100.03895965277198
2001-03-13,99.22302293024114
2001-03-14,98.4313560684674
2001-03-15,98.4769743828431
2001-03-16,98.43368973422285
2001-03-19,98.28848636748597
2001-03-20,98.02464662263132
2001-03-21,98.54135743862463
2001-03-22,97.18009842974706
2001-03-23,98.0551668609877
2001-03-26,99.74539251863006
2001-03-27,99.62501424195636
2001-03-28,100.60628095809591
2001-03-29,100.25029573820167
2001-03-30,99.38081268058549
2001-04-02,99.36571471158737
2001-04-03,98.70612465174891
2001-04-04,97.83630498578961
2001-04-05,99.78886595073853
2001-04-06,99.89651775492015
2001-04-09,99.44975859261754
2001-04-10,100.89906274102918
2001-04-11,102.21313791265476
2001-04-12,102.40104619807613
2001-04-13,102.62772787564364
2001-04-16,103.22282366364162
2001-04-17,103.3198480487824
2001-04-18,105.37277945476704
2001-04-19,105.17575283278491
2001-04-20,104.31979184642921
2001-04-23,104.52314261728905
2001-04-24,105.20411608921466
2001-04-25,105.36974366030891
2001-04-26,105.67022508197962
2001-04-27,106.42085046586017
2001-04-30,107.67315408843417
2001-05-01,108.78428622643689
2001-05-02,109.08737416228499
2001-05-03,109.48675150714267
2001-05-04,109.2987694501168
2001-05-07,109.58594945099888
