Date,NORTH AMERICA SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,95.92071575846926
2001-01-03,99.38428819632398
2001-01-04,98.01819369185932
2001-01-05,95.6623821205715
2001-01-08,96.01357095114656
2001-01-09,97.32661620337427
2001-01-10,99.15911676080331
2001-01-11,99.44305737103495
2001-01-12,99.84474785501111
2001-01-15,100.65614621844826
2001-01-16,101.99437821273723
2001-01-17,102.75385669923027
2001-01-18,101.321995972499
2001-01-19,101.13799025619174
2001-01-22,101.64932964587688
2001-01-23,103.07367710457518
2001-01-24,104.82662302382398
2001-01-25,105.1610571703198
2001-01-26,105.1780792226915
2001-01-29,106.97494585685094
2001-01-30,106.79613500947768
2001-01-31,105.72824207677053
2001-02-01,105.11242518935826
2001-02-02,104.98339127894117
2001-02-05,104.59302198379218
2001-02-06,106.02776192393672
2001-02-07,106.41559542748669
2001-02-08,107.37093687667573
2001-02-09,105.87880403510665
2001-02-12,107.14157316558402
2001-02-13,107.87322533184857
2001-02-14,108.2299534291023
2001-02-15,110.64010231424794
2001-02-16,107.52682401766481
2001-02-19,107.0764276009469
2001-02-20,107.1332704328722
2001-02-21,104.9215538731626
2001-02-22,104.15554969293933
2001-02-23,104.05191914013426
2001-02-26,105.87295327021184
2001-02-27,103.42884218101753
2001-02-28,102.43241242109175
2001-03-01,101.27472874488231
2001-03-02,101.38669859431924
2001-03-05,102.18028178751753
2001-03-06,102.93555710401937
2001-03-07,104.34695927667069
2001-03-08,103.65569911077901
2001-03-09,102.38045300771324
2001-03-12,99.82851795122029
2001-03-13,101.75849848441413
2001-03-14,100.68304177146119
2001-03-15,101.20605545417938
2001-03-16,100.1865106085096
2001-03-19,101.56820314753317
2001-03-20,99.75145215717711
2001-03-21,98.72565350215538
2001-03-22,99.16119602461315
2001-03-23,100.29897570613778
2001-03-26,100.78133630726684
2001-03-27,101.80427519532692
2001-03-28,100.76222955529586
2001-03-29,101.35319936067724
2001-03-30,104.04969740470692
2001-04-02,101.87816038386804
2001-04-03,98.65520671229707
2001-04-04,96.94481374743044
2001-04-05,101.0247760845541
2001-04-06,98.59472783222259
2001-04-09,99.76963049280991
2001-04-10,103.12195765868178
2001-04-11,103.29130374964768
2001-04-12,103.5102440273194
2001-04-13,103.5102440273194
2001-04-16,103.81812043976883
2001-04-17,105.14046953235166
2001-04-18,107.57629089597408
2001-04-19,106.24915862634303
2001-04-20,104.04312170841267
2001-04-23,104.00253114604686
2001-04-24,104.96102938351011
2001-04-25,106.75058153831283
2001-04-26,107.22963342518136
2001-04-27,109.65563523313611
2001-04-30,110.9621425231572
2001-05-01,111.34433949253969
2001-05-02,111.46190558796145
2001-05-03,110.0947180393264
2001-05-04,111.04780254345924
2001-05-07,111.02104138861645
