Date,WORLD ex UK SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,97.83645816556411
2001-01-03,99.1045346398125
2001-01-04,98.63740681123554
2001-01-05,97.3631434449049
2001-01-08,97.41996358875033
2001-01-09,97.67129564002978
2001-01-10,98.12602125409556
2001-01-11,97.49639546561795
2001-01-12,98.19678787537192
2001-01-15,98.9518811828332
2001-01-16,100.11221692253001
2001-01-17,101.15613004942371
2001-01-18,100.5922385054423
2001-01-19,101.4111662966156
2001-01-22,101.62897344334492
2001-01-23,102.19302762814421
2001-01-24,103.25262417886132
2001-01-25,103.81838620981092
2001-01-26,103.42438234009776
2001-01-29,104.72461058872629
2001-01-30,104.64662100963403
2001-01-31,104.52464427295669
2001-02-01,104.33115722783039
2001-02-02,104.51539112056506
2001-02-05,103.83526390508695
2001-02-06,104.80074800871445
2001-02-07,104.5331033829373
2001-02-08,105.14146616182137
2001-02-09,104.05018174468947
2001-02-12,104.44669602447289
2001-02-13,105.27755805475213
2001-02-14,105.50140592238124
2001-02-15,107.46009382485302
2001-02-16,105.59386579115619
2001-02-19,104.85240187870745
2001-02-20,105.5550192040252
2001-02-21,104.03026301543645
2001-02-22,103.33572979277365
2001-02-23,103.57127769798879
2001-02-26,104.72689055258823
2001-02-27,103.56391870401345
2001-02-28,102.69548795538296
2001-03-01,101.33848077778896
2001-03-02,100.56359626808546
2001-03-05,101.13252826369745
2001-03-06,102.03378014571946
2001-03-07,102.6495245242907
2001-03-08,102.24978188797547
2001-03-09,101.65662241556166
2001-03-12,99.5012214213546
2001-03-13,99.82849798221413
2001-03-14,98.8788195687907
2001-03-15,99.06501484489473
2001-03-16,98.57899698590457
2001-03-19,99.12505254061426
2001-03-20,98.2551135208016
2001-03-21,98.36365311020398
2001-03-22,97.84719431403212
2001-03-23,99.03564559726868
2001-03-26,100.2993042764129
2001-03-27,100.70883313060875
2001-03-28,100.80170155810923
2001-03-29,100.69192740602931
2001-03-30,101.28087503588482
2001-04-02,100.18264506763803
2001-04-03,98.53415194162388
2001-04-04,97.39735955236452
2001-04-05,100.3907748709467
2001-04-06,99.25723781258782
2001-04-09,99.42723182702164
2001-04-10,101.69845128329472
2001-04-11,102.41425766653545
2001-04-12,102.70516381210221
2001-04-13,102.86781407976659
2001-04-16,103.30233416804258
2001-04-17,103.97794770401711
2001-04-18,106.32230345236991
2001-04-19,105.63197011551767
2001-04-20,104.09644809261015
2001-04-23,104.16698571392598
2001-04-24,104.90514550200606
2001-04-25,105.78758794217784
2001-04-26,106.22206535144815
2001-04-27,107.554419145985
2001-04-30,108.81723043087244
2001-05-01,109.78943079804506
2001-05-02,109.98620484715373
2001-05-03,109.64390325988995
2001-05-04,109.87269786447263
2001-05-07,109.96865477001178
