Date,KOKUSAI INDEX (WORLD ex JP) SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,97.80519360617029
2001-01-03,99.13165942278964
2001-01-04,99.30795419573283
2001-01-05,98.29088769409674
2001-01-08,98.37301200664479
2001-01-09,98.96187969066172
2001-01-10,99.82565238224798
2001-01-11,99.93142575099789
2001-01-12,100.50952079797096
2001-01-15,101.14073733182695
2001-01-16,101.76447327090443
2001-01-17,102.93689824766429
2001-01-18,102.18329549712793
2001-01-19,102.81485192824039
2001-01-22,103.00244118661237
2001-01-23,103.70654579426217
2001-01-24,104.94636447739815
2001-01-25,105.29337903882536
2001-01-26,105.00960888384256
2001-01-29,106.16548589789473
2001-01-30,106.04567218414142
2001-01-31,105.72035624666378
2001-02-01,105.53290207793233
2001-02-02,105.5624175976287
2001-02-05,104.98926625536146
2001-02-06,106.02272339592932
2001-02-07,105.90760980282629
2001-02-08,106.52306913890015
2001-02-09,105.29870509543449
2001-02-12,105.79761321043357
2001-02-13,106.41585168911521
2001-02-14,106.29304455020677
2001-02-15,107.9611336820038
2001-02-16,105.97947828535968
2001-02-19,105.41812018626314
2001-02-20,105.79389179165267
2001-02-21,104.35563036405509
2001-02-22,103.85618560584592
2001-02-23,103.69464917678502
2001-02-26,104.74255078832817
2001-02-27,103.39613129232922
2001-02-28,102.7737422918614
2001-03-01,101.65753979361249
2001-03-02,101.82790880303129
2001-03-05,102.59554083569077
2001-03-06,103.32477009043082
2001-03-07,104.08660302084617
2001-03-08,103.70353493463317
2001-03-09,102.66702019284311
2001-03-12,100.70125844225072
2001-03-13,101.06498610940017
2001-03-14,99.98801320012987
2001-03-15,100.3125289114593
2001-03-16,99.69805616716386
2001-03-19,99.90942546135535
2001-03-20,99.08094308010206
2001-03-21,97.97757962643318
2001-03-22,97.03695291957435
2001-03-23,97.89658048109536
2001-03-26,98.61923067248969
2001-03-27,99.21779141425185
2001-03-28,98.85891597825083
2001-03-29,99.12684934500082
2001-03-30,100.47567335953526
2001-04-02,99.40118546584108
2001-04-03,97.01253416455788
2001-04-04,95.58779287591132
2001-04-05,98.57014186145634
2001-04-06,97.49897165930703
2001-04-09,98.11719545196976
2001-04-10,100.25642012730735
2001-04-11,100.91779436079564
2001-04-12,101.05397329011909
2001-04-13,101.05397329011909
2001-04-16,101.38217623676813
2001-04-17,101.93366224836201
2001-04-18,103.79229366612334
2001-04-19,103.22196645870504
2001-04-20,101.97094874406295
2001-04-23,101.81812726871125
2001-04-24,102.53995241658333
2001-04-25,103.4089734459874
2001-04-26,103.79883052187068
2001-04-27,105.47784436849341
2001-04-30,106.78612592893607
2001-05-01,106.95938524313873
2001-05-02,107.25223333622141
2001-05-03,106.747302528139
2001-05-04,107.14332885658196
