Date,WORLD ex EMU SMALL CAP
2000-12-29,1000.0
2001-01-01,1000.0
2001-01-02,976.451553947085
2001-01-03,991.873051270593
2001-01-04,985.306762151428
2001-01-05,971.2488613372859
2001-01-08,973.7910409802778
2001-01-09,979.3101378181635
2001-01-10,985.8945426186191
2001-01-11,976.587306771937
2001-01-12,981.0961613529798
2001-01-15,989.2421247699609
2001-01-16,1001.171356826491
2001-01-17,1011.8026243808674
2001-01-18,1003.8433852897701
2001-01-19,1013.4588406263051
2001-01-22,1014.7801172581502
2001-01-23,1020.9717365219044
2001-01-24,1033.248154250988
2001-01-25,1040.0292099313908
2001-01-26,1036.5404713757393
2001-01-29,1050.2308741791471
2001-01-30,1047.96439243498
2001-01-31,1044.8166890661826
2001-02-01,1041.5898553363377
2001-02-02,1043.575416753168
2001-02-05,1036.5109211080005
2001-02-06,1047.1062199241474
2001-02-07,1045.9706930756452
2001-02-08,1052.769600762936
2001-02-09,1041.2364187038932
2001-02-12,1045.2843556266994
2001-02-13,1055.2311193221071
2001-02-14,1058.880029048543
2001-02-15,1079.4832816716475
2001-02-16,1058.2731870684624
2001-02-19,1050.0903876596976
2001-02-20,1058.7931650681662
2001-02-21,1042.4441236730274
2001-02-22,1036.584299737344
2001-02-23,1040.3189900447173
2001-02-26,1049.9804525257878
2001-02-27,1036.280978084352
2001-02-28,1026.9378825081917
2001-03-01,1013.8723382161189
2001-03-02,1006.3990328295256
2001-03-05,1011.0159039920081
2001-03-06,1019.7054344470668
2001-03-07,1027.034500542216
2001-03-08,1022.0868136561193
2001-03-09,1015.4406125057919
2001-03-12,993.3587487980162
2001-03-13,997.5705820547632
2001-03-14,989.6853775636453
2001-03-15,992.1880757390322
2001-03-16,988.4565761842612
2001-03-19,994.2760678297243
2001-03-20,982.9717482590603
2001-03-21,986.3723640093058
2001-03-22,983.9828818071068
2001-03-23,994.1954079177407
2001-03-26,1006.5404767574064
2001-03-27,1009.9685669761245
2001-03-28,1012.4580178581658
2001-03-29,1012.5327477496579
2001-03-30,1016.7022490891723
2001-04-02,1006.5732528455562
