Date,EAFE ex UK SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.4112353099807
2001-01-03,98.86600005266847
2001-01-04,99.14187553686801
2001-01-05,98.76131532504658
2001-01-08,98.57500679752056
2001-01-09,97.94949822509612
2001-01-10,97.26341739028885
2001-01-11,95.8771320829226
2001-01-12,96.82484671904527
2001-01-15,97.53325527297069
2001-01-16,98.54651630879295
2001-01-17,99.8252649015749
2001-01-18,99.97838590456087
2001-01-19,101.62560898870073
2001-01-22,101.60063181791672
2001-01-23,101.45324087948067
2001-01-24,101.93962500068247
2001-01-25,102.69664623648768
2001-01-26,101.96255984649004
2001-01-29,102.8498718724818
2001-01-30,102.85626566339114
2001-01-31,103.5257014825216
2001-02-01,103.6860016239914
2001-02-02,104.13211079934962
2001-02-05,103.20935872167915
2001-02-06,103.78354850093727
2001-02-07,102.96924142817436
2001-02-08,103.2881417947183
2001-02-09,102.53121989436742
2001-02-12,102.20350086027075
2001-02-13,103.11739297070906
2001-02-14,103.23017111322672
2001-02-15,104.81136819594747
2001-02-16,103.99117140234962
2001-02-19,103.00532896718745
2001-02-20,104.24996238029091
2001-02-21,103.30136500994927
2001-02-22,102.66669004427845
2001-02-23,103.1869581006417
2001-02-26,103.78368262655401
2001-02-27,103.69695554709453
2001-02-28,102.93594445362383
2001-03-01,101.41833641456958
2001-03-02,99.93038804063295
2001-03-05,100.31882250550599
2001-03-06,101.33772419968278
2001-03-07,101.31379787154994
2001-03-08,101.14857590568494
2001-03-09,101.10426300384587
2001-03-12,99.26798745531516
2001-03-13,98.30156698279526
2001-03-14,97.45311891832208
2001-03-15,97.36865464207634
2001-03-16,97.31152107015322
2001-03-19,97.18512550637826
2001-03-20,97.07732573211024
2001-03-21,98.10024146789
2001-03-22,96.81619701446216
2001-03-23,98.04598351661129
2001-03-26,99.93994256754043
2001-03-27,99.85486643210172
2001-03-28,100.86538195943595
2001-03-29,100.18903396640896
2001-03-30,99.07418779127826
2001-04-02,98.84333969611355
2001-04-03,98.46796481856576
2001-04-04,97.79466879982273
2001-04-05,99.91027307586724
2001-04-06,99.82498847969603
2001-04-09,99.18168474373662
2001-04-10,100.57593435672815
2001-04-11,101.73559194468773
2001-04-12,102.08504969313312
2001-04-13,102.38001814267324
2001-04-16,102.91766816102873
2001-04-17,103.06758698239777
2001-04-18,105.33833122398588
2001-04-19,105.16580353635106
2001-04-20,104.17554773169171
2001-04-23,104.33656217589424
2001-04-24,104.89561050760554
2001-04-25,105.03722327416277
2001-04-26,105.43542821825588
2001-04-27,105.87532177427164
2001-04-30,107.10288385838011
2001-05-01,108.55833911666133
2001-05-02,108.82002231187776
2001-05-03,109.31663691289442
2001-05-04,108.9521050895889
2001-05-07,109.14839182444842
2001-05-08,108.70694062958917
2001-05-09,108.19178427162522
2001-05-10,108.50690155721658
2001-05-11,109.02365757427707
2001-05-14,107.98473549867609
2001-05-15,107.98493982269966
2001-05-16,107.06150368645037
2001-05-17,108.48160114555947
2001-05-18,108.81339348691125
2001-05-21,109.9898454421113
2001-05-22,110.77272676697795
2001-05-23,111.9213089413122
2001-05-24,112.13298338818046
2001-05-25,111.90568300339055
2001-05-28,111.34071493552557
2001-05-29,111.80204328212899
2001-05-30,110.31376995754182
2001-05-31,111.09267206382873
2001-06-01,111.3271649781675
2001-06-04,111.18175925605384
2001-06-05,111.29296638765062
2001-06-06,111.56742545769579
2001-06-07,111.69884317783557
2001-06-08,112.2123787585854
2001-06-11,112.18953127719028
2001-06-12,109.79765987269018
2001-06-13,109.9462693911513
2001-06-14,109.06261435128594
2001-06-15,107.73082924091706
2001-06-18,107.11407638974025
2001-06-19,107.27661682450645
2001-06-20,106.64422840318285
2001-06-21,106.92527270406828
2001-06-22,107.82399019076745
2001-06-25,107.59722456670424
2001-06-26,107.46660152011046
2001-06-27,107.09454341294436
2001-06-28,107.1307747947154
2001-06-29,108.15393224045353
2001-07-02,107.56006588104063
2001-07-03,107.67208792142632
2001-07-04,107.24757378386029
2001-07-05,107.22676669524857
2001-07-06,105.25455228881712
2001-07-09,103.79256240244034
2001-07-10,103.78015985540837
2001-07-11,102.60681557424036
2001-07-12,104.21294913684892
2001-07-13,104.25237788693528
2001-07-16,103.74526785629209
2001-07-17,103.0509893438925
2001-07-18,101.16371837375225
2001-07-19,101.61827756759705
2001-07-20,101.33895228508923
2001-07-23,100.10376604278764
2001-07-24,99.98182832916059
2001-07-25,99.66885191311317
2001-07-26,99.95033550895657
2001-07-27,100.63312302617547
2001-07-30,99.41447104621868
2001-07-31,100.13089008431783
2001-08-01,100.53690322962512
2001-08-02,101.66562059843442
2001-08-03,101.06420582079316
2001-08-06,101.28859952829858
2001-08-07,101.54031692075765
2001-08-08,101.4320037986925
2001-08-09,99.48244044968065
2001-08-10,99.43138507681466
2001-08-13,98.67111207736112
2001-08-14,99.64191227218868
2001-08-15,99.3572140049121
2001-08-16,98.712394869832
2001-08-17,98.37892690972315
2001-08-20,97.44485973923365
2001-08-21,98.00510972566055
2001-08-22,97.79254906070587
2001-08-23,98.12086388972344
2001-08-24,98.20276527693241
2001-08-27,99.00034572479208
2001-08-28,98.43842143986217
2001-08-29,98.15134507778274
2001-08-30,97.37879980982396
2001-08-31,96.8377216382519
2001-09-03,95.51921768540905
2001-09-04,96.54129107522695
2001-09-05,95.17465272153802
2001-09-06,94.54022699482016
2001-09-07,93.06329140724621
2001-09-10,91.14577859607044
2001-09-11,89.67261976885325
2001-09-12,85.89779795798451
2001-09-13,86.3525724645993
2001-09-14,86.20402036168305
