Date,EUROPE SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.64789384315884
2001-01-03,98.82826599644925
2001-01-04,100.35878393356695
2001-01-05,100.45594258596783
2001-01-08,100.22850830649884
2001-01-09,100.05771062790295
2001-01-10,100.15189220164659
2001-01-11,100.57076419754296
2001-01-12,101.3305300354575
2001-01-15,101.995888480164
2001-01-16,101.88980958788875
2001-01-17,103.70982769932229
2001-01-18,103.64195633366928
2001-01-19,104.9599534690268
2001-01-22,104.84659975832659
2001-01-23,104.8986803111215
2001-01-24,105.62175552110465
2001-01-25,105.9770075550619
2001-01-26,105.39565817105111
2001-01-29,105.96368146874707
2001-01-30,106.02553545991015
2001-01-31,106.37570240862503
2001-02-01,106.63765122785564
2001-02-02,106.63873377831479
2001-02-05,106.09792303595988
2001-02-06,106.56404875711614
2001-02-07,106.08201822708445
2001-02-08,106.29245135021337
2001-02-09,105.35016141393622
2001-02-12,104.99932012084669
2001-02-13,105.38947507112351
2001-02-14,104.7973434940963
2001-02-15,105.81705028815318
2001-02-16,104.85945877908193
2001-02-19,104.28335796917213
2001-02-20,104.77513879743705
2001-02-21,104.04035468857882
2001-02-22,103.71387174743202
2001-02-23,103.40435200351115
2001-02-26,103.68529179653292
2001-02-27,103.67561075175011
2001-02-28,103.40691162689119
2001-03-01,102.44746043501155
2001-03-02,102.73285346974734
2001-03-05,103.71298779482127
2001-03-06,104.6606072735672
2001-03-07,104.83430357638036
2001-03-08,104.84619290781845
2001-03-09,103.98574662614202
2001-03-12,102.49773310539985
2001-03-13,101.28324386162564
2001-03-14,99.98465070594179
2001-03-15,100.27944967148024
2001-03-16,99.81701233756046
2001-03-19,98.7933041359268
2001-03-20,99.05366949259961
2001-03-21,97.51645860084665
2001-03-22,94.82941796071404
2001-03-23,95.56861295821554
2001-03-26,96.75202339047532
2001-03-27,97.15312390735006
2001-03-28,97.51266882267402
2001-03-29,97.56135714768713
2001-03-30,97.73353829240737
2001-04-02,97.64630595935137
2001-04-03,95.97819083421945
2001-04-04,94.93406693476034
2001-04-05,96.95257134828837
2001-04-06,97.18795923539018
2001-04-09,97.41369146147241
2001-04-10,98.10191638183429
2001-04-11,99.07720337957116
2001-04-12,99.1237385699719
2001-04-13,99.1237385699719
2001-04-16,99.35179916723709
2001-04-17,99.1742865913632
2001-04-18,100.49069078238747
2001-04-19,100.55746317066472
2001-04-20,100.25874459729737
2001-04-23,100.13014078289793
2001-04-24,100.7669204987972
2001-04-25,100.82795035811084
2001-04-26,101.16738098679913
2001-04-27,102.05272948319627
2001-04-30,103.28074801034063
2001-05-01,103.2325795279498
2001-05-02,103.69586994644226
2001-05-03,104.15073014563794
2001-05-04,104.27747453218217
2001-05-07,104.718796930276
