Date,EAFE ex ISRAEL SMALL CAP
2010-05-26,1000.0
2010-05-27,1020.142395871283
2010-05-28,1021.440111641684
2010-05-31,1029.806893882287
2010-06-01,1027.543980150287
2010-06-02,1023.6745959032065
2010-06-03,1042.916523221275
2010-06-04,1040.2500314321667
2010-06-07,1023.1902890424691
2010-06-08,1018.1905737847273
2010-06-09,1023.8430999216876
2010-06-10,1037.2753628457406
2010-06-11,1043.9238564148832
2010-06-14,1053.1889188538714
2010-06-15,1057.414562386602
2010-06-16,1060.4482343487523
2010-06-17,1058.6638146647351
2010-06-18,1063.2410659702355
2010-06-21,1075.4487605894444
2010-06-22,1078.8200081856935
2010-06-23,1070.361969478038
2010-06-24,1058.4431744565177
2010-06-25,1050.7576193060293
2010-06-28,1052.3911033296235
2010-06-29,1037.1634820525676
2010-06-30,1027.4181792008173
2010-07-01,1002.331094345501
2010-07-02,1002.2260602495388
2010-07-05,1007.3466296157716
2010-07-06,1023.0598983179623
2010-07-07,1023.9482715226687
2010-07-08,1033.4134480152352
2010-07-09,1039.0186510563644
2010-07-12,1042.1499449129908
2010-07-13,1047.57388366236
2010-07-14,1050.5576645546967
2010-07-15,1038.0693341903977
2010-07-16,1025.579197031362
2010-07-19,1014.8920287822683
2010-07-20,1016.4141570086073
2010-07-21,1029.1104656657965
2010-07-22,1035.0837569083799
2010-07-23,1049.8527941705297
2010-07-26,1055.2553802263726
2010-07-27,1053.444503483247
2010-07-28,1054.0274682228837
2010-07-29,1053.0442410383232
2010-07-30,1049.6006564164238
2010-08-02,1060.354158788675
2010-08-03,1064.7382245125675
2010-08-04,1060.739411167265
2010-08-05,1065.8933656307884
2010-08-06,1061.6688736397994
2010-08-09,1068.444239317816
2010-08-10,1061.2156751563277
2010-08-11,1048.0474921381644
2010-08-12,1038.3876543128417
2010-08-13,1046.0815333661576
2010-08-16,1045.7002746795092
2010-08-17,1054.368695887523
2010-08-18,1056.4229411140245
2010-08-19,1054.562925801047
2010-08-20,1045.8749639700272
2010-08-23,1051.0274692565954
2010-08-24,1038.5861378674285
2010-08-25,1029.9093654036812
2010-08-26,1033.8117937685734
2010-08-27,1042.1270467547008
2010-08-30,1052.0102038903085
2010-08-31,1044.3720664486525
2010-09-01,1057.5991900444415
2010-09-02,1063.8699495085523
2010-09-03,1070.7216130921224
2010-09-06,1080.5094060991914
2010-09-07,1083.1163765205802
2010-09-08,1083.5907951518288
2010-09-09,1094.3557832595677
2010-09-10,1095.9469894230112
2010-09-13,1101.3797422578677
2010-09-14,1100.1820961149149
2010-09-15,1093.378298582307
2010-09-16,1084.2243834366184
2010-09-17,1091.6508904515106
2010-09-20,1097.0951963302773
2010-09-21,1097.1922933660674
2010-09-22,1083.005527488013
2010-09-23,1085.812479544818
2010-09-24,1084.4180424308574
2010-09-27,1092.7565510314896
2010-09-28,1090.4211208149718
2010-09-29,1092.6656157794382
2010-09-30,1082.9496274864182
2010-10-01,1081.350070810052
2010-10-04,1080.1893394508252
2010-10-05,1083.2076137733782
2010-10-06,1091.237489277227
2010-10-07,1092.9139726883484
2010-10-08,1092.156414463321
2010-10-11,1099.145445599101
2010-10-12,1091.7153019502525
2010-10-13,1098.6820633637751
2010-10-14,1102.1888044992832
2010-10-15,1098.5180188000786
2010-10-18,1101.8016790787474
2010-10-19,1101.649241225683
2010-10-20,1096.568885905955
2010-10-21,1099.1524538066237
2010-10-22,1102.115823824151
2010-10-25,1109.3695872913313
2010-10-26,1110.055619141697
2010-10-27,1102.564675406003
2010-10-28,1100.76489155401
2010-10-29,1104.3592746018062
2010-11-01,1108.0565343371422
2010-11-02,1103.3737299272634
2010-11-03,1100.9241752352561
2010-11-04,1110.6031605806163
2010-11-05,1125.0501275654196
2010-11-08,1132.7087906232227
2010-11-09,1138.5588772830151
2010-11-10,1133.860674445447
2010-11-11,1134.1263651450568
2010-11-12,1125.1186882707736
2010-11-15,1132.9487522955358
2010-11-16,1115.522128084906
2010-11-17,1117.9974892617413
2010-11-18,1130.621779776412
2010-11-19,1127.3547739123323
