Date,EUROPE ex EMU SMALL CAP
2000-12-29,1000.0
2001-01-01,1000.0
2001-01-02,995.5512155942221
2001-01-03,988.6120302212138
2001-01-04,1002.6489716980376
2001-01-05,1003.6995741212697
2001-01-08,1006.0482835254212
2001-01-09,1011.1613242994929
2001-01-10,1016.2876057469706
2001-01-11,1014.7070063292477
2001-01-12,1016.9512772684359
2001-01-15,1024.5605142747036
2001-01-16,1022.742138551367
2001-01-17,1041.773426307391
2001-01-18,1037.2760100288447
2001-01-19,1054.457303713387
2001-01-22,1049.8347234209725
2001-01-23,1051.3299794013255
2001-01-24,1062.0585979650275
2001-01-25,1067.3626334086018
2001-01-26,1062.6517912652337
2001-01-29,1070.0836815036835
2001-01-30,1068.1324953666342
2001-01-31,1068.728830471016
2001-02-01,1068.1906844024654
2001-02-02,1068.7177069261168
2001-02-05,1061.8583763843542
2001-02-06,1068.4851216393436
2001-02-07,1066.6722056188842
2001-02-08,1069.6069649129347
2001-02-09,1058.911444270874
2001-02-12,1053.9169794795785
2001-02-13,1060.9965305119108
2001-02-14,1056.106742988289
2001-02-15,1067.6204513466498
2001-02-16,1054.1526283474495
2001-02-19,1046.623962145663
2001-02-20,1055.2357148100757
2001-02-21,1046.3823147311577
2001-02-22,1044.7310835153314
2001-02-23,1043.5489227053579
2001-02-26,1041.0046693146587
2001-02-27,1037.2191619824205
2001-02-28,1034.3140169150138
2001-03-01,1025.283962805522
2001-03-02,1030.6152312001675
2001-03-05,1037.4806235148058
2001-03-06,1046.2741000648803
2001-03-07,1050.668558290249
2001-03-08,1048.364716075069
2001-03-09,1037.553700495262
2001-03-12,1022.0580211816991
2001-03-13,1008.4476706448112
2001-03-14,997.7683126752551
2001-03-15,1002.8783632839488
2001-03-16,1000.3400517896849
2001-03-19,988.1628053792878
2001-03-20,986.7938118311085
2001-03-21,974.6785640869099
2001-03-22,950.8956038000392
2001-03-23,954.6114337302135
2001-03-26,966.0061319014442
2001-03-27,969.0153830483946
2001-03-28,975.6474602296519
2001-03-29,979.2999753811141
2001-03-30,976.7814158577887
