Date,FAR EAST SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,98.7104548947146
2001-01-03,98.7133961625626
2001-01-04,97.24706616436934
2001-01-05,95.8604282413142
2001-01-08,96.20121023130015
2001-01-09,95.41290596038047
2001-01-10,94.22119313614719
2001-01-11,90.4289719094755
2001-01-12,91.28652284911965
2001-01-15,92.49865459000559
2001-01-16,94.67530770602582
2001-01-17,95.70344942008185
2001-01-18,95.64527495088548
2001-01-19,98.04400549506973
2001-01-22,98.07247477617632
2001-01-23,97.77669638365089
2001-01-24,98.37947631446544
2001-01-25,99.90489699600477
2001-01-26,98.9879689700879
2001-01-29,100.30861483117482
2001-01-30,99.9614503019982
2001-01-31,100.61606614042995
2001-02-01,100.40298087551571
2001-02-02,101.42905892376483
2001-02-05,100.33723532824372
2001-02-06,100.95836907171557
2001-02-07,100.23127101319346
2001-02-08,100.85436279119936
2001-02-09,100.3534933810821
2001-02-12,100.02022135276694
2001-02-13,101.8863411499484
2001-02-14,103.2621113444774
2001-02-15,105.82912947669136
2001-02-16,104.44101194148797
2001-02-19,102.95411065151431
2001-02-20,105.4647941221591
2001-02-21,103.88192148020379
2001-02-22,103.16643650428196
2001-02-23,105.03363015569525
2001-02-26,105.55669755278736
2001-02-27,105.3170355718628
2001-02-28,103.77261249658125
2001-03-01,101.65408787732106
2001-03-02,98.11448781347141
2001-03-05,97.8920835429467
2001-03-06,99.32493429748497
2001-03-07,99.21947421560789
2001-03-08,99.02896950804382
2001-03-09,99.80288812573377
2001-03-12,97.20224589336333
2001-03-13,96.54528992084568
2001-03-14,96.35931563995571
2001-03-15,96.28543111702346
2001-03-16,96.7611934304218
2001-03-19,97.39576091689364
2001-03-20,96.41890078658402
2001-03-21,100.50116423445455
2001-03-22,100.62769159456153
2001-03-23,102.1516812406786
2001-03-26,105.08248767626715
2001-03-27,104.30463159626831
2001-03-28,106.63373068131285
2001-03-29,105.33735855720488
2001-03-30,102.49677624174157
2001-04-02,102.23980621466379
2001-04-03,103.37232082636397
2001-04-04,102.67122611499968
2001-04-05,105.05168115475723
2001-04-06,104.85514395458783
2001-04-09,103.03758712906094
2001-04-10,105.36825632415469
2001-04-11,107.08467340150156
2001-04-12,107.56109229699986
2001-04-13,108.22711762569348
2001-04-16,109.12616335255758
2001-04-17,109.7337267188091
2001-04-18,113.4850669954366
2001-04-19,112.79454163294275
2001-04-20,110.81044306481886
2001-04-23,112.21586367105947
2001-04-24,113.05930584700786
2001-04-25,113.34231974462395
2001-04-26,113.67430285650329
2001-04-27,113.88856094237296
2001-04-30,115.05617902435861
2001-05-01,118.24080304905226
2001-05-02,118.30026515755222
2001-05-03,118.72813838377483
2001-05-04,118.37145615325011
2001-05-07,118.2870434177083
