Date,WORLD ex AUSTRALIA SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,97.87064848970661
2001-01-03,99.04897550374305
2001-01-04,98.6942016378634
2001-01-05,97.44059932175489
2001-01-08,97.58532659753872
2001-01-09,97.91610825196967
2001-01-10,98.45038536976249
2001-01-11,97.88239140093137
2001-01-12,98.508986481664
2001-01-15,99.35565270398567
2001-01-16,100.37195808010514
2001-01-17,101.559271041296
2001-01-18,100.90573925696643
2001-01-19,101.83707745687896
2001-01-22,102.01702622266916
2001-01-23,102.56189706105658
2001-01-24,103.68629585717505
2001-01-25,104.28768205322861
2001-01-26,103.885267605493
2001-01-29,105.13184459450726
2001-01-30,105.00538526219036
2001-01-31,104.81720348777712
2001-02-01,104.60626910955149
2001-02-02,104.77332916410742
2001-02-05,104.16194139231878
2001-02-06,105.07776528949549
2001-02-07,104.92143517869975
2001-02-08,105.54708901869961
2001-02-09,104.47026099931526
2001-02-12,104.81023740598238
2001-02-13,105.66642823311332
2001-02-14,105.89380610541056
2001-02-15,107.84233986037451
2001-02-16,105.88958283760088
2001-02-19,105.17135044361297
2001-02-20,105.94171590989454
2001-02-21,104.39990378869851
2001-02-22,103.80845054236727
2001-02-23,104.0718259912742
2001-02-26,105.05175616403005
2001-02-27,103.94513667093806
2001-02-28,103.07070637754966
2001-03-01,101.77673503953284
2001-03-02,101.12630337806303
2001-03-05,101.75140475956252
2001-03-06,102.72165134284091
2001-03-07,103.35256323576169
2001-03-08,103.00923962342188
2001-03-09,102.35122840729183
2001-03-12,100.19253447025154
2001-03-13,100.42467675969999
2001-03-14,99.48857136698122
2001-03-15,99.80002875043328
2001-03-16,99.33806566567172
2001-03-19,99.69865827557837
2001-03-20,98.82466221488633
2001-03-21,98.79151267745524
2001-03-22,98.0489314430769
2001-03-23,99.1448622275772
2001-03-26,100.40202324352994
2001-03-27,100.77647010563868
2001-03-28,100.99458473123143
2001-03-29,100.96978986600531
2001-03-30,101.49704010242253
2001-04-02,100.50417181655308
2001-04-03,98.83225956977593
2001-04-04,97.58727053179187
2001-04-05,100.5384398080007
2001-04-06,99.55727272267322
2001-04-09,99.72221431237344
2001-04-10,101.90380539986593
2001-04-11,102.71013445147602
2001-04-12,102.9270884487265
2001-04-13,103.07873776595281
2001-04-16,103.50219079731431
2001-04-17,104.12993048012159
2001-04-18,106.45788006854413
2001-04-19,105.77188386939567
2001-04-20,104.30036147578136
2001-04-23,104.53747165467436
2001-04-24,105.34158329127416
2001-04-25,106.17998950978624
2001-04-26,106.57394479430334
2001-04-27,107.9503254811516
2001-04-30,109.21408075634139
2001-05-01,110.08739201594524
2001-05-02,110.31765380694215
2001-05-03,109.99728968368949
2001-05-04,110.3451198621866
2001-05-07,110.46982645442866
