Date,PACIFIC ex JAPAN SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.43601539304547
2001-01-03,99.08657970416692
2001-01-04,101.25455312704928
2001-01-05,102.20965450792424
2001-01-08,102.23761126528734
2001-01-09,102.38709391897856
2001-01-10,101.63367719046276
2001-01-11,99.6152965956984
2001-01-12,100.32205949431028
2001-01-15,99.93946066729687
2001-01-16,100.02384944862494
2001-01-17,100.60603569067676
2001-01-18,100.40158199369347
2001-01-19,102.24522284302078
2001-01-22,102.06329566442152
2001-01-23,101.87534479328254
2001-01-24,102.68914062001065
2001-01-25,103.06388661895292
2001-01-26,102.5100951224845
2001-01-29,102.88757663442274
2001-01-30,102.33278734099405
2001-01-31,102.95303822992607
2001-02-01,103.07684347734474
2001-02-02,103.99173671089498
2001-02-05,102.39956149755558
2001-02-06,103.73319292704217
2001-02-07,102.62563871328119
2001-02-08,103.1942251311894
2001-02-09,102.15485110638625
2001-02-12,102.29826016159694
2001-02-13,103.26779517112301
2001-02-14,102.65910886399665
2001-02-15,103.26343413861376
2001-02-16,102.78165859444296
2001-02-19,101.7375275654599
2001-02-20,103.21266029254848
2001-02-21,102.78592509912107
2001-02-22,102.90789499608823
2001-02-23,103.0445034612346
2001-02-26,103.32733647431729
2001-02-27,102.09395565770727
2001-02-28,101.9102381785416
2001-03-01,100.330731156882
2001-03-02,100.30260385829395
2001-03-05,100.0328115052514
2001-03-06,99.69922194506671
2001-03-07,99.68351342101681
2001-03-08,99.1808025986463
2001-03-09,98.600646759782
2001-03-12,97.56947475028112
2001-03-13,96.70252971398706
2001-03-14,96.56411217271202
2001-03-15,96.00931991167904
2001-03-16,96.80301249503508
2001-03-19,96.31878113799795
2001-03-20,95.88379838498176
2001-03-21,96.22876428606318
2001-03-22,95.70707379144056
2001-03-23,95.6638707326869
2001-03-26,95.65084915149298
2001-03-27,94.92566059408581
2001-03-28,94.99057188442677
2001-03-29,94.54478159884529
2001-03-30,94.03277598484696
2001-04-02,94.34728220473342
2001-04-03,93.14487935705434
2001-04-04,91.55627694444388
2001-04-05,93.0462810076757
2001-04-06,93.3449159753955
2001-04-09,92.79452426501545
2001-04-10,94.87677858006639
2001-04-11,96.7170857969556
2001-04-12,96.80979787564605
2001-04-13,96.80979787564605
2001-04-16,97.66297829392404
2001-04-17,97.35857383134801
2001-04-18,98.56228261448213
2001-04-19,99.16398144778717
2001-04-20,98.77107320623948
2001-04-23,97.94508352729018
2001-04-24,97.81985501875619
2001-04-25,97.37013650755692
2001-04-26,97.51670526554854
2001-04-27,98.70464952428317
2001-04-30,100.35855016341418
2001-05-01,100.38803027536626
2001-05-02,100.86620449954147
2001-05-03,100.76723907812942
2001-05-04,99.44580323440988
2001-05-07,100.07856804564557
