Date,EUROPE ex SWITZERLAND SMALL CAP
2000-12-29,1000.0
2001-01-01,1000.0
2001-01-02,996.3429996071775
2001-01-03,987.3570204770209
2001-01-04,1003.8433338887851
2001-01-05,1005.1088139267706
2001-01-08,1002.9038435558141
2001-01-09,1000.6164338743507
2001-01-10,1001.836109506927
2001-01-11,1007.3632536637452
2001-01-12,1015.1449554262142
2001-01-15,1022.4019665418082
2001-01-16,1020.4896538742852
2001-01-17,1039.7962236783103
2001-01-18,1038.5212719540903
2001-01-19,1052.6940220330414
2001-01-22,1051.9170736898811
2001-01-23,1051.9943009280269
2001-01-24,1059.47468511772
2001-01-25,1062.5533364229652
2001-01-26,1056.5254150035346
2001-01-29,1061.9967162189894
2001-01-30,1062.6047973451784
2001-01-31,1066.4878809258794
2001-02-01,1069.087951543955
2001-02-02,1069.6342060469472
2001-02-05,1063.7126282269048
2001-02-06,1068.5043311016225
2001-02-07,1063.2036180493576
2001-02-08,1065.1117770901462
2001-02-09,1055.3058734379829
2001-02-12,1050.8042112465234
2001-02-13,1054.8333559880066
2001-02-14,1048.9182782686016
2001-02-15,1059.298355922222
2001-02-16,1049.2127746332758
2001-02-19,1043.1236431966406
2001-02-20,1048.1631087397964
2001-02-21,1040.3098789123073
2001-02-22,1036.6868372261613
2001-02-23,1033.5720007046
2001-02-26,1036.6756059535169
2001-02-27,1036.67782145647
2001-02-28,1033.9739138936604
2001-03-01,1024.791479056585
2001-03-02,1028.0198251925863
2001-03-05,1038.3831280194197
2001-03-06,1048.92425848073
2001-03-07,1050.5450190396566
2001-03-08,1051.337771039728
2001-03-09,1042.3220830899247
2001-03-12,1026.7382770257382
2001-03-13,1013.7061753478454
2001-03-14,1000.7870048104332
2001-03-15,1003.767087183523
2001-03-16,999.5891090069323
2001-03-19,988.4882469230923
2001-03-20,991.5852405087406
2001-03-21,975.7720425622275
2001-03-22,948.8999946596222
2001-03-23,956.2252855418358
2001-03-26,968.3693574445753
2001-03-27,972.3750587059435
2001-03-28,976.2237526048767
2001-03-29,976.3060097049862
2001-03-30,977.4330988090209
