Date,EASEA INDEX (EAFE ex JAPAN) SMALL CAP
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.60534226848112
2001-01-03,98.8801579365633
2001-01-04,100.53831691787452
2001-01-05,100.80720241108409
2001-01-08,100.63090521141066
2001-01-09,100.52424204211341
2001-01-10,100.44977857611768
2001-01-11,100.38290430815319
2001-01-12,101.13211054794837
2001-01-15,101.58827570889804
2001-01-16,101.5201177283696
2001-01-17,103.09310737732262
2001-01-18,102.99797161037597
2001-01-19,104.42092770455625
2001-01-22,104.29386730077572
2001-01-23,104.29800370610448
2001-01-24,105.0392136984383
2001-01-25,105.39836190770362
2001-01-26,104.82249854404226
2001-01-29,105.3522813544842
2001-01-30,105.29026874961971
2001-01-31,105.69471071086807
2001-02-01,105.928847792387
2001-02-02,106.11406594381532
2001-02-05,105.36122432797363
2001-02-06,106.00153030963918
2001-02-07,105.39390133837888
2001-02-08,105.6762488861237
2001-02-09,104.71441804951921
2001-02-12,104.46301914742173
2001-02-13,104.96977875045906
2001-02-14,104.37425395459388
2001-02-15,105.31014872378849
2001-02-16,104.4491228566973
2001-02-19,103.77785812418455
2001-02-20,104.4695012838294
2001-02-21,103.7972264254537
2001-02-22,103.56183090355565
2001-02-23,103.3429279692984
2001-02-26,103.62428395937823
2001-02-27,103.36608941995907
2001-02-28,103.11462269883181
2001-03-01,102.03768650831078
2001-03-02,102.26361186094525
2001-03-05,103.00667648520701
2001-03-06,103.71124198745467
2001-03-07,103.84863777911143
2001-03-08,103.76215525922578
2001-03-09,102.95530223216082
2001-03-12,101.55462456877952
2001-03-13,100.40613811365705
2001-03-14,99.32758858953312
2001-03-15,99.46133601563392
2001-03-16,99.23829610027533
2001-03-19,98.31742416754108
2001-03-20,98.44538858724249
2001-03-21,97.26670820305351
2001-03-22,94.99224558910915
2001-03-23,95.58258314732683
2001-03-26,96.53826338669545
2001-03-27,96.7253918542178
2001-03-28,97.02894515570546
2001-03-29,96.98368975163055
2001-03-30,97.02583960034248
2001-04-02,97.01498719292408
2001-04-03,95.43552426525031
2001-04-04,94.28762936436047
2001-04-05,96.20528238840429
2001-04-06,96.4527289670469
2001-04-09,96.53040438911455
2001-04-10,97.48656797939738
2001-04-11,98.62814584740588
2001-04-12,98.68355198442332
2001-04-13,98.68355198442332
2001-04-16,99.03172383333391
2001-04-17,98.82982725818388
2001-04-18,100.12461975388854
2001-04-19,100.29429521287726
2001-04-20,99.97745199763037
2001-04-23,99.71473339961034
2001-04-24,100.20482582730563
2001-04-25,100.1670188536347
2001-04-26,100.46913604112683
2001-04-27,101.41318736471791
2001-04-30,102.72385039869808
2001-05-01,102.69076925821516
2001-05-02,103.15700237293893
2001-05-03,103.50422406371098
2001-05-04,103.34931690754674
