Date,WORLD ex EUROPE SMALL CAP
2000-12-29,1000.0
2001-01-01,1000.0
2001-01-02,971.4082323122617
2001-01-03,992.7203834380557
2001-01-04,980.723641092927
2001-01-05,962.6823645823858
2001-01-08,965.2755061356934
2001-01-09,970.9015634701971
2001-01-10,977.8655208638717
2001-01-11,966.542925453707
2001-01-12,971.6391491236893
2001-01-15,979.9232671026415
2001-01-16,995.4180375527532
2001-01-17,1003.8807064798983
2001-01-18,995.0300693149976
2001-01-19,1002.6921976381923
2001-01-22,1005.5445808362783
2001-01-23,1012.9444745972727
2001-01-24,1025.617043433589
2001-01-25,1032.7782095756236
2001-01-26,1029.6057548980532
2001-01-29,1044.90964877726
2001-01-30,1042.5623488200988
2001-01-31,1038.4524087432533
2001-02-01,1034.537949624938
2001-02-02,1036.8969991187025
2001-02-05,1029.7815353975352
2001-02-06,1041.3912772583233
2001-02-07,1040.4295857419324
2001-02-08,1048.2166812343582
2001-02-09,1036.4715766717065
2001-02-12,1042.834687500134
2001-02-13,1053.5136120295963
2001-02-14,1059.32914064996
2001-02-15,1082.233635263496
2001-02-16,1059.0614966508022
2001-02-19,1050.7144889680471
2001-02-20,1059.4382675341644
2001-02-21,1041.1886582647023
2001-02-22,1034.2610564871577
2001-02-23,1039.243976303891
2001-02-26,1052.0032188542589
2001-02-27,1035.7889183745826
2001-02-28,1024.8132828528367
2001-03-01,1010.6770876723236
2001-03-02,999.8011510678364
2001-03-05,1003.8197326276777
2001-03-06,1012.4802347303297
2001-03-07,1020.5672201640822
2001-03-08,1014.9362054501693
2001-03-09,1009.3713065521347
2001-03-12,985.5925707234736
2001-03-13,994.4258926002798
2001-03-14,987.2682814001478
2001-03-15,989.091699866291
2001-03-16,985.054951397463
2001-03-19,995.4938100906204
2001-03-20,981.6420106566108
2001-03-21,989.021141337091
2001-03-22,992.1190908704148
2001-03-23,1003.9948837127807
2001-03-26,1016.5793324035544
2001-03-27,1020.11365485211
2001-03-28,1021.5372664003122
2001-03-29,1020.6922144005331
2001-03-30,1026.5791632896935
2001-04-02,1013.1141589915742
