Date,INDIA MINIMUM VOLATILITY (INR)
2001-05-31,1000.0
2001-06-01,986.0293472678562
2001-06-04,975.720229524469
2001-06-05,964.826351884683
2001-06-06,966.4890112451678
2001-06-07,962.8269300135627
2001-06-08,971.8465701435778
2001-06-11,980.4680730300489
2001-06-12,972.6608913177508
2001-06-13,972.3916656605816
2001-06-14,962.6139669136032
2001-06-15,942.8451408264215
2001-06-18,942.7474964565951
2001-06-19,955.4375120237027
2001-06-20,957.307669311285
2001-06-21,956.9323131053366
2001-06-22,948.3414154218408
2001-06-25,933.1807343182284
2001-06-26,959.0611766008012
2001-06-27,956.3041321273745
2001-06-28,950.4679912814103
2001-06-29,959.3368614715333
2001-07-02,954.5745165504782
2001-07-03,934.1357092716162
2001-07-04,932.1177154272308
2001-07-05,932.1401325651984
2001-07-06,925.4446913179086
2001-07-09,923.2224994685504
2001-07-10,931.4997835030549
2001-07-11,938.0680450002411
2001-07-12,951.988224044079
2001-07-13,949.1466333466395
2001-07-16,950.8571729155116
2001-07-17,947.3255009143496
2001-07-18,940.4699443555445
2001-07-19,942.2523374859006
2001-07-20,932.3722155096899
2001-07-23,932.5452621479884
2001-07-24,930.0640789463588
2001-07-25,920.7930575353108
2001-07-26,918.0220246878295
2001-07-27,914.7970009665672
2001-07-30,924.5822749596105
2001-07-31,931.8114832812519
2001-08-01,927.0472387744937
2001-08-02,928.0887857117117
2001-08-03,935.5423098625274
2001-08-06,937.6508955562495
2001-08-07,937.3717202534663
2001-08-08,934.0938543721277
2001-08-09,933.4637744705285
2001-08-10,931.3741829128921
2001-08-13,926.7786673769818
2001-08-14,937.3047339281222
2001-08-15,937.4539545926194
2001-08-16,934.5241276318786
2001-08-17,933.0178521130372
2001-08-20,927.9039719781671
2001-08-21,929.1879126539104
2001-08-22,929.1879126539104
2001-08-23,936.2223253402334
2001-08-24,936.2573487476624
2001-08-27,936.0961648923778
2001-08-28,938.760496984139
2001-08-29,937.0264473490477
2001-08-30,933.5085647722965
2001-08-31,924.5700151417597
2001-09-03,919.581935657137
2001-09-04,920.776032422274
2001-09-05,930.0227351235578
2001-09-06,925.4176907595343
2001-09-07,923.9983045607597
2001-09-10,920.8123367620454
2001-09-11,912.7410037612069
2001-09-12,882.7475007372701
2001-09-13,870.2770263254862
2001-09-14,827.0341981099452
2001-09-17,787.8767886209329
2001-09-18,805.8173764987296
2001-09-19,818.9639274392083
2001-09-20,808.1382846878226
2001-09-21,781.3386231830286
2001-09-24,797.0230737680627
2001-09-25,796.1745655297298
2001-09-26,800.929709506336
2001-09-27,809.3068976808047
2001-09-28,824.465923517468
2001-10-01,821.6012480980838
2001-10-02,821.6012480980838
2001-10-03,815.534309342012
2001-10-04,823.5549236648715
2001-10-05,825.8326224639853
2001-10-08,814.0265344639171
2001-10-09,823.2211119345036
2001-10-10,836.3467842180662
2001-10-11,840.0332502108388
2001-10-12,839.6245173583986
2001-10-15,848.2713098912468
2001-10-16,855.247808478304
2001-10-17,866.7780936642883
2001-10-18,857.740245886368
2001-10-19,868.0850327615234
2001-10-22,867.4477171010304
2001-10-23,882.9925665661517
2001-10-24,883.90313390765
2001-10-25,884.3983982904384
2001-10-26,885.1358578679165
2001-10-29,885.254293713104
2001-10-30,873.0361924118915
2001-10-31,881.8318229427555
2001-11-01,899.016346872085
2001-11-02,899.3157806125521
2001-11-05,897.6508110386435
2001-11-06,907.9665467402472
2001-11-07,895.7186744066867
2001-11-08,907.6569710022302
2001-11-09,912.3100026760928
2001-11-12,916.7853211185576
2001-11-13,911.8622739690094
2001-11-14,911.8622739690094
2001-11-15,934.787021891994
2001-11-16,934.787021891994
2001-11-19,944.6701733473557
2001-11-20,932.4781291736084
2001-11-21,941.734510759597
2001-11-22,947.0209058375236
2001-11-23,941.782670398592
2001-11-26,957.9814479107778
2001-11-27,954.3454695964167
2001-11-28,954.4175771613548
2001-11-29,950.1899346128398
2001-11-30,950.7846706453535
2001-12-03,949.7235671321205
2001-12-04,957.3101149758272
2001-12-05,978.8833147697648
2001-12-06,982.998541172282
2001-12-07,988.4075096832537
2001-12-10,993.6951090198239
2001-12-11,986.411290084816
2001-12-12,981.9724670013826
2001-12-13,976.2503686428751
2001-12-14,967.2368641006703
2001-12-17,968.1472522806439
2001-12-18,960.9918383564492
2001-12-19,942.5574706852759
2001-12-20,943.0250777617694
2001-12-21,934.605194516503
2001-12-24,931.6313532655593
2001-12-25,931.6313532655595
2001-12-26,916.5848418632522
2001-12-27,893.8192301631727
2001-12-28,905.4243108618987
2001-12-31,927.1616899754914
2002-01-01,925.3567917705178
2002-01-02,931.0058986600482
2002-01-03,940.8830915046968
2002-01-04,953.8563116121999
2002-01-07,961.2898199053062
2002-01-08,967.18231292487
2002-01-09,966.8673939473111
2002-01-10,963.5513460274042
2002-01-11,960.8304140345298
2002-01-14,982.6409463552269
2002-01-15,973.2352040579409
2002-01-16,973.327408695191
2002-01-17,982.4185888087873
2002-01-18,979.4467109805311
2002-01-21,984.0724507394498
2002-01-22,979.3538378201528
2002-01-23,978.2253899357888
2002-01-24,969.8135972825645
2002-01-25,964.1069013632448
2002-01-28,959.8645860038608
2002-01-29,955.4235095773685
2002-01-30,950.9623384708495
2002-01-31,955.0275644786075
2002-02-01,967.4372230068681
2002-02-04,964.6794271214604
2002-02-05,968.787170670438
2002-02-06,1002.3605771167797
2002-02-07,1006.9414632315508
2002-02-08,1013.9617334062146
2002-02-11,1014.5620683296631
2002-02-12,1012.467844156914
2002-02-13,1021.9525200890299
2002-02-14,1037.1377628419218
2002-02-15,1049.2634942437512
2002-02-18,1056.3912809706942
2002-02-19,1043.0527571680234
2002-02-20,1035.64191932024
2002-02-21,1037.9250838176144
2002-02-22,1051.1420784395566
2002-02-25,1054.5420197308395
2002-02-26,1088.6938576067942
2002-02-27,1077.5785742739706
2002-02-28,1034.5146679893087
2002-03-01,1061.4291047752072
2002-03-04,1068.2569767172465
2002-03-05,1068.1502101460471
2002-03-06,1063.400362342994
2002-03-07,1077.3911037662867
2002-03-08,1071.554465090599
2002-03-11,1056.547554326732
2002-03-12,1042.2873550324655
2002-03-13,1053.136575730579
2002-03-14,1056.5024886600706
2002-03-15,1067.9086925249237
2002-03-18,1063.9461085190212
2002-03-19,1053.9146107680212
2002-03-20,1057.1344363328287
2002-03-21,1047.1271211470196
2002-03-22,1040.7325137918579
2002-03-25,1040.7325137918579
2002-03-26,1029.9683919272322
2002-03-27,1030.4470536619503
2002-03-28,1037.8004092774913
2002-03-29,1037.8004092774913
2002-04-01,1053.417632782144
2002-04-02,1055.4830357931546
2002-04-03,1045.9439672265414
2002-04-04,1051.7599496303155
2002-04-05,1047.4255065007349
2002-04-08,1043.697024629573
2002-04-09,1038.7881473246955
2002-04-10,1041.9485817714128
2002-04-11,1046.1916584866947
2002-04-12,1047.8412654070219
2002-04-15,1029.5726852100047
2002-04-16,1023.7351097631373
2002-04-17,1023.54017208613
2002-04-18,1023.7697492633329
2002-04-19,1003.4216695151569
2002-04-22,1001.9900065569211
2002-04-23,1003.3423852500716
2002-04-24,1009.8083971052978
2002-04-25,994.5456694251526
2002-04-26,1000.6184181708209
2002-04-29,986.0831794123554
2002-04-30,999.4379948956359
2002-05-01,999.4379948956359
2002-05-02,1009.2041596333477
2002-05-03,1008.8802257954175
2002-05-06,1013.0841458850932
2002-05-07,1018.7465285685383
2002-05-08,1022.0063746098596
2002-05-09,1030.180501087525
2002-05-10,1020.9578079683595
2002-05-13,1027.2165995608764
2002-05-14,1023.8646427974888
2002-05-15,1015.152629725056
2002-05-16,1006.6409275473633
2002-05-17,1001.0132062652872
2002-05-20,987.2147746231428
2002-05-21,961.5162794954375
