Date,CHINA ALL SHARES MINIMUM VOLATILITY(CNY)
2008-11-25,1000.0
2008-11-26,1011.203084730903
2008-11-27,1022.946076919206
2008-11-28,1020.7880301343743
2008-12-01,1028.240911145705
2008-12-02,1006.8491344824392
2008-12-03,1040.5691892739687
2008-12-04,1045.0587097644973
2008-12-05,1053.0398076584218
2008-12-08,1102.1118846627712
2008-12-09,1080.5235311620092
2008-12-10,1120.0974101406082
2008-12-11,1104.91105367201
2008-12-12,1060.2625652978518
2008-12-15,1073.6731649417159
2008-12-16,1081.0990940121508
2008-12-17,1107.1870718768832
2008-12-18,1120.4761222695208
2008-12-19,1112.9201638050206
2008-12-22,1093.7610385030293
2008-12-23,1056.7689316677581
2008-12-24,1052.829816886482
2008-12-25,1048.025667420927
2008-12-26,1045.0248094432568
2008-12-29,1050.672751177737
2008-12-30,1047.610043981116
2008-12-31,1052.6788926939116
2009-01-01,1052.6788926939116
2009-01-02,1070.8330819659618
2009-01-05,1098.9901916387569
2009-01-06,1102.8170714899552
2009-01-07,1075.0163790906017
2009-01-08,1037.7886806289955
2009-01-09,1044.2645461741351
2009-01-12,1027.4738446347872
2009-01-13,1009.8001495781281
2009-01-14,1034.2198131761768
2009-01-15,1019.8911669790408
2009-01-16,1035.3767285379024
2009-01-19,1047.9028164148408
2009-01-20,1037.7210287390822
2009-01-21,1025.6502001575823
2009-01-22,1031.9871114157088
2009-01-23,1026.52313735722
2009-01-26,1026.541954486778
2009-01-27,1026.3413134509271
2009-01-28,1026.4071305471805
2009-01-29,1040.0014850982002
2009-01-30,1047.6147993634477
2009-02-02,1038.8956843978008
2009-02-03,1054.214697635986
2009-02-04,1076.7374647405668
2009-02-05,1075.0161561091047
2009-02-06,1108.295131217759
2009-02-09,1122.6896654841637
2009-02-10,1132.3035637623284
2009-02-11,1124.6978374314078
2009-02-12,1113.2430293663206
2009-02-13,1139.870012386932
2009-02-16,1155.2572212145592
2009-02-17,1122.6445278446959
2009-02-18,1101.4344689968111
2009-02-19,1109.5933567403663
2009-02-20,1107.8952649408616
2009-02-23,1132.7622731570261
2009-02-24,1094.72996830758
2009-02-25,1104.0277170855381
2009-02-26,1072.3929044018635
2009-02-27,1064.233356903284
2009-03-02,1048.9542317978917
2009-03-03,1042.7714887564114
2009-03-04,1089.1725378930566
2009-03-05,1093.0890205098817
2009-03-06,1084.8073976791363
2009-03-09,1065.615034973036
2009-03-10,1080.8958650658578
2009-03-11,1082.6696086630998
2009-03-12,1079.6993375167349
2009-03-13,1089.9480561510777
2009-03-16,1111.8158188401876
2009-03-17,1120.8163502222271
2009-03-18,1126.5790958171588
2009-03-19,1143.3149557614836
2009-03-20,1129.3794675373613
2009-03-23,1161.7999851288093
2009-03-24,1170.597478292647
2009-03-25,1152.1143107872736
2009-03-26,1187.1847707430288
