Date,CHINA A MINIMUM VOLATILITY (USD)
2008-11-25,1000.0
2008-11-26,1004.3885358614068
2008-11-27,1016.0633471544289
2008-11-28,996.5759495847037
2008-12-01,1000.5886454197056
2008-12-02,996.6950370019758
2008-12-03,1035.9177540056946
2008-12-04,1052.1366964537815
2008-12-05,1057.0808233683567
2008-12-08,1096.7242303441367
2008-12-09,1071.7326918429176
2008-12-10,1099.6021314328048
2008-12-11,1077.5284517843525
2008-12-12,1042.6671722915116
2008-12-15,1052.3053263003662
2008-12-16,1056.3947022028017
2008-12-17,1062.5121154177987
2008-12-18,1083.6402161700098
2008-12-19,1085.5285353854056
2008-12-22,1069.6520794806318
2008-12-23,1031.2857175489073
2008-12-24,1021.0981918075265
2008-12-25,1011.4995095484629
2008-12-26,1005.4625592181611
2008-12-29,1002.6867426246573
2008-12-30,1000.1633457417984
2008-12-31,999.9656218816139
2009-01-01,999.9656218816139
2009-01-02,999.9656218816139
2009-01-05,1019.4671627365084
2009-01-06,1035.7238881206588
2009-01-07,1025.4041755068004
2009-01-08,1000.6474727822805
2009-01-09,1012.3453564484494
2009-01-12,1009.7324293500222
2009-01-13,991.7726934474092
2009-01-14,1021.4539451238193
2009-01-15,1016.1879232811388
2009-01-16,1031.377090281795
2009-01-19,1047.361618521975
2009-01-20,1048.6629645360597
2009-01-21,1040.5816481156037
2009-01-22,1047.3725209662591
2009-01-23,1042.891268243749
2009-01-26,1042.891268243749
2009-01-27,1042.891268243749
2009-01-28,1042.891268243749
2009-01-29,1042.891268243749
2009-01-30,1042.891268243749
2009-02-02,1050.5688444313435
2009-02-03,1077.0074334427616
2009-02-04,1102.034138634368
2009-02-05,1089.9546600214258
2009-02-06,1128.1756001356082
2009-02-09,1151.691852931392
2009-02-10,1162.7796009827996
2009-02-11,1171.7135688657334
2009-02-12,1163.207447256707
2009-02-13,1194.367983345275
2009-02-16,1224.055927796318
2009-02-17,1196.3541572876486
2009-02-18,1143.3537094480123
2009-02-19,1150.7940378566868
2009-02-20,1166.0447354952294
2009-02-23,1191.7091378729565
2009-02-24,1139.6138033167633
2009-02-25,1141.3815625439488
2009-02-26,1099.4042096057337
2009-02-27,1092.99423063806
2009-03-02,1095.5757321884944
2009-03-03,1080.6675611521505
2009-03-04,1144.419133323276
2009-03-05,1152.9060816236306
2009-03-06,1140.6708042950986
2009-03-09,1105.8933631672976
2009-03-10,1122.3051047631534
2009-03-11,1112.2721874027031
2009-03-12,1107.3500259149591
2009-03-13,1105.4341607956226
2009-03-16,1118.4386803036903
2009-03-17,1149.0025585383323
2009-03-18,1149.727891448538
2009-03-19,1169.5535959778842
2009-03-20,1164.3551233446951
2009-03-23,1184.073047373735
2009-03-24,1192.7070085804885
2009-03-25,1169.4667952386626
2009-03-26,1199.1025472639192
2009-03-27,1209.127515268041
2009-03-30,1206.0262913384818
2009-03-31,1215.330723982959
2009-04-01,1228.3404761214333
2009-04-02,1240.3777364430061
2009-04-03,1241.1413586741692
2009-04-06,1241.141358674169
2009-04-07,1245.143407227794
2009-04-08,1205.4865946112457
2009-04-09,1220.564715247874
2009-04-10,1248.8448597607003
2009-04-13,1271.3660861947071
2009-04-14,1275.6994827949443
2009-04-15,1280.0646521474207
2009-04-16,1279.296047230126
2009-04-17,1261.8545319811865
2009-04-20,1290.2445779741076
2009-04-21,1280.7797616750154
2009-04-22,1247.5043812247482
2009-04-23,1249.2713897803608
2009-04-24,1244.8532707262025
2009-04-27,1227.2110977088946
2009-04-28,1227.5865154360245
2009-04-29,1264.0991251690293
2009-04-30,1265.45384098962
2009-05-01,1265.45384098962
2009-05-04,1298.4929305640453
2009-05-05,1301.2828189986442
2009-05-06,1307.4533457832547
2009-05-07,1304.3385083925955
2009-05-08,1313.2181105030318
2009-05-11,1292.3918269756657
2009-05-12,1308.39522740143
2009-05-13,1313.7704933064795
2009-05-14,1301.2688929110761
2009-05-15,1304.9284046219095
2009-05-18,1310.289876083873
2009-05-19,1315.0307482082794
2009-05-20,1301.4025006158263
2009-05-21,1275.0569777149628
2009-05-22,1272.1166677829017
2009-05-25,1268.7858598689868
2009-05-26,1258.6938727511574
2009-05-27,1279.9271133980233
2009-05-28,1279.9271133980235
2009-05-29,1279.9271133980237
2009-06-01,1317.7550783516847
2009-06-02,1317.6636666409195
2009-06-03,1345.5742859582087
2009-06-04,1345.8707024210553
2009-06-05,1343.8195519393541
2009-06-08,1356.849493778645
2009-06-09,1366.6235450909028
2009-06-10,1390.9087239970884
2009-06-11,1383.614959555077
2009-06-12,1357.4478319277007
2009-06-15,1400.1702201561898
2009-06-16,1395.8933098161258
2009-06-17,1409.8214083435091
2009-06-18,1430.3352208117274
2009-06-19,1449.493160787445
2009-06-22,1457.3034575850058
2009-06-23,1463.8352380196477
2009-06-24,1469.1004324711655
2009-06-25,1470.6965143363186
2009-06-26,1475.5634578451945
2009-06-29,1498.819166909848
2009-06-30,1487.261442271307
2009-07-01,1510.7526236305985
2009-07-02,1525.667809975284
2009-07-03,1532.7824517769266
2009-07-06,1547.1363033626815
2009-07-07,1537.0462801236574
2009-07-08,1523.240682251935
2009-07-09,1542.6916309686899
2009-07-10,1543.7225697766037
2009-07-13,1531.3539907875434
2009-07-14,1567.956802786225
2009-07-15,1573.826911712814
2009-07-16,1576.1431727160511
2009-07-17,1573.741205228991
2009-07-20,1601.8195918509098
2009-07-21,1578.062555054987
2009-07-22,1600.6299401005458
2009-07-23,1618.7289490931582
2009-07-24,1627.477377018041
2009-07-27,1653.8974158761857
2009-07-28,1653.8163038563928
2009-07-29,1585.8875766877034
2009-07-30,1618.7056995587338
2009-07-31,1648.5468864474324
2009-08-03,1666.3127973297123
2009-08-04,1666.2851711512753
2009-08-05,1658.9680673799119
2009-08-06,1631.399934028294
2009-08-07,1596.7601031531253
2009-08-10,1589.7313842035587
2009-08-11,1598.8783850687266
2009-08-12,1529.8134204699822
2009-08-13,1539.7291203612697
2009-08-14,1490.3676052185408
2009-08-17,1415.7376775675964
2009-08-18,1435.9718813560014
2009-08-19,1390.0764810676558
2009-08-20,1442.8092592511123
2009-08-21,1468.1283007213392
2009-08-24,1475.4206145662738
2009-08-25,1433.9575294776955
2009-08-26,1454.0441552585469
2009-08-27,1455.619594867237
2009-08-28,1414.073013654904
2009-08-31,1333.886775800526
2009-09-01,1349.5850054841655
2009-09-02,1370.5763724571816
2009-09-03,1426.704064866355
2009-09-04,1436.195914714695
2009-09-07,1453.931355965792
2009-09-08,1475.8549561401396
2009-09-09,1473.8887585846194
2009-09-10,1467.380384313266
2009-09-11,1498.6202736225453
2009-09-14,1516.7577613569342
2009-09-15,1516.162776840827
2009-09-16,1497.1453987649468
2009-09-17,1526.2981398516663
2009-09-18,1483.9194676238828
2009-09-21,1492.3530664285256
2009-09-22,1469.3280238849563
2009-09-23,1450.6524857444995
2009-09-24,1459.4972511300512
2009-09-25,1458.7687154574025
2009-09-28,1430.1857576904356
2009-09-29,1432.2746162992187
2009-09-30,1443.785579304662
2009-10-01,1443.785579304662
2009-10-02,1443.785579304662
2009-10-05,1443.785579304662
2009-10-06,1443.785579304662
2009-10-07,1443.785579304662
2009-10-08,1443.785579304662
2009-10-09,1502.0017462018504
2009-10-12,1494.519416895148
2009-10-13,1507.6670234216197
2009-10-14,1513.1397331063322
2009-10-15,1511.6530557722174
2009-10-16,1507.6911723146218
2009-10-19,1530.3819243009693
2009-10-20,1553.4163489330797
2009-10-21,1544.744357645662
2009-10-22,1536.0277861081242
2009-10-23,1565.4496367100865
2009-10-26,1562.7440779682515
2009-10-27,1530.973109286312
2009-10-28,1531.2800780891043
2009-10-29,1503.8074803562756
2009-10-30,1519.5805479195972
2009-11-02,1567.372624755316
2009-11-03,1580.4172019850896
2009-11-04,1590.3064061540902
2009-11-05,1595.1289234271885
2009-11-06,1598.2079097341448
2009-11-09,1600.5148656479043
2009-11-10,1607.0166555876344
2009-11-11,1602.4141501032284
2009-11-12,1606.3151954919836
2009-11-13,1614.22342777034
2009-11-16,1657.2770397159275
2009-11-17,1660.426149763097
2009-11-18,1663.5737475256078
2009-11-19,1667.1810006208984
2009-11-20,1660.1850644468466
2009-11-23,1670.4054631963654
