Date,CHINA MINIMUM VOLATILITY (CNY)
2007-05-31,1000.0
2007-06-01,1010.0017586033579
2007-06-04,1013.1014518105625
2007-06-05,1021.4463171796781
2007-06-06,1024.2313287357426
2007-06-07,1022.2619861687251
2007-06-08,1010.0057021838239
2007-06-11,1016.3480902919894
2007-06-12,1017.9981546360364
2007-06-13,1015.8185302797748
2007-06-14,1034.3866896602783
2007-06-15,1049.9882501096922
2007-06-18,1084.606650448843
2007-06-19,1084.9094678075244
2007-06-20,1091.3936740815707
2007-06-21,1109.7643418347802
2007-06-22,1109.3916571999366
2007-06-25,1100.5290054624986
2007-06-26,1093.0495263123855
2007-06-27,1085.2377892502127
2007-06-28,1098.481024623559
2007-06-29,1098.5094307485208
2007-07-02,1098.308917228098
2007-07-03,1129.4039059078873
2007-07-04,1133.1829614672718
2007-07-05,1137.8623137681907
2007-07-06,1144.1474854652101
2007-07-09,1170.2548995842303
2007-07-10,1180.5659072806488
2007-07-11,1162.0462433112643
2007-07-12,1168.0014793447413
2007-07-13,1180.938778625173
2007-07-16,1169.9363497909617
2007-07-17,1173.3096361694218
2007-07-18,1153.9972371328292
2007-07-19,1161.7369813194405
2007-07-20,1184.601515351063
2007-07-23,1197.3374630242756
2007-07-24,1207.8191486863975
2007-07-25,1205.3899512478329
2007-07-26,1198.211478290608
2007-07-27,1157.3711653966946
2007-07-30,1167.7952927892125
2007-07-31,1195.9688315591036
2007-08-01,1150.2535483951765
2007-08-02,1141.995757588072
2007-08-03,1147.877162413994
2007-08-06,1106.0025526172858
2007-08-07,1096.5125800337278
2007-08-08,1135.9527362614458
2007-08-09,1141.5150020060662
2007-08-10,1103.9763041583378
2007-08-13,1109.1837877416947
2007-08-14,1115.5175147729265
2007-08-15,1079.4556456427692
2007-08-16,1020.0733854189754
2007-08-17,988.4227509217831
2007-08-20,1068.839924203203
2007-08-21,1094.1349215704277
2007-08-22,1125.2716752442848
2007-08-23,1162.4748588294237
2007-08-24,1169.3339715175002
2007-08-27,1243.2259364322954
2007-08-28,1230.604641700866
2007-08-29,1205.3780036469864
2007-08-30,1231.132092906324
2007-08-31,1263.244684572711
2007-09-03,1264.2739374378002
2007-09-04,1264.5501332192414
2007-09-05,1262.8760318350667
2007-09-06,1269.0666881267505
2007-09-07,1274.756545206554
2007-09-10,1270.4613845797785
2007-09-11,1263.504520561727
2007-09-12,1275.0625370537991
2007-09-13,1281.9525479180652
2007-09-14,1304.4020849694164
2007-09-17,1301.9225846516908
2007-09-18,1308.3225777837254
2007-09-19,1358.43711752147
2007-09-20,1376.3850799617517
2007-09-21,1380.7416939215666
2007-09-24,1427.6894206991067
2007-09-25,1415.8302786323
2007-09-26,1416.2731106239746
2007-09-27,1457.7917593109178
2007-09-28,1481.0706052288865
2007-10-01,1480.870880748631
2007-10-02,1550.6516264535478
2007-10-03,1501.9331160314453
2007-10-04,1450.4261552691462
2007-10-05,1509.3071898058727
2007-10-08,1504.0044620436188
2007-10-09,1521.0149450990773
2007-10-10,1551.3448710696528
2007-10-11,1601.9273662786384
2007-10-12,1589.5159016657558
2007-10-15,1630.6911650323766
2007-10-16,1611.776543941635
2007-10-17,1617.0300710642307
2007-10-18,1633.877543456829
2007-10-19,1634.2244388020285
2007-10-22,1568.2462177365849
2007-10-23,1623.864742600354
2007-10-24,1624.4223488152734
2007-10-25,1633.3519197414375
2007-10-26,1642.8188846608173
2007-10-29,1692.1877160389809
2007-10-30,1700.7745974870365
2007-10-31,1683.302700493396
2007-11-01,1689.3297269404093
2007-11-02,1640.6566237178606
2007-11-05,1547.12974496325
2007-11-06,1563.6090429006485
2007-11-07,1573.3057005556009
2007-11-08,1509.2398794314768
2007-11-09,1495.7352020135131
2007-11-12,1411.377943709921
2007-11-13,1408.900290719508
2007-11-14,1498.7437912156638
2007-11-15,1473.892804907245
2007-11-16,1413.8098787702202
2007-11-19,1402.5282055975144
2007-11-20,1427.2619757978423
2007-11-21,1364.740764486303
2007-11-22,1331.2748410312443
2007-11-23,1342.1564221997003
2007-11-26,1407.169934385414
2007-11-27,1386.4409724475108
2007-11-28,1396.2978388019817
2007-11-29,1451.4894350540017
2007-11-30,1461.9887681633513
2007-12-03,1459.586280034734
2007-12-04,1464.7286340027192
2007-12-05,1490.531373858728
2007-12-06,1500.9770193930578
2007-12-07,1480.6823761985395
2007-12-10,1453.4031647492163
2007-12-11,1478.692538723927
2007-12-12,1437.8124304154453
2007-12-13,1392.6407700862578
2007-12-14,1368.2836321316406
2007-12-17,1324.542562471562
2007-12-18,1324.4585568410282
2007-12-19,1348.6518701283067
2007-12-20,1353.910473915285
2007-12-21,1376.9333434967373
2007-12-24,1411.1735899024973
2007-12-25,1410.8496347238906
2007-12-26,1410.6828368390047
2007-12-27,1414.417588551491
2007-12-28,1389.1354212578356
2007-12-31,1405.3974671000612
2008-01-01,1405.3974671000612
2008-01-02,1393.4568531481048
2008-01-03,1355.081924460982
2008-01-04,1387.866822740062
2008-01-07,1360.174707582772
2008-01-08,1365.8822412841412
2008-01-09,1394.7432569145267
2008-01-10,1388.0264270895107
2008-01-11,1378.424987054132
2008-01-14,1348.3246871334811
2008-01-15,1313.5949917894977
2008-01-16,1236.103870011665
2008-01-17,1262.1760029509473
2008-01-18,1264.8915004457644
2008-01-21,1182.8840802762684
2008-01-22,1062.64419695617
2008-01-23,1170.1102487631833
2008-01-24,1147.6168672315143
2008-01-25,1231.3185500395862
2008-01-28,1172.155774656391
2008-01-29,1177.454675856548
2008-01-30,1138.6162962207518
2008-01-31,1130.4403597789108
2008-02-01,1189.4068716384688
2008-02-04,1251.344552933952
2008-02-05,1249.80854323138
2008-02-06,1175.3192399434931
2008-02-07,1175.491864616159
2008-02-08,1175.5369055101428
2008-02-11,1131.6038252674466
2008-02-12,1149.4542852852687
2008-02-13,1167.230455919014
2008-02-14,1214.9672123747791
2008-02-15,1234.4954799609502
2008-02-18,1219.009505556539
2008-02-19,1240.8023430107194
2008-02-20,1209.672723026524
2008-02-21,1208.1639359652859
2008-02-22,1190.5657182559412
2008-02-25,1180.88252224811
2008-02-26,1193.738993743286
2008-02-27,1234.971453410897
2008-02-28,1239.7684952471484
2008-02-29,1232.7837287505713
2008-03-03,1190.2076179276223
2008-03-04,1154.1237380789617
2008-03-05,1148.1128964038696
2008-03-06,1164.343533451097
2008-03-07,1129.4517515162786
2008-03-10,1122.0452213044507
2008-03-11,1128.1091492730661
2008-03-12,1146.5477856422942
2008-03-13,1083.0839852523961
2008-03-14,1066.2473026350572
2008-03-17,990.9378742413046
2008-03-18,989.5571156912787
2008-03-19,1025.8396117985346
2008-03-20,976.8139171377992
2008-03-21,977.685192437642
2008-03-24,977.1901826488869
2008-03-25,1054.311874311313
2008-03-26,1066.9575729266878
2008-03-27,1071.0171557302735
2008-03-28,1116.3586618426448
2008-03-31,1094.1390263150815
2008-04-01,1101.9783730962579
2008-04-02,1144.4568053066137
2008-04-03,1165.615234941534
2008-04-04,1165.6898450336703
2008-04-07,1188.1053126384106
2008-04-08,1169.9778020902793
2008-04-09,1139.6983287508606
2008-04-10,1152.5617732952678
2008-04-11,1182.5358857145018
2008-04-14,1126.501259661942
2008-04-15,1129.3540574139613
2008-04-16,1128.856212936743
2008-04-17,1149.286099315976
2008-04-18,1137.6997234206287
2008-04-21,1162.5237418721197
2008-04-22,1186.2355720892012
2008-04-23,1216.0515091801485
2008-04-24,1258.1179230605237
2008-04-25,1240.361231989738
2008-04-28,1246.385951959954
2008-04-29,1260.764790695082
2008-04-30,1252.3898885805618
2008-05-01,1252.6062230592652
2008-05-02,1281.1040416502665
2008-05-05,1282.7565744363428
2008-05-06,1285.9683674315768
2008-05-07,1243.9944988456855
2008-05-08,1231.342866756918
2008-05-09,1220.8184163019212
2008-05-12,1220.593676045394
2008-05-13,1240.4568027771904
2008-05-14,1241.654873648806
2008-05-15,1242.839886582248
2008-05-16,1251.1550452155107
2008-05-19,1259.2808747967292
2008-05-20,1230.3949742715504
2008-05-21,1244.1771653350856
2008-05-22,1222.4303882246345
2008-05-23,1212.5810909715226
2008-05-26,1179.335543243159
2008-05-27,1193.7987884939723
2008-05-28,1193.7101440600281
2008-05-29,1201.235737229352
2008-05-30,1212.4648478631455
2008-06-02,1232.3346119036444
2008-06-03,1197.6339786990545
2008-06-04,1182.3524181950224
2008-06-05,1177.4698621859575
2008-06-06,1187.6524436753227
2008-06-09,1187.7962290227726
2008-06-10,1128.4168099868402
2008-06-11,1120.8617896621104
2008-06-12,1106.4000728449776
2008-06-13,1085.8827882240134
2008-06-16,1114.1537482431133
2008-06-17,1113.8313356177066
2008-06-18,1132.3661413519744
2008-06-19,1098.153510479028
2008-06-20,1091.3559762051354
2008-06-23,1079.8825370575212
2008-06-24,1065.8682988577632
