Date,AC ASIA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,980.4954126663287
1999-01-05,980.5134287429117
1999-01-06,1004.3410593309807
1999-01-07,1042.451982051392
1999-01-08,1049.6657925047514
1999-01-11,1055.8190782777274
1999-01-12,1045.2687104583465
1999-01-13,999.6378731012414
1999-01-14,991.3037016431338
1999-01-15,1004.4885201810915
1999-01-18,1011.4048056420577
1999-01-19,1002.9960461315029
1999-01-20,1009.0119484426235
1999-01-21,994.5848889176954
1999-01-22,967.2112867825937
1999-01-25,955.4280557392282
1999-01-26,963.595241407881
1999-01-27,978.6821077348555
1999-01-28,966.5256316514848
1999-01-29,979.7012291203118
1999-02-01,987.709176649887
1999-02-02,985.5583060882716
1999-02-03,972.8093032134421
1999-02-04,974.488765913414
1999-02-05,955.6204212390716
1999-02-08,956.527917663796
1999-02-09,947.2467757988117
1999-02-10,936.792729566491
1999-02-11,945.1772469187853
1999-02-12,961.5955719204231
1999-02-15,959.7971911625169
1999-02-16,959.823006362893
1999-02-17,951.0842789333994
1999-02-18,949.8507488703891
1999-02-19,944.6787260641149
1999-02-22,960.2629211228129
1999-02-23,969.1443077946658
1999-02-24,981.0116647541021
1999-02-25,977.9886235569058
1999-02-26,997.0643999712339
1999-03-01,1005.253677435757
1999-03-02,994.6292545890171
1999-03-03,1003.5705266608114
1999-03-04,1006.6075138357467
1999-03-05,1034.5776261635062
1999-03-08,1039.8373800880831
1999-03-09,1055.4007233217828
1999-03-10,1064.2493636893264
1999-03-11,1071.6899918171378
1999-03-12,1073.4041935934029
1999-03-15,1089.9433265316998
1999-03-16,1108.4846367077755
1999-03-17,1100.620860971423
1999-03-18,1076.3765635519292
1999-03-19,1116.829565800932
1999-03-22,1119.2887092471394
1999-03-23,1116.110673827478
1999-03-24,1089.6552212353984
1999-03-25,1107.1214668112389
1999-03-26,1112.0985745468965
1999-03-29,1111.250263987523
1999-03-30,1119.4512722350862
1999-03-31,1128.8802363568332
1999-04-01,1142.006081960083
1999-04-02,1140.642710337507
1999-04-05,1137.7849131463104
1999-04-06,1148.7322381483248
1999-04-07,1161.4804272000908
1999-04-08,1169.5832838816823
1999-04-09,1181.9990372558593
1999-04-12,1166.7727487675238
1999-04-13,1187.4865757553866
1999-04-14,1199.540468393915
1999-04-15,1218.9505425085715
1999-04-16,1268.7809042620602
1999-04-19,1304.8425655771016
1999-04-20,1275.3499439824889
1999-04-21,1273.6685130416145
1999-04-22,1287.3679812041812
1999-04-23,1288.3602051473028
1999-04-26,1303.7522066427764
1999-04-27,1308.5920925383891
1999-04-28,1296.6050867915487
1999-04-29,1298.7003986294171
1999-04-30,1306.4429787037222
1999-05-03,1310.2044490774726
1999-05-04,1319.5665848834826
1999-05-05,1320.1557967714589
1999-05-06,1331.1737054267294
1999-05-07,1299.6856961108688
1999-05-10,1310.1740954314187
1999-05-11,1301.710420067686
1999-05-12,1313.5575749094626
1999-05-13,1318.652528637017
1999-05-14,1298.815410557217
1999-05-17,1275.9809571952112
1999-05-18,1281.498023229992
1999-05-19,1262.9291900207202
1999-05-20,1263.755835832603
1999-05-21,1265.4520390872551
1999-05-24,1272.8726134287645
1999-05-25,1264.231835895208
1999-05-26,1286.1895943582158
1999-05-27,1281.5965160992455
1999-05-28,1262.802153671463
1999-05-31,1268.451507415934
1999-06-01,1284.5307099660617
1999-06-02,1303.2185652212893
1999-06-03,1303.2015005596406
1999-06-04,1311.3403063896153
1999-06-07,1342.453413813629
1999-06-08,1341.2374527056213
1999-06-09,1340.6618489530276
1999-06-10,1347.9294854009936
1999-06-11,1353.467175361761
1999-06-14,1341.810404881089
1999-06-15,1337.5812601795058
1999-06-16,1371.1779850390838
1999-06-17,1391.7319697900045
1999-06-18,1375.4159728631464
1999-06-21,1414.5446688775019
1999-06-22,1425.0155892957641
1999-06-23,1415.9277775257383
1999-06-24,1400.2988405997469
1999-06-25,1382.8069718401603
1999-06-28,1408.2997651567096
1999-06-29,1412.5660872860283
1999-06-30,1390.5966337269924
1999-07-01,1408.5349102510058
1999-07-02,1435.091198561797
1999-07-05,1449.1488406179728
1999-07-06,1440.9840661605624
1999-07-07,1439.0446056865198
1999-07-08,1437.6910481934888
1999-07-09,1446.272159236351
1999-07-12,1448.4766923107252
1999-07-13,1434.6957580863796
1999-07-14,1413.1557935756005
1999-07-15,1415.5329207100895
1999-07-16,1403.8145230757334
1999-07-19,1417.6466151547913
1999-07-20,1387.8949901957687
1999-07-21,1369.8140243446767
1999-07-22,1361.4019375432636
1999-07-23,1340.990965027035
1999-07-26,1298.5680865202264
1999-07-27,1313.3546414892205
1999-07-28,1321.510220433638
1999-07-29,1317.4011803128694
1999-07-30,1325.2204713032572
1999-08-02,1331.6122918879341
1999-08-03,1337.0362061491605
1999-08-04,1325.1827803180186
