Date,AC ASIA PAC ex JP HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,994.0503291044241
1999-01-05,999.8944495679333
1999-01-06,1029.9427658135219
1999-01-07,1060.383644552144
1999-01-08,1068.9781756356927
1999-01-11,1083.3866937269277
1999-01-12,1088.6219293124286
1999-01-13,1044.9894927608843
1999-01-14,1032.9360870281578
1999-01-15,1045.311074294481
1999-01-18,1052.7743427018122
1999-01-19,1052.1176316594267
1999-01-20,1059.732896569256
1999-01-21,1043.6719415050252
1999-01-22,1021.1964012125218
1999-01-25,1001.277136202181
1999-01-26,1000.9033466981439
1999-01-27,1015.4894185338599
1999-01-28,1009.7070478627728
1999-01-29,1020.9673598517409
1999-02-01,1035.454408077137
1999-02-02,1030.2757218454071
1999-02-03,1035.3603189075955
1999-02-04,1044.6803932979085
1999-02-05,1039.0605215055325
1999-02-08,1039.4772587397297
1999-02-09,1034.1312448886306
1999-02-10,1013.9430537023547
1999-02-11,1024.5904550445007
1999-02-12,1040.6167834131895
1999-02-15,1039.8132127882038
1999-02-16,1035.3956872615393
1999-02-17,1029.6751640427162
1999-02-18,1031.6391212152662
1999-02-19,1044.4528984308488
1999-02-22,1053.350806243707
1999-02-23,1063.8973850085645
1999-02-24,1070.2523895529455
1999-02-25,1050.4977358955655
1999-02-26,1054.3344141096304
1999-03-01,1061.8273596517904
1999-03-02,1060.205526619542
1999-03-03,1068.555337378425
1999-03-04,1075.6312136341558
1999-03-05,1098.0959920994355
1999-03-08,1114.2136403873683
1999-03-09,1124.9555554125272
1999-03-10,1127.1662012226043
1999-03-11,1138.7547889868745
1999-03-12,1137.5000133721514
1999-03-15,1137.6405566835397
1999-03-16,1139.494130482848
1999-03-17,1130.0643017784782
1999-03-18,1125.4162867819562
1999-03-19,1151.3218111827414
1999-03-22,1163.6386031611883
1999-03-23,1169.273638216172
1999-03-24,1155.0036674285573
1999-03-25,1170.5853415793167
1999-03-26,1188.119656525409
1999-03-29,1176.598180706071
1999-03-30,1182.7276426622902
1999-03-31,1179.2252410291921
1999-04-01,1184.8382090783698
1999-04-02,1185.7375452667727
1999-04-05,1190.446645204874
1999-04-06,1186.5690752842022
1999-04-07,1193.4866249830468
1999-04-08,1188.4905707932235
1999-04-09,1209.1036278256258
1999-04-12,1195.9121721156516
1999-04-13,1219.013372469202
1999-04-14,1227.6509714300068
1999-04-15,1253.3446109350386
1999-04-16,1308.2930225158489
1999-04-19,1339.9040797514142
1999-04-20,1313.9126219303955
1999-04-21,1321.136289154662
1999-04-22,1365.382681539508
1999-04-23,1369.4586673359545
1999-04-26,1386.2305069445051
1999-04-27,1400.098853944765
1999-04-28,1382.8353025060483
1999-04-29,1397.8616054391605
1999-04-30,1409.8731177844832
1999-05-03,1410.4231889241653
1999-05-04,1416.8056341528602
1999-05-05,1399.7763885779227
1999-05-06,1388.8780380684375
1999-05-07,1346.7238519147645
1999-05-10,1348.2552041246438
1999-05-11,1345.5025677473643
1999-05-12,1356.072882283064
1999-05-13,1374.8393671889976
1999-05-14,1361.5120030483647
1999-05-17,1340.2539964518799
1999-05-18,1354.1259316785438
1999-05-19,1331.4749124093034
1999-05-20,1331.7602441037538
1999-05-21,1335.8415169370408
1999-05-24,1338.0369309787507
1999-05-25,1314.2969566698916
1999-05-26,1319.60272262316
1999-05-27,1311.5776081195802
1999-05-28,1300.6841675862465
1999-05-31,1300.969412348409
1999-06-01,1303.5692769561256
1999-06-02,1322.6536585979666
1999-06-03,1332.7022651146904
1999-06-04,1351.3711245556444
1999-06-07,1374.7174526090073
1999-06-08,1364.8751138430976
1999-06-09,1371.3460146380494
1999-06-10,1362.6567041712829
1999-06-11,1367.7729674280693
1999-06-14,1373.4151548461848
1999-06-15,1359.0270898098674
1999-06-16,1385.0352564925386
1999-06-17,1401.6258391727406
1999-06-18,1387.750569791644
1999-06-21,1410.9101585182536
1999-06-22,1421.5412335380597
1999-06-23,1419.6421779807486
1999-06-24,1401.6642493698203
1999-06-25,1387.2473783716018
1999-06-28,1408.5121233614964
1999-06-29,1409.766020522516
1999-06-30,1402.1565192022194
1999-07-01,1425.8549734359658
1999-07-02,1453.6563911205515
1999-07-05,1468.351517133271
1999-07-06,1463.0236192039513
1999-07-07,1446.7957667654957
1999-07-08,1455.614883569693
1999-07-09,1451.738017046178
1999-07-12,1454.9737801122894
1999-07-13,1441.2282725031707
1999-07-14,1420.7735662501204
1999-07-15,1430.0084458617357
1999-07-16,1418.0154482588027
1999-07-19,1419.3073934812262
1999-07-20,1392.6668322238174
1999-07-21,1374.486829792537
1999-07-22,1367.8763365583875
1999-07-23,1356.505698145045
1999-07-26,1315.118465104636
1999-07-27,1321.1815725801619
1999-07-28,1330.049333018868
1999-07-29,1320.0542763552248
1999-07-30,1315.9322531481785
1999-08-02,1323.1046359716172
