Date,AC FAR EAST ex JAPAN HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,980.960386533768
1999-01-05,986.0870150769939
1999-01-06,1016.7747941292415
1999-01-07,1049.5786261101114
1999-01-08,1064.117232675024
1999-01-11,1071.5557644153546
1999-01-12,1066.650239775404
1999-01-13,1022.7665971387911
1999-01-14,1004.5294904312848
1999-01-15,1024.5728962651262
1999-01-18,1034.985782608406
1999-01-19,1017.3740065385274
1999-01-20,1019.9558606855392
1999-01-21,995.3522903876049
1999-01-22,962.1642738669865
1999-01-25,937.6585624406713
1999-01-26,940.6184754050198
1999-01-27,965.1813566881768
1999-01-28,943.2618072153871
1999-01-29,955.1301533845503
1999-02-01,960.7780146556738
1999-02-02,953.1296238239256
1999-02-03,947.937131830364
1999-02-04,950.4673898536618
1999-02-05,927.4887451889439
1999-02-08,930.9640556718045
1999-02-09,932.1252885150307
1999-02-10,918.4332235916369
1999-02-11,927.2308785343253
1999-02-12,953.1820879890428
1999-02-15,953.5179943781046
1999-02-16,958.4054612623274
1999-02-17,953.654318771063
1999-02-18,951.7104197104024
1999-02-19,935.5215029050564
1999-02-22,946.3803115553428
1999-02-23,959.4089190143816
1999-02-24,970.4464214646626
1999-02-25,960.3725843190417
1999-02-26,997.6510005714838
1999-03-01,1005.8106671256837
1999-03-02,1005.7834754277477
1999-03-03,1011.9442807917562
1999-03-04,1020.0340876964989
1999-03-05,1045.1033476526068
1999-03-08,1064.212719709232
1999-03-09,1079.609139304605
1999-03-10,1085.9669360318521
1999-03-11,1091.6986272625775
1999-03-12,1093.3865424138141
1999-03-15,1087.5613205063335
1999-03-16,1100.2610050352976
1999-03-17,1096.3774970815375
1999-03-18,1076.9376746954001
1999-03-19,1119.3147944640796
1999-03-22,1128.8972814519889
1999-03-23,1126.8570432334193
1999-03-24,1103.606415391743
1999-03-25,1122.900065166868
1999-03-26,1139.2038100676507
1999-03-29,1129.9491567035766
1999-03-30,1142.5909291154394
1999-03-31,1144.5719644689682
1999-04-01,1149.6882453456328
1999-04-02,1162.5836346787194
1999-04-05,1169.4195915257835
1999-04-06,1168.7274641472802
1999-04-07,1196.3044196215428
1999-04-08,1196.1695965641088
1999-04-09,1217.7812703436866
1999-04-12,1195.7589331268896
1999-04-13,1216.0992132781187
1999-04-14,1215.5695643424992
1999-04-15,1253.2439495761166
1999-04-16,1313.2016390599917
1999-04-19,1362.7877244190436
1999-04-20,1334.421955030726
1999-04-21,1354.3114811562389
1999-04-22,1405.5842207276926
1999-04-23,1419.5767711078684
1999-04-26,1459.1624133462938
1999-04-27,1476.5372542489729
1999-04-28,1445.1118156227824
1999-04-29,1445.2549270484321
1999-04-30,1456.9981126961216
1999-05-03,1466.0654860003742
1999-05-04,1478.9985046633328
1999-05-05,1487.498379713929
1999-05-06,1465.5160086451199
1999-05-07,1404.5307384801988
1999-05-10,1414.2987601276495
1999-05-11,1404.7947549864775
1999-05-12,1422.3145547293693
1999-05-13,1434.5121407526226
1999-05-14,1414.5102387857075
1999-05-17,1396.0961217539868
1999-05-18,1409.4146084721797
1999-05-19,1389.8820432925882
1999-05-20,1396.925353729316
1999-05-21,1397.0014314810883
1999-05-24,1398.7942414470456
1999-05-25,1385.0606169996695
1999-05-26,1406.2146522134205
1999-05-27,1401.0435571992043
1999-05-28,1379.9223049933644
1999-05-31,1376.356471839484
1999-06-01,1394.4876844066653
1999-06-02,1410.7477049869594
1999-06-03,1415.4803652139844
1999-06-04,1425.8912541255133
1999-06-07,1463.9687172576284
1999-06-08,1455.8119446713815
1999-06-09,1458.1937521025948
1999-06-10,1447.7782280758465
1999-06-11,1465.5831940741716
1999-06-14,1475.7312119198364
1999-06-15,1463.9335123826036
1999-06-16,1506.5583737421011
1999-06-17,1520.4209898539332
1999-06-18,1510.1824297226256
1999-06-21,1557.5529137206584
1999-06-22,1575.3786648404687
1999-06-23,1577.430452246673
1999-06-24,1548.1405365778508
1999-06-25,1520.7559547783137
1999-06-28,1543.7966864040015
1999-06-29,1551.3721521420653
1999-06-30,1534.664752766807
1999-07-01,1549.1183993359
1999-07-02,1591.155105238544
1999-07-05,1610.0245779565112
1999-07-06,1598.8332352432867
1999-07-07,1573.5348614566817
1999-07-08,1570.8970590589465
1999-07-09,1571.5636242667017
1999-07-12,1570.3060430983257
1999-07-13,1546.0633847573006
1999-07-14,1504.1274023260846
1999-07-15,1514.4884907844266
1999-07-16,1486.0046638244514
1999-07-19,1487.2473764338422
1999-07-20,1462.041115561306
1999-07-21,1439.3082439237462
1999-07-22,1433.471062351241
1999-07-23,1408.8087568589451
1999-07-26,1355.0269312576033
1999-07-27,1368.0721836170424
1999-07-28,1384.4129765341663
1999-07-29,1371.4560961955963
1999-07-30,1373.1026254575174
1999-08-02,1388.2754820980247
1999-08-03,1394.5473726532202
