Date,AC ASEAN HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1004.3737151364508
1999-01-05,1011.0786452957633
1999-01-06,1061.1143767799701
1999-01-07,1100.2632572563855
1999-01-08,1146.7890688676307
1999-01-11,1143.107093494649
1999-01-12,1144.8536583484329
1999-01-13,1079.1949785069305
1999-01-14,1053.3500620820282
1999-01-15,1073.6199539370925
1999-01-18,1085.2508219268173
1999-01-19,1083.003231801633
1999-01-20,1092.5809868345807
1999-01-21,1062.807490426713
1999-01-22,1038.950191868071
1999-01-25,970.9394609645688
1999-01-26,996.9250680416746
1999-01-27,1015.2669404195143
1999-01-28,1010.9202572381596
1999-01-29,1031.6045423134633
1999-02-01,1024.0403233511624
1999-02-02,1005.0346598117198
1999-02-03,1006.5621110695961
1999-02-04,1008.8491771956514
1999-02-05,994.1097596032793
1999-02-08,973.170487032462
1999-02-09,964.8214485250933
1999-02-10,971.0068719807189
1999-02-11,1003.6270884644358
1999-02-12,998.848068573096
1999-02-15,1008.7042822931436
1999-02-16,1010.2684442570206
1999-02-17,1004.7229571273523
1999-02-18,987.954723804906
1999-02-19,1009.3796432204396
1999-02-22,1004.8497077967236
1999-02-23,1007.814763407172
1999-02-24,1011.4016311813953
1999-02-25,1008.5597995435083
1999-02-26,1029.687088884233
1999-03-01,1033.9585735309702
1999-03-02,1029.4533112682116
1999-03-03,1024.690975318952
1999-03-04,1030.980489385613
1999-03-05,1036.0003078724756
1999-03-08,1035.8288290251987
1999-03-09,1022.5347841717963
1999-03-10,1022.0827233122707
1999-03-11,1023.1276253134693
1999-03-12,1031.8746403463654
1999-03-15,1048.5514467165972
1999-03-16,1050.7003994003683
1999-03-17,1032.5607769556952
1999-03-18,1040.1374523972274
1999-03-19,1042.8339468247593
1999-03-22,1047.49288049834
1999-03-23,1053.7356204510377
1999-03-24,1048.4759829090292
1999-03-25,1062.7945359491396
1999-03-26,1073.5042036759912
1999-03-29,1073.6089300447422
1999-03-30,1078.7759213845866
1999-03-31,1090.7579603376316
1999-04-01,1094.0953736734116
1999-04-02,1097.3564518349174
1999-04-05,1119.4905915526688
1999-04-06,1121.1101406965374
1999-04-07,1148.7322775163084
1999-04-08,1147.5710723946233
1999-04-09,1158.8611216220404
1999-04-12,1154.1774126965565
1999-04-13,1171.5939444923945
1999-04-14,1205.679080673
1999-04-15,1242.071522433832
1999-04-16,1289.2579068149353
1999-04-19,1361.493297095513
1999-04-20,1321.7315369891733
1999-04-21,1348.0368904272611
1999-04-22,1358.1478725687673
1999-04-23,1347.6343689826253
1999-04-26,1359.6414785681443
1999-04-27,1365.1093708274893
1999-04-28,1374.1773197963491
1999-04-29,1383.8892070146
1999-04-30,1447.9547359551884
1999-05-03,1502.8334419332728
1999-05-04,1541.9997976737825
1999-05-05,1560.6597329518422
1999-05-06,1558.795908288612
1999-05-07,1493.1242040634347
1999-05-10,1479.390806129333
1999-05-11,1500.1135615874011
1999-05-12,1502.74757180546
1999-05-13,1491.4467619801003
1999-05-14,1501.2023095317809
1999-05-17,1520.644812839909
1999-05-18,1535.8157205230016
1999-05-19,1501.7998905764184
1999-05-20,1503.0847337433781
1999-05-21,1548.2033509982148
1999-05-24,1555.9689962181926
1999-05-25,1528.6995904416676
1999-05-26,1514.6212246104105
1999-05-27,1539.3107605034577
1999-05-28,1527.4555479385522
1999-05-31,1509.1138938722065
1999-06-01,1517.6232745120587
1999-06-02,1532.532654318725
1999-06-03,1538.9584318581285
1999-06-04,1554.4820906799891
1999-06-07,1588.0781256730684
1999-06-08,1615.0899866819118
1999-06-09,1606.4817392505047
1999-06-10,1608.889031623744
1999-06-11,1635.5240733600465
1999-06-14,1662.204296021531
1999-06-15,1672.256370518697
1999-06-16,1685.5505062074997
1999-06-17,1718.1660092691468
1999-06-18,1706.452667857233
1999-06-21,1754.1039177589582
1999-06-22,1772.9386385303974
1999-06-23,1764.120139866738
1999-06-24,1750.5774120992512
1999-06-25,1702.5007042136258
1999-06-28,1711.4012738341007
1999-06-29,1704.3499495610063
1999-06-30,1681.1801791829234
1999-07-01,1708.9716453956835
1999-07-02,1706.178773354587
1999-07-05,1703.7536077655848
1999-07-06,1701.0901142047214
1999-07-07,1672.7420228104277
1999-07-08,1691.593583790969
1999-07-09,1688.2108064617712
1999-07-12,1701.9495833700453
1999-07-13,1665.0605018606873
1999-07-14,1666.3651624605718
1999-07-15,1659.6312250915082
1999-07-16,1656.049174755064
1999-07-19,1653.4663963109049
1999-07-20,1620.1368030283195
1999-07-21,1595.0571908753402
1999-07-22,1582.3639860896596
1999-07-23,1536.6178620042874
1999-07-26,1460.4012926238731
1999-07-27,1439.8532752336937
1999-07-28,1488.7213718244918
1999-07-29,1484.9457148608178
1999-07-30,1477.2410472057752
1999-08-02,1493.3520450193907
