Date,AC ASIA PACIFIC HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,987.4050408142451
1999-01-05,987.4254336703277
1999-01-06,1016.0074469027624
1999-01-07,1050.891921982593
1999-01-08,1060.8406381697978
1999-01-11,1066.0708454343207
1999-01-12,1061.8882490147028
1999-01-13,1019.1444857895974
1999-01-14,1008.7492147356259
1999-01-15,1025.226107604224
1999-01-18,1034.0141051964868
1999-01-19,1032.623059723934
1999-01-20,1041.104165275559
1999-01-21,1031.3309355303652
1999-01-22,1006.5245851248553
1999-01-25,989.529285959312
1999-01-26,995.7894530897722
1999-01-27,1009.3618657522491
1999-01-28,1002.1976371660872
1999-01-29,1014.1593393144234
1999-02-01,1024.3370035231858
1999-02-02,1020.2688876959288
1999-02-03,1015.6491308386246
1999-02-04,1020.0403419547797
1999-02-05,1007.256845688499
1999-02-08,1009.0588576745598
1999-02-09,1000.1699676599994
1999-02-10,986.4617064869757
1999-02-11,997.1108027542783
1999-02-12,1012.2408399957785
1999-02-15,1012.4872416012379
1999-02-16,1010.0297385926135
1999-02-17,1003.4798223201004
1999-02-18,1003.6000502825387
1999-02-19,1011.0955849191648
1999-02-22,1027.981334424718
1999-02-23,1037.0885724038276
1999-02-24,1046.2045936641664
1999-02-25,1035.0263727550948
1999-02-26,1048.9016921743419
1999-03-01,1056.2456016598017
1999-03-02,1049.1983128572444
1999-03-03,1057.7869245992981
1999-03-04,1061.7899875156536
1999-03-05,1082.261284344742
1999-03-08,1093.1491818711315
1999-03-09,1106.7315428382158
1999-03-10,1110.6585567250763
1999-03-11,1120.6177076105305
1999-03-12,1120.9430269332706
1999-03-15,1133.0867478170233
1999-03-16,1140.5782550479955
1999-03-17,1131.0927349499168
1999-03-18,1116.7328950815343
1999-03-19,1149.0330541471058
1999-03-22,1156.4565677812423
1999-03-23,1158.9815623157792
1999-03-24,1139.6795958376435
1999-03-25,1154.718123348953
1999-03-26,1162.6707308713333
1999-03-29,1156.6990082233801
1999-03-30,1162.6533913591618
1999-03-31,1166.667090966608
1999-04-01,1182.2685078401973
1999-04-02,1186.4205536031327
1999-04-05,1186.3404811703988
1999-04-06,1188.5828646287152
1999-04-07,1199.403061919678
1999-04-08,1199.5054916865147
1999-04-09,1215.9494550727416
1999-04-12,1202.9536263330115
1999-04-13,1224.8262498156846
1999-04-14,1233.7624127374825
1999-04-15,1253.788670447575
1999-04-16,1300.1823439071306
1999-04-19,1333.275044695252
1999-04-20,1305.3832070425626
1999-04-21,1305.75217279809
1999-04-22,1330.215036703166
1999-04-23,1329.4092158914452
1999-04-26,1342.7713860817203
1999-04-27,1348.2312034382137
1999-04-28,1337.415254932112
1999-04-29,1341.9219760292103
1999-04-30,1353.878919150387
1999-05-03,1355.4831044729476
1999-05-04,1367.8581377335236
1999-05-05,1360.7258823731897
1999-05-06,1365.4782915386565
1999-05-07,1330.9802456415255
1999-05-10,1337.934681723137
1999-05-11,1336.8894169279242
1999-05-12,1347.413781966923
1999-05-13,1356.2133969991833
1999-05-14,1343.4892023228654
1999-05-17,1325.9030504321968
1999-05-18,1336.7559056663524
1999-05-19,1316.442647935469
1999-05-20,1312.0279532600925
1999-05-21,1315.7507480433758
1999-05-24,1316.56334845421
1999-05-25,1297.6482479271108
1999-05-26,1312.2703082957912
1999-05-27,1307.1435036231826
1999-05-28,1293.2919710508422
1999-05-31,1296.7371733875746
1999-06-01,1304.3242065475633
1999-06-02,1323.1655118351637
1999-06-03,1329.164179375445
1999-06-04,1336.1432310220405
1999-06-07,1360.7144690464079
1999-06-08,1356.324506241649
1999-06-09,1361.8849478141005
1999-06-10,1361.970523119052
1999-06-11,1367.3265120888166
1999-06-14,1363.5769316660803
1999-06-15,1355.861635511739
1999-06-16,1382.8970529084415
1999-06-17,1402.9660973632972
1999-06-18,1385.550570043385
1999-06-21,1412.9065154676573
1999-06-22,1423.4210919300367
1999-06-23,1416.2165513750185
1999-06-24,1403.592580275186
1999-06-25,1387.0018587128345
1999-06-28,1405.1305934088512
1999-06-29,1415.624938298107
1999-06-30,1403.8275138537465
1999-07-01,1425.740827160057
1999-07-02,1453.005285380632
1999-07-05,1463.7570143922221
1999-07-06,1455.220014766865
1999-07-07,1449.9569483820874
1999-07-08,1459.7988235086648
1999-07-09,1456.812913330289
1999-07-12,1458.3194537605057
1999-07-13,1446.0371861815443
1999-07-14,1427.5120853758547
1999-07-15,1432.585243188546
1999-07-16,1416.0318744031192
1999-07-19,1426.7933647908708
1999-07-20,1406.2994764025286
1999-07-21,1385.9284953574418
1999-07-22,1378.0011533685004
1999-07-23,1365.7987454096876
1999-07-26,1321.62565746326
1999-07-27,1329.188618172957
1999-07-28,1339.167112361734
1999-07-29,1331.7045295769497
1999-07-30,1337.222814074012
1999-08-02,1338.3264753857509
