Date,AC EUROPE HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0007632682475
1999-01-04,1012.9640964846081
1999-01-05,1018.3678269934089
1999-01-06,1042.5058508148884
1999-01-07,1036.7511480619328
1999-01-08,1042.5906311109159
1999-01-11,1030.2441603596349
1999-01-12,1021.6950947753627
1999-01-13,981.6928134988678
1999-01-14,979.0241757502553
1999-01-15,992.0114707758884
1999-01-18,1010.1850687553607
1999-01-19,1001.4725213495469
1999-01-20,1005.2781319290151
1999-01-21,997.5491413987435
1999-01-22,974.247817444159
1999-01-25,974.5012166151031
1999-01-26,971.2029802199089
1999-01-27,977.8112643406438
1999-01-28,988.5412503463339
1999-01-29,993.8201117601544
1999-02-01,1009.7268381504787
1999-02-02,1013.3370858722153
1999-02-03,1007.5652830854825
1999-02-04,1014.0629527684694
1999-02-05,1021.0192268425482
1999-02-08,1024.5105716471633
1999-02-09,1009.1796542761685
1999-02-10,998.1947292488926
1999-02-11,1002.9694606952056
1999-02-12,1010.1068559200887
1999-02-15,1017.340998081341
1999-02-16,1027.0253308399847
1999-02-17,1013.5248857085145
1999-02-18,1007.5390294421982
1999-02-19,1011.5053230364935
1999-02-22,1019.8061950038576
1999-02-23,1031.7787460716543
1999-02-24,1042.325405463118
1999-02-25,1032.173650614314
1999-02-26,1038.8815988083704
1999-03-01,1030.1699379817744
1999-03-02,1036.0155003935351
1999-03-03,1035.8372128672959
1999-03-04,1052.8734594519929
1999-03-05,1075.346636923235
1999-03-08,1066.7580504617417
1999-03-09,1069.3230733271782
1999-03-10,1073.7713870906243
1999-03-11,1110.594477873279
1999-03-12,1109.4444266180606
1999-03-15,1102.7882640758876
1999-03-16,1110.4169732865453
1999-03-17,1107.4631587368317
1999-03-18,1113.7111012602818
1999-03-19,1126.6577152450413
1999-03-22,1123.263435770549
1999-03-23,1108.6474434391023
1999-03-24,1101.0983040835715
1999-03-25,1114.3832210208561
1999-03-26,1122.1416131196456
1999-03-29,1140.0950480291417
1999-03-30,1135.3362546700018
1999-03-31,1133.5778419225805
1999-04-01,1124.707414057384
1999-04-02,1125.9366055800624
1999-04-05,1128.4171109358924
1999-04-06,1134.5629735036177
1999-04-07,1143.6681020003093
1999-04-08,1143.431654363326
1999-04-09,1155.4120957094551
1999-04-12,1151.607306518317
1999-04-13,1164.9917580615515
1999-04-14,1166.3508310832383
1999-04-15,1183.7237571178075
1999-04-16,1199.4861582980466
1999-04-19,1231.3465040428687
1999-04-20,1205.6426148732087
1999-04-21,1202.7815908925666
1999-04-22,1209.357034789023
1999-04-23,1206.6824232606314
1999-04-26,1214.1796333163206
1999-04-27,1231.7123845120775
1999-04-28,1236.3887340147717
1999-04-29,1242.596150084893
1999-04-30,1255.6614699218846
1999-05-03,1261.3731209873235
1999-05-04,1265.9127265416937
1999-05-05,1243.8282994725898
1999-05-06,1243.7158998715572
1999-05-07,1236.6721458749787
1999-05-10,1233.490034419165
1999-05-11,1239.0758743170054
1999-05-12,1229.4391769686938
1999-05-13,1239.5934824742485
1999-05-14,1217.535600927137
1999-05-17,1200.261961997182
1999-05-18,1204.2083580917947
1999-05-19,1212.9006954997812
1999-05-20,1222.3607239680782
1999-05-21,1226.2790463912052
1999-05-24,1225.0780998316716
1999-05-25,1213.8944533828035
1999-05-26,1220.9485341875504
1999-05-27,1212.334269057235
1999-05-28,1212.4578435263234
1999-05-31,1215.1608640491193
1999-06-01,1215.48417101816
1999-06-02,1229.8961931653903
1999-06-03,1236.699604756221
1999-06-04,1246.9307730128237
1999-06-07,1256.2318894761609
