Date,ACWI ex USA IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1023.0440400044749
2010-05-28,1022.6938809409202
2010-05-31,1028.7171313582887
2010-06-01,1022.9158173340278
2010-06-02,1026.1156478037476
2010-06-03,1041.9266232784612
2010-06-04,1034.510512210978
2010-06-07,1025.4451372732108
2010-06-08,1015.8748114211368
2010-06-09,1021.4630683185878
2010-06-10,1030.0953970751793
2010-06-11,1039.9330023527882
2010-06-14,1042.0584322261288
2010-06-15,1045.8683605393333
2010-06-16,1048.821885938735
2010-06-17,1050.0490762200113
2010-06-18,1049.069941917215
2010-06-21,1059.2608301395303
2010-06-22,1055.7833856937184
2010-06-23,1047.4290364869446
2010-06-24,1034.6734670658561
2010-06-25,1028.4348363129145
2010-06-28,1035.4182246635967
2010-06-29,1017.376551195665
2010-06-30,1014.9107819688678
2010-07-01,992.9467294586403
2010-07-02,990.5691797807243
2010-07-05,991.7574297642487
2010-07-06,1008.7838593388417
2010-07-07,1017.0955681999428
2010-07-08,1026.7228461980014
2010-07-09,1033.2558117394246
2010-07-12,1039.4288408063194
2010-07-13,1050.7166245152491
2010-07-14,1051.4711497808216
2010-07-15,1040.6312332762836
2010-07-16,1025.0355754496413
2010-07-19,1016.541249661737
2010-07-20,1019.9331588137352
2010-07-21,1029.158500833746
2010-07-22,1040.2999481525803
2010-07-23,1048.6277869618007
2010-07-26,1050.050633505811
2010-07-27,1048.276932070724
2010-07-28,1045.5838134561684
2010-07-29,1046.5471811328425
2010-07-30,1045.551913080964
2010-08-02,1062.4150004819676
2010-08-03,1063.0955224814065
2010-08-04,1068.3582655014286
2010-08-05,1067.4613070548064
2010-08-06,1058.5138093279895
2010-08-09,1071.9850937924662
2010-08-10,1068.2291091044312
2010-08-11,1057.0976843556598
2010-08-12,1058.136373610441
2010-08-13,1064.4062880916497
2010-08-16,1061.8175920504846
2010-08-17,1067.8940285473336
2010-08-18,1067.1547929387154
2010-08-19,1055.8640003334037
2010-08-20,1055.56533410342
2010-08-23,1062.8458881937459
2010-08-24,1048.0483338599993
2010-08-25,1042.753780939182
2010-08-26,1047.1012819455957
2010-08-27,1055.6758080043057
2010-08-30,1059.5817208695887
2010-08-31,1054.5319857052357
2010-09-01,1072.9511321346808
2010-09-02,1074.5481353980929
2010-09-03,1082.2918626505245
2010-09-06,1086.6102156178433
2010-09-07,1089.514029480848
2010-09-08,1096.1799938200932
2010-09-09,1103.0095208767352
2010-09-10,1103.3267877715325
2010-09-13,1107.1941458865417
2010-09-14,1104.4261379483157
2010-09-15,1101.2266040861316
2010-09-16,1093.87832799486
2010-09-17,1092.7745442945218
2010-09-20,1103.3779794788336
2010-09-21,1098.4413041070009
2010-09-22,1081.1516713356236
2010-09-23,1083.1525020873019
2010-09-24,1086.5428871425113
2010-09-27,1086.8168335541507
2010-09-28,1083.122260546428
2010-09-29,1079.9127817746692
2010-09-30,1074.6774171302939
2010-10-01,1074.4830689709208
2010-10-04,1072.799802993311
2010-10-05,1079.2184153626392
2010-10-06,1083.9814013453822
