Date,AC PACIFIC HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,986.7040675062009
1999-01-05,989.2185483577939
1999-01-06,1018.6033801366777
1999-01-07,1053.5040831174538
1999-01-08,1059.1629438938182
1999-01-11,1064.9984555442861
1999-01-12,1062.4772949810017
1999-01-13,1018.4180499606596
1999-01-14,1008.2807131690378
1999-01-15,1023.2965370163465
1999-01-18,1032.2527437001781
1999-01-19,1031.963709803741
1999-01-20,1040.8591781035955
1999-01-21,1027.158985279064
1999-01-22,1001.0370426557723
1999-01-25,985.0212136700545
1999-01-26,989.930922587626
1999-01-27,1004.6498454940918
1999-01-28,997.8789048115354
1999-01-29,1011.7282104900763
1999-02-01,1024.87509622524
1999-02-02,1022.4247518640595
1999-02-03,1017.09049071086
1999-02-04,1024.0092539428604
1999-02-05,1011.7265664944897
1999-02-08,1012.5699765584054
1999-02-09,1002.4351734692632
1999-02-10,986.3499175526524
1999-02-11,996.0337384439796
1999-02-12,1012.9451081509858
1999-02-15,1012.7997158957005
1999-02-16,1008.7024569649425
1999-02-17,1001.8595384017146
1999-02-18,1001.4572283843614
1999-02-19,1007.6576556148163
1999-02-22,1021.7090409896757
1999-02-23,1030.2022819335996
1999-02-24,1039.9208575096425
1999-02-25,1028.245381854793
1999-02-26,1038.1843309007363
1999-03-01,1045.3489236285834
1999-03-02,1037.425379191234
1999-03-03,1044.668203216391
1999-03-04,1047.7328721982262
1999-03-05,1070.4353487307674
1999-03-08,1081.3056233516097
1999-03-09,1095.5813684678742
1999-03-10,1102.700881856279
1999-03-11,1114.269885236188
1999-03-12,1115.9193440277213
1999-03-15,1128.4741418692122
1999-03-16,1137.9298963161966
1999-03-17,1129.5962335699592
1999-03-18,1111.9373531993992
1999-03-19,1146.422747352451
1999-03-22,1153.2621352155968
1999-03-23,1157.3210492057494
1999-03-24,1136.791191816964
1999-03-25,1152.5429568233753
1999-03-26,1161.373514837112
1999-03-29,1155.090302291705
1999-03-30,1160.3306299160718
1999-03-31,1163.0959703505955
1999-04-01,1178.5640059452694
1999-04-02,1179.0701679630768
1999-04-05,1181.5163069723715
1999-04-06,1184.1241200807572
1999-04-07,1196.9050710151316
1999-04-08,1196.8452243843524
1999-04-09,1216.2774632602677
1999-04-12,1203.4091122165346
1999-04-13,1226.4308424566973
1999-04-14,1234.983114911775
1999-04-15,1255.4183088269085
1999-04-16,1302.2963574933117
1999-04-19,1338.9496476167315
1999-04-20,1307.9167811268692
1999-04-21,1308.97023626145
1999-04-22,1335.5825492531762
1999-04-23,1335.0133579705093
1999-04-26,1350.6637287324195
1999-04-27,1359.363683186127
1999-04-28,1346.5424523620866
1999-04-29,1351.8346874496665
1999-04-30,1363.099506427589
1999-05-03,1362.9249717020207
1999-05-04,1372.3052804897372
1999-05-05,1364.2511499111965
1999-05-06,1370.488348282719
1999-05-07,1332.7434787261607
1999-05-10,1337.8754473315032
1999-05-11,1332.6031439050091
1999-05-12,1345.557603678823
1999-05-13,1352.3665762918035
1999-05-14,1332.4982962123968
1999-05-17,1307.7231344586428
1999-05-18,1316.406760074668
1999-05-19,1290.8288954573325
1999-05-20,1286.2954866484122
1999-05-21,1292.2777728494748
1999-05-24,1295.9519676361178
1999-05-25,1276.491261584638
1999-05-26,1294.1207805004392
1999-05-27,1290.0550524297778
1999-05-28,1278.2720311045002
1999-05-31,1278.457263512968
1999-06-01,1289.916267077202
1999-06-02,1308.5449688886647
1999-06-03,1312.4283621871361
1999-06-04,1321.6254719290087
1999-06-07,1348.3687668117195
1999-06-08,1341.2595242859422
1999-06-09,1344.831225060837
1999-06-10,1348.1918614939384
1999-06-11,1352.012076144992
1999-06-14,1345.0537580910493
1999-06-15,1338.3407488607531
1999-06-16,1366.2912663597142
1999-06-17,1384.8238792567154
1999-06-18,1369.1434390751967
1999-06-21,1397.5596434425697
1999-06-22,1409.2845144920784
1999-06-23,1405.330227508906
1999-06-24,1390.7530109744723
1999-06-25,1377.9765102448132
1999-06-28,1401.5281994450797
1999-06-29,1406.8190608770888
1999-06-30,1392.4231449764477
1999-07-01,1416.20577093699
1999-07-02,1442.1327227773368
1999-07-05,1452.4787848834346
1999-07-06,1443.1840396233058
1999-07-07,1439.2799367023385
1999-07-08,1445.3108027914366
1999-07-09,1443.976481923816
1999-07-12,1438.8032668929327
1999-07-13,1426.527906641828
1999-07-14,1405.6663479782005
1999-07-15,1412.4261338392662
1999-07-16,1400.5875455770642
1999-07-19,1409.601530676799
1999-07-20,1387.3184227527736
1999-07-21,1365.2706001785666
1999-07-22,1355.6937495414775
1999-07-23,1341.2248304321563
1999-07-26,1300.4153300003065
1999-07-27,1312.528764846316
1999-07-28,1320.9406947774896
1999-07-29,1315.635673873639
1999-07-30,1320.2439608914738
1999-08-02,1323.1641016486776
1999-08-03,1335.3461500055837
