Date,AC FAR EAST HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,978.3029691234838
1999-01-05,978.4436854396563
1999-01-06,1002.5228254524415
1999-01-07,1040.2854905226375
1999-01-08,1044.8553905890883
1999-01-11,1049.7647955376463
1999-01-12,1039.3609044568063
1999-01-13,993.902803294214
1999-01-14,986.8886940342832
1999-01-15,1001.6032398139399
1999-01-18,1007.7048629340208
1999-01-19,1000.8010193579761
1999-01-20,1006.8087350758518
1999-01-21,990.2771451381736
1999-01-22,961.9080150220133
1999-01-25,950.179300278211
1999-01-26,959.1103714640441
1999-01-27,973.3961795312231
1999-01-28,961.7712997261129
1999-01-29,975.4455950228918
1999-02-01,984.3714017736337
1999-02-02,983.6317673810502
1999-02-03,969.5875384286145
1999-02-04,972.0817941111914
1999-02-05,953.5137410479871
1999-02-08,954.5114913517898
1999-02-09,943.9930092484783
1999-02-10,933.5048103492278
1999-02-11,942.2651943848729
1999-02-12,957.8423425445218
1999-02-15,956.4900438192401
1999-02-16,955.0591649173741
1999-02-17,945.576875765907
1999-02-18,943.4252992120826
1999-02-19,936.9971555475245
1999-02-22,954.1615379207432
1999-02-23,962.7772022408051
1999-02-24,974.4199996443236
1999-02-25,971.943977444005
1999-02-26,991.8928282453464
1999-03-01,997.6337722538286
1999-03-02,985.642840588818
1999-03-03,993.7695867721844
1999-03-04,996.3229168589517
1999-03-05,1024.7632410203234
1999-03-08,1028.0536588763314
1999-03-09,1043.0526200586735
1999-03-10,1053.9521776551512
1999-03-11,1063.0878762964774
1999-03-12,1065.0096271496925
1999-03-15,1082.2731887571565
1999-03-16,1102.2868662986666
1999-03-17,1095.6506786362409
1999-03-18,1069.6103031504301
1999-03-19,1111.2612619508418
1999-03-22,1112.8394978024658
1999-03-23,1109.2993514600307
1999-03-24,1082.9210344876205
1999-03-25,1101.1540528655128
1999-03-26,1108.0645761134747
1999-03-29,1107.1863124748147
1999-03-30,1114.2034339992344
1999-03-31,1123.770550053024
1999-04-01,1137.4598933937539
1999-04-02,1135.5445083858488
1999-04-05,1134.9986370074093
1999-04-06,1146.8181534378004
1999-04-07,1159.9375070654655
1999-04-08,1169.0080223498858
1999-04-09,1183.4967910504467
1999-04-12,1168.7039804350452
1999-04-13,1190.7249118954633
1999-04-14,1203.8407753420872
1999-04-15,1224.2391977577945
1999-04-16,1273.4644591134595
1999-04-19,1312.4302758913864
1999-04-20,1281.704278916255
1999-04-21,1279.7222141726702
1999-04-22,1295.7730379379502
1999-04-23,1296.9514935632155
1999-04-26,1314.8480744949352
1999-04-27,1319.8576750812074
1999-04-28,1306.200571778379
1999-04-29,1306.83143705566
1999-04-30,1314.6095710717839
1999-05-03,1316.7828455254999
1999-05-04,1323.8133660512697
1999-05-05,1323.4581523248032
1999-05-06,1333.998150370073
1999-05-07,1300.327201360865
1999-05-10,1308.5422564962596
1999-05-11,1297.4283727988718
1999-05-12,1311.7965783411476
1999-05-13,1312.5375654899417
1999-05-14,1288.8438124376173
1999-05-17,1263.6077939652755
1999-05-18,1267.1285977625762
1999-05-19,1245.4528711330258
1999-05-20,1247.841481727146
1999-05-21,1252.7470967159534
1999-05-24,1260.1234172776146
1999-05-25,1250.6017539439224
1999-05-26,1276.4892070058459
1999-05-27,1274.7133116104776
1999-05-28,1259.0130019394446
1999-05-31,1260.5894605641404
1999-06-01,1280.3245062289093
1999-06-02,1298.5001405296305
1999-06-03,1296.302449827941
1999-06-04,1301.7503349609865
1999-06-07,1333.4045645691647
1999-06-08,1332.2750989024398
1999-06-09,1332.950106270991
1999-06-10,1341.4743570811497
1999-06-11,1349.320135699089
1999-06-14,1336.9133574132863
1999-06-15,1334.5636318328463
1999-06-16,1365.4950152549454
1999-06-17,1384.4245324253466
1999-06-18,1368.1777502859204
1999-06-21,1405.5526540488825
1999-06-22,1416.5725244548642
1999-06-23,1409.0668767035772
1999-06-24,1393.3140804203533
1999-06-25,1376.1747402013102
1999-06-28,1402.0711231524617
1999-06-29,1406.631462065547
1999-06-30,1383.513367713002
1999-07-01,1402.1008621113078
1999-07-02,1426.901202329627
1999-07-05,1435.747775950068
1999-07-06,1427.148044115493
1999-07-07,1425.718830033539
1999-07-08,1423.7634082794661
1999-07-09,1431.0204149935003
1999-07-12,1426.2353396541607
1999-07-13,1411.3419875458592
1999-07-14,1388.905919896595
1999-07-15,1392.107900524866
1999-07-16,1379.3926160368176
1999-07-19,1394.5105810227483
1999-07-20,1367.666460859192
1999-07-21,1349.5900270102156
1999-07-22,1339.3983176620775
1999-07-23,1320.0115396693257
1999-07-26,1278.6552075764805
1999-07-27,1295.1243962591248
1999-07-28,1303.479432385122
1999-07-29,1300.9309764602335
1999-07-30,1311.1875785497077
1999-08-02,1319.5300258807817
1999-08-03,1324.6123496274727
1999-08-04,1309.513714958007
