Date,WORLD ex USA SMALL CAP EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0001326158537
1999-01-04,1000.4844174283224
1999-01-05,1000.1606744852389
1999-01-06,1012.9965519286628
1999-01-07,1024.5570419546711
1999-01-08,1031.609285818254
1999-01-11,1045.133406481305
1999-01-12,1030.6341892969651
1999-01-13,997.9658183528649
1999-01-14,1002.1626540405982
1999-01-15,1006.0362126999166
1999-01-18,1010.6517299280912
1999-01-19,1016.909813253681
1999-01-20,1022.3568414857589
1999-01-21,1022.9953593550574
1999-01-22,1009.0392663306459
1999-01-25,1012.5178634316707
1999-01-26,1018.3947574532098
1999-01-27,1020.3341884786495
1999-01-28,1020.8217713948935
1999-01-29,1031.3399534786442
1999-02-01,1044.5819506040268
1999-02-02,1053.0888311389394
1999-02-03,1049.7418438295417
1999-02-04,1057.1258715977667
1999-02-05,1050.621702713259
1999-02-08,1050.2706532696413
1999-02-09,1038.7968560603456
1999-02-10,1031.5496912154654
1999-02-11,1037.16412994743
1999-02-12,1040.684515026111
1999-02-15,1040.7131726804969
1999-02-16,1037.4000936455086
1999-02-17,1025.2486917463077
1999-02-18,1020.8810909399946
1999-02-19,1028.311027295732
1999-02-22,1040.0639869421807
1999-02-23,1046.7279191078212
1999-02-24,1043.017842562011
1999-02-25,1042.1992925610678
1999-02-26,1053.0253038483204
1999-03-01,1051.3606535264096
1999-03-02,1045.7467174367769
1999-03-03,1044.3641873692998
1999-03-04,1042.7586330502272
1999-03-05,1064.9691996795723
1999-03-08,1062.2482125068152
1999-03-09,1067.2223012621246
1999-03-10,1076.4102420708437
1999-03-11,1089.8432742187074
1999-03-12,1090.9058569709161
1999-03-15,1101.1498515832652
1999-03-16,1120.9389451142158
1999-03-17,1115.547189206248
1999-03-18,1107.7887757595756
1999-03-19,1129.1893250233893
1999-03-22,1130.3549051211908
1999-03-23,1126.6985694860794
1999-03-24,1119.7689400882434
1999-03-25,1131.8387128632821
1999-03-26,1137.6588097774309
1999-03-29,1143.929931955073
1999-03-30,1135.6611108656607
1999-03-31,1147.310727013561
1999-04-01,1150.5215895391693
1999-04-02,1153.6936190575161
1999-04-05,1165.1781396554998
1999-04-06,1168.3339242434895
1999-04-07,1176.1041832391932
1999-04-08,1190.4169188406745
1999-04-09,1201.5745375548097
1999-04-12,1194.7289199821087
1999-04-13,1210.4618910381648
1999-04-14,1215.4747354606243
1999-04-15,1226.5682377188896
1999-04-16,1242.7363690545365
1999-04-19,1257.633347712329
1999-04-20,1243.5107399123651
1999-04-21,1236.5512063024587
1999-04-22,1246.4488135236654
1999-04-23,1255.101760907908
1999-04-26,1271.0375010096534
1999-04-27,1268.2610811359634
1999-04-28,1275.1472840223184
1999-04-29,1281.395720959022
1999-04-30,1290.6725161251943
1999-05-03,1293.6586622887462
1999-05-04,1291.331831930252
1999-05-05,1286.0204393137542
1999-05-06,1295.7046740155135
1999-05-07,1291.8477293125518
1999-05-10,1301.0227292519937
1999-05-11,1303.6903955817759
1999-05-12,1310.273052775227
1999-05-13,1305.533522788522
1999-05-14,1296.5330909681797
1999-05-17,1274.3930448006922
1999-05-18,1270.87035056738
1999-05-19,1256.5556455332767
1999-05-20,1261.202825887465
1999-05-21,1266.8519962285866
1999-05-24,1264.828157000412
1999-05-25,1255.4201757905669
1999-05-26,1265.5500472813737
1999-05-27,1267.3410376160573
1999-05-28,1261.7149585629902
1999-05-31,1260.100300823976
1999-06-01,1271.0515166410223
1999-06-02,1283.1351264372831
1999-06-03,1282.4788494825973
1999-06-04,1290.4989257070388
1999-06-07,1303.8721024690144
1999-06-08,1302.3193488542092
1999-06-09,1312.530832585918
1999-06-10,1320.1891925670836
1999-06-11,1327.4593234958875
1999-06-14,1326.8840008789618
1999-06-15,1322.8698518601575
1999-06-16,1343.7267547289225
1999-06-17,1356.7654283733534
1999-06-18,1346.8105586140384
1999-06-21,1361.00315197408
1999-06-22,1365.6004519180735
1999-06-23,1362.519449180793
1999-06-24,1351.306359146514
1999-06-25,1340.3539093331196
1999-06-28,1354.0902902072298
1999-06-29,1361.2369140296792
1999-06-30,1362.2259944121167
1999-07-01,1383.8457459237704
1999-07-02,1391.9577698297012
1999-07-05,1393.5423819987764
1999-07-06,1391.4416798616353
1999-07-07,1391.8697449500226
1999-07-08,1390.9717244722053
1999-07-09,1394.2038455292152
1999-07-12,1406.11107305493
1999-07-13,1402.0994440192812
1999-07-14,1409.409437071225
1999-07-15,1412.7286505585323
1999-07-16,1402.9899422748172
1999-07-19,1417.029810893576
1999-07-20,1391.4361098355246
1999-07-21,1380.840736461908
1999-07-22,1372.51972987435
1999-07-23,1369.351976262141
1999-07-26,1350.1144060415972
1999-07-27,1346.53237511912
1999-07-28,1353.936450542348
1999-07-29,1351.956453219974
1999-07-30,1354.1054732685066
1999-08-02,1349.6785478314541
