Date,EAFE SMALL CAP EQUAL WEIGHTED
1998-12-31,1000.0000000000001
1999-01-01,1000.0001410516453
1999-01-04,999.472277380126
1999-01-05,998.2642286530529
1999-01-06,1010.0255878746714
1999-01-07,1020.9091778327689
1999-01-08,1027.2800875400017
1999-01-11,1040.5207663963765
1999-01-12,1026.375855683958
1999-01-13,994.0476128297219
1999-01-14,998.8530187692627
1999-01-15,1001.5329803550607
1999-01-18,1006.9139239168909
1999-01-19,1013.9210712360771
1999-01-20,1019.4278558118433
1999-01-21,1020.5259065859767
1999-01-22,1006.4865035406979
1999-01-25,1010.3806502438804
1999-01-26,1017.205728095946
1999-01-27,1019.7153240976536
1999-01-28,1019.857477340305
1999-01-29,1030.0889984108605
1999-02-01,1042.4458498709578
1999-02-02,1051.471766540606
1999-02-03,1048.557391948266
1999-02-04,1055.5115307844196
1999-02-05,1048.9032025139131
1999-02-08,1048.4748690422289
1999-02-09,1038.2803700909083
1999-02-10,1031.0435365247997
1999-02-11,1036.0870010641138
1999-02-12,1039.6909925552454
1999-02-15,1039.4071387647464
1999-02-16,1036.601951309197
1999-02-17,1024.9784692145354
1999-02-18,1020.130385135302
1999-02-19,1027.7681919987601
1999-02-22,1039.364876804512
1999-02-23,1046.3857546176628
1999-02-24,1043.3598565974332
1999-02-25,1043.3192871351866
1999-02-26,1054.261384205921
1999-03-01,1052.1153094029803
1999-03-02,1046.244652467085
1999-03-03,1045.654710439972
1999-03-04,1042.6168667030647
1999-03-05,1065.3622884571064
1999-03-08,1062.4134341534734
1999-03-09,1067.9825935361812
1999-03-10,1077.6143746935916
1999-03-11,1090.7720369484005
1999-03-12,1092.4684111758354
1999-03-15,1103.144522931038
1999-03-16,1123.1941264506102
1999-03-17,1118.0819734012669
1999-03-18,1109.3714345583005
1999-03-19,1131.6074282468444
1999-03-22,1133.0064075472192
1999-03-23,1129.919491955289
1999-03-24,1122.4329440244396
1999-03-25,1135.226716023688
1999-03-26,1140.0556581695034
1999-03-29,1146.06098418469
1999-03-30,1138.012443612438
1999-03-31,1150.4802158296557
1999-04-01,1153.916816986394
1999-04-02,1156.863643358654
1999-04-05,1168.441296583687
1999-04-06,1172.525331110088
