Date,KOREA ESG LEADERS
2007-09-28,1000.0
2007-10-01,1011.6775719958637
2007-10-02,1033.7366761936912
2007-10-03,1033.7366761936912
2007-10-04,1032.887703260739
2007-10-05,1035.4266138666503
2007-10-08,1046.2282164891687
2007-10-09,1046.0121526221662
2007-10-10,1066.379259423203
2007-10-11,1074.589721554385
2007-10-12,1054.3006216403483
2007-10-15,1058.3996813297706
2007-10-16,1051.2870361815387
2007-10-17,1042.218195384296
2007-10-18,1056.5492602611475
2007-10-19,1040.2944428896128
2007-10-22,1010.0628412951544
2007-10-23,1032.167315112265
2007-10-24,1021.8563456665863
2007-10-25,1051.4239772876929
2007-10-26,1080.5133635111497
2007-10-29,1102.1558262743702
2007-10-30,1098.1459192390623
2007-10-31,1116.7475330614975
2007-11-01,1115.6914710908738
2007-11-02,1092.373755247396
2007-11-05,1085.1481611696474
2007-11-06,1094.3089675127262
2007-11-07,1094.5007129867174
2007-11-08,1059.131294925695
2007-11-09,1075.8227454837656
2007-11-12,1040.656035995894
2007-11-13,1037.204997325293
2007-11-14,1065.4890481150114
2007-11-15,1038.137872421362
2007-11-16,1021.7469253993486
2007-11-19,1003.1887952502318
2007-11-20,982.0774245118455
2007-11-21,942.7226805766913
2007-11-22,937.3141234413944
2007-11-23,924.6798775572772
2007-11-26,968.0837936160283
2007-11-27,972.2666403829563
2007-11-28,955.3482189265749
2007-11-29,982.532501864641
2007-11-30,999.6430421569482
2007-12-03,992.1848829346314
2007-12-04,1004.6062687491038
2007-12-05,1009.8938212239273
2007-12-06,1008.634161933836
2007-12-07,1005.6402279812735
2007-12-10,988.428749975358
2007-12-11,1007.6154593101721
2007-12-12,1009.0311270398054
2007-12-13,1011.6302477889166
2007-12-14,987.8919334651458
2007-12-17,955.3329698741761
2007-12-18,964.8662502360503
2007-12-19,964.8149002493427
2007-12-20,960.806480270572
2007-12-21,990.2672040957415
2007-12-24,1007.2339444978561
2007-12-25,1007.2339444978561
2007-12-26,997.7890446687378
2007-12-27,993.5233366408485
2007-12-28,990.1541672303299
2007-12-31,991.3580727394691
2008-01-01,991.3580727394691
2008-01-02,967.2210665671723
2008-01-03,962.5897043998315
2008-01-04,960.6296278985717
2008-01-07,940.2336325075124
2008-01-08,941.1004233902333
2008-01-09,949.4929954254228
2008-01-10,935.1599060407715
2008-01-11,912.3462535641924
2008-01-14,906.741864305952
2008-01-15,895.6343567638505
2008-01-16,871.1764536645769
2008-01-17,877.8437460914363
2008-01-18,892.2448100118332
2008-01-21,859.0092804862106
2008-01-22,818.8923765355221
2008-01-23,822.5553605182657
2008-01-24,841.6262072985327
