Date,BRAZIL ESG LEADERS
2007-09-28,1000.0
2007-10-01,1032.4560267376435
2007-10-02,1042.0809557135005
2007-10-03,1021.7675329932534
2007-10-04,1030.4085898968108
2007-10-05,1074.5204685562185
2007-10-08,1088.7767981653883
2007-10-09,1110.9446089213334
2007-10-10,1098.837739375079
2007-10-11,1081.7445437551817
2007-10-12,1074.4281653131075
2007-10-15,1067.9159789984783
2007-10-16,1024.7884407092456
2007-10-17,1063.9845926422304
2007-10-18,1061.68599329349
2007-10-19,1031.11877893002
2007-10-22,1030.208259029054
2007-10-23,1070.7891009959446
2007-10-24,1062.479593074222
2007-10-25,1060.8266779090313
2007-10-26,1101.7580638237055
2007-10-29,1117.5927408136483
2007-10-30,1106.5625717931546
2007-10-31,1131.4599614340568
2007-11-01,1099.2969684394748
2007-11-02,1094.4139864612132
2007-11-05,1080.2674183874558
2007-11-06,1109.471208738753
2007-11-07,1084.2409662984176
2007-11-08,1049.0775174801997
2007-11-09,1043.1288111966746
2007-11-12,1002.213818096089
2007-11-13,1039.5261323206873
2007-11-14,1076.1645861205766
2007-11-15,1069.9712321203979
2007-11-16,1085.2031463509343
2007-11-19,1033.7182450796154
2007-11-20,1031.1903854038633
2007-11-21,973.7661505795586
2007-11-22,979.0633681434012
2007-11-23,971.4667647213704
2007-11-26,939.375202584896
2007-11-27,950.4066253559257
2007-11-28,1029.6013065518837
2007-11-29,1039.3794171953668
2007-11-30,1077.8427769192647
2007-12-03,1073.2127518350287
2007-12-04,1061.7988464349887
2007-12-05,1087.359926082813
2007-12-06,1107.9787267556972
2007-12-07,1125.7810976891176
2007-12-10,1130.1335055023383
2007-12-11,1104.4583780939734
2007-12-12,1088.1327246187097
2007-12-13,1047.4797005986366
2007-12-14,1040.154936424614
2007-12-17,979.9419256169565
2007-12-18,1011.5765855651581
2007-12-19,1028.5700123670704
2007-12-20,1020.6745140769901
2007-12-21,1034.2173995076514
2007-12-24,1038.130278520418
2007-12-25,1038.130278520418
2007-12-26,1057.3398557288178
2007-12-27,1054.2221931383203
2007-12-28,1051.2306874462663
2007-12-31,1036.5843273065657
2008-01-01,1036.5843273065657
2008-01-02,1007.7994791161905
2008-01-03,1009.2706299158175
2008-01-04,986.7794014402383
2008-01-07,987.1259351744563
2008-01-08,1009.0738113106328
2008-01-09,1001.9148829667639
2008-01-10,1021.4482907149925
2008-01-11,1006.1795463513038
2008-01-14,1025.289064355776
2008-01-15,977.5063570640326
2008-01-16,946.2766678806577
2008-01-17,913.1960511998767
2008-01-18,903.2197605028332
2008-01-21,839.7109370718997
2008-01-22,869.1158085311035
2008-01-23,845.0514021503132
2008-01-24,905.4690752179175
2008-01-25,909.9442944607805
2008-01-28,912.180619698265
2008-01-29,918.1554476595959
2008-01-30,914.6476646830923
2008-01-31,903.1052712215716
2008-02-01,919.0794240168241
2008-02-04,919.8163720085902
2008-02-05,914.8387271586435
2008-02-06,888.0280700764722
2008-02-07,877.9411863013406
2008-02-08,871.2594723782904
2008-02-11,906.1022309687177
2008-02-12,947.9587303528667
2008-02-13,964.9548361145663
2008-02-14,952.286725953505
2008-02-15,947.8983623881309
2008-02-18,977.2728825592889
2008-02-19,965.7874963509945
2008-02-20,984.761987837685
2008-02-21,996.5412617092776
2008-02-22,1019.0011255710954
2008-02-25,1040.5611289260635
2008-02-26,1077.066389153463
2008-02-27,1101.9136786427891
2008-02-28,1099.2430951752428
2008-02-29,1062.1623248125586
2008-03-03,1084.0579353887197
2008-03-04,1066.749115494218
2008-03-05,1094.959853967846
2008-03-06,1068.1797272441104
2008-03-07,1032.7042047648233
