Date,SOUTH AFRICA ESG LEADERS
2007-09-28,1000.0
2007-10-01,998.8892528611767
2007-10-02,1029.0679246273178
2007-10-03,1066.5989162172887
2007-10-04,1066.407307812661
2007-10-05,1085.9793700446346
2007-10-08,1087.7447220385013
2007-10-09,1079.3611381236917
2007-10-10,1065.052805378471
2007-10-11,1087.54368756479
2007-10-12,1083.3864832192362
2007-10-15,1077.1832122367923
2007-10-16,1053.5076114395952
2007-10-17,1078.6440458467957
2007-10-18,1074.6642679929987
2007-10-19,1071.5255964028825
2007-10-22,1061.8979352609913
2007-10-23,1097.322197986523
2007-10-24,1109.804993726037
2007-10-25,1151.9935640118306
2007-10-26,1196.152500833385
2007-10-29,1179.522885088057
2007-10-30,1176.101530431208
2007-10-31,1188.217097649611
2007-11-01,1172.851338974365
2007-11-02,1166.7211069861362
2007-11-05,1166.6536239742843
2007-11-06,1180.2255519593589
2007-11-07,1181.7541971026337
2007-11-08,1183.213993986467
2007-11-09,1161.286733451202
2007-11-12,1135.4896513636738
2007-11-13,1145.0015821277875
2007-11-14,1168.15723214269
2007-11-15,1147.6880664602281
2007-11-16,1124.679762444189
2007-11-19,1102.697869551042
2007-11-20,1129.1496926228806
2007-11-21,1087.090725136888
2007-11-22,1093.5061830720217
2007-11-23,1085.723943980928
2007-11-26,1055.6545794775786
2007-11-27,1024.1731365561182
2007-11-28,1070.2181692372908
2007-11-29,1103.3756613343187
2007-11-30,1100.3302916805608
2007-12-03,1093.6870708548279
2007-12-04,1088.8658059719548
2007-12-05,1095.5193942264955
2007-12-06,1108.737408521618
2007-12-07,1117.9735715480856
2007-12-10,1122.2338411229166
2007-12-11,1121.2707578378966
2007-12-12,1113.9607534567367
2007-12-13,1074.6919054308846
2007-12-14,1042.5227163115267
2007-12-17,1030.7091928168586
2007-12-18,1021.6988723627654
2007-12-19,1008.0489384794055
2007-12-20,1009.2250120634558
2007-12-21,1034.2111782787192
2007-12-24,1041.2925028293587
2007-12-25,1041.2925028293587
2007-12-26,1043.2358402354932
2007-12-27,1087.976781466501
2007-12-28,1087.1544360393875
2007-12-31,1048.8963352538092
2008-01-01,1048.8963352538092
2008-01-02,1065.1866050795252
2008-01-03,1034.469337549723
2008-01-04,1028.6422073922772
2008-01-07,1013.3205754494082
2008-01-08,1027.119798836531
2008-01-09,1005.306163340806
2008-01-10,978.7789132884651
2008-01-11,973.4665414894955
2008-01-14,994.737038021079
2008-01-15,974.3856019704878
2008-01-16,928.7021636997338
2008-01-17,932.60649292314
2008-01-18,910.5712291155048
2008-01-21,862.2505821974621
2008-01-22,875.2321036454618
2008-01-23,870.4449947406001
2008-01-24,919.44454394282
2008-01-25,895.3997798263667
2008-01-28,859.6986884638883
2008-01-29,880.5367805334985
