Date,EASEA INDEX (EAFE ex JAPAN) IMI GROWTH
1994-05-31,270.470499310165
1994-06-30,265.81887336084054
1994-07-29,277.2976082287395
1994-08-31,287.1071740153574
1994-09-30,278.64917157814335
1994-10-31,286.78074395175224
1994-11-30,273.6067301397653
1994-12-30,275.7337752996871
1995-01-31,271.1368928346817
1995-02-28,277.9106764026801
1995-03-31,288.4374182199896
1995-04-28,297.8660120307201
1995-05-31,304.61991999112604
1995-06-30,310.0748044967441
1995-07-31,325.84335097848003
1995-08-31,317.7176769139004
1995-09-29,329.3105982342728
1995-10-31,326.83497402407016
1995-11-30,326.4170060712026
1995-12-29,335.1610265472015
1996-01-31,340.6016725444961
1996-02-29,349.0481221267632
1996-03-29,355.22826953341047
1996-04-30,359.93276503967365
1996-05-31,365.4261313177941
1996-06-28,369.85702384742586
1996-07-31,360.64341597244714
1996-08-30,373.5309058409499
1996-09-30,379.5150829649325
1996-10-31,388.9361228682199
1996-11-29,406.2233088022297
1996-12-31,412.69462799720975
1997-01-01,412.70896880070023
1997-01-02,407.309874203401
1997-01-03,407.77386479107207
1997-01-06,408.5692234344769
1997-01-07,409.4763577414406
1997-01-08,410.3354577527197
1997-01-09,410.57413609538816
1997-01-10,407.98642393357744
1997-01-13,410.1725108830684
1997-01-14,412.67814169527765
1997-01-15,415.3564188011932
1997-01-16,417.1987321098801
1997-01-17,415.7640633819441
1997-01-20,413.85394225708444
1997-01-21,412.14376221413346
1997-01-22,412.5212559169852
1997-01-23,412.78372103233517
1997-01-24,410.79332979461157
1997-01-27,408.4323086259127
1997-01-28,407.6901972319755
1997-01-29,406.96534104725384
1997-01-30,409.1588413456846
1997-01-31,412.0989139000185
1997-02-03,412.2095701107553
1997-02-04,412.9619100751274
1997-02-05,415.36064555469994
1997-02-06,415.390588519171
1997-02-07,415.5652689303785
1997-02-10,419.57094424377436
1997-02-11,418.2494243734493
1997-02-12,417.55645377936776
1997-02-13,418.2552323984977
1997-02-14,418.97501290787045
1997-02-17,417.1407808071161
1997-02-18,416.62566267693876
1997-02-19,416.7727430844337
1997-02-20,416.96228280479795
1997-02-21,417.7356964452665
1997-02-24,419.2833769663118
1997-02-25,421.40077979065524
1997-02-26,418.98033139524364
1997-02-27,418.7943607446426
1997-02-28,416.2755342801579
1997-03-03,414.71146538466377
1997-03-04,417.18678249854827
1997-03-05,417.53682988697915
1997-03-06,420.4209038954327
1997-03-07,420.60271265055104
1997-03-10,424.55237495597817
1997-03-11,425.510294125163
1997-03-12,421.49200707881903
1997-03-13,419.7044775977692
1997-03-14,420.45638013821764
1997-03-17,417.83004072364315
1997-03-18,415.5129410949798
1997-03-19,415.3916513229736
1997-03-20,408.7549007020179
1997-03-21,411.83213120427166
1997-03-24,411.576622845212
1997-03-25,415.49028734941857
1997-03-26,418.7201912465062
1997-03-27,422.78063586026167
1997-03-28,423.1089694584278
1997-03-31,424.37629428055385
1997-04-01,414.4231790494903
1997-04-02,413.07813358520673
1997-04-03,409.99218584501324
