Date,WORLD ex EUROPE IMI GROWTH
1994-05-31,446.1126043213605
1994-06-30,447.6082090082217
1994-07-29,448.0573552828951
1994-08-31,461.9315285173902
1994-09-30,453.3366545618904
1994-10-31,462.5230170891439
1994-11-30,439.30067869483753
1994-12-30,446.03301972350084
1995-01-31,436.2119685145093
1995-02-28,435.3981011510291
1995-03-31,457.4011906102994
1995-04-28,471.5868539984941
1995-05-31,467.9776659459052
1995-06-30,470.5973265032698
1995-07-31,497.61300979937147
1995-08-31,490.88972351778773
1995-09-29,502.49118750007057
1995-10-31,490.46687415457694
1995-11-30,512.3735100180065
1995-12-29,522.3760630135724
1996-01-31,528.4560494676482
1996-02-29,533.0784618090668
1996-03-29,542.7064916730217
1996-04-30,567.4108277739155
1996-05-31,570.1630499390999
1996-06-28,563.9020604671284
1996-07-31,528.6320442456445
1996-08-30,535.3135215130347
1996-09-30,562.1877861423635
1996-10-31,550.2224828325668
1996-11-29,575.2295818535683
1996-12-31,554.3456421213504
1997-01-01,554.3549891019683
1997-01-02,550.704512253522
1997-01-03,556.4832426650411
1997-01-06,558.8118043739462
1997-01-07,561.0195045348847
1997-01-08,556.6775389132706
1997-01-09,554.1794624184059
1997-01-10,551.6786469502123
1997-01-13,555.104494423476
1997-01-14,558.8036023910654
1997-01-15,557.5262343513033
1997-01-16,561.5691493263519
1997-01-17,563.5224695545965
1997-01-20,561.3946422240375
1997-01-21,562.4104115948334
1997-01-22,566.6607429442585
1997-01-23,561.5385243231412
1997-01-24,556.2109326689689
1997-01-27,549.0311317485326
1997-01-28,549.7465888800552
1997-01-29,552.9840247821426
1997-01-30,556.6420738866095
1997-01-31,561.3531246978841
1997-02-03,560.3684484975299
1997-02-04,560.3032474919743
1997-02-05,550.9756631819699
1997-02-06,551.5800245595358
1997-02-07,553.8715223198052
1997-02-10,552.8446846647807
1997-02-11,553.2153691153546
1997-02-12,561.0956691319526
1997-02-13,566.4068221867167
1997-02-14,566.1365082376705
1997-02-17,566.0509820069349
1997-02-18,567.51363684482
1997-02-19,566.737581982989
1997-02-20,565.9918871997176
1997-02-21,566.3414449453463
1997-02-24,570.1069426766984
1997-02-25,570.8485993038715
1997-02-26,566.9565642068329
1997-02-27,562.2842467061062
1997-02-28,557.5535943999133
1997-03-03,557.8329543244644
1997-03-04,557.4021317143071
1997-03-05,561.8277609360014
1997-03-06,557.5459793397082
1997-03-07,559.4872779519571
1997-03-10,562.5354948220127
1997-03-11,562.5600766799621
1997-03-12,558.1118473933794
1997-03-13,551.0731672786367
1997-03-14,551.0252000453426
1997-03-17,550.5238332267968
1997-03-18,550.1535536603415
1997-03-19,546.9277565017152
1997-03-20,546.3946709457759
1997-03-21,548.7029394954621
1997-03-24,547.4996831254786
1997-03-25,547.7933836962641
1997-03-26,550.6852857250234
1997-03-27,542.4963731897085
1997-03-28,541.625638846908
1997-03-31,530.7435700701988
1997-04-01,530.3781539509706
1997-04-02,528.264252629671
1997-04-03,529.6078093039159
1997-04-04,533.8495555084215
1997-04-07,533.3849952544529
1997-04-08,535.6218621175789
1997-04-09,531.1660681802878
1997-04-10,526.4873978349597
1997-04-11,517.7376267188433
