Date,EU IMI GROWTH
2007-05-31,1000.0
2007-06-01,1006.0785600317998
2007-06-04,1008.2621867964835
2007-06-05,1004.6324400195331
2007-06-06,983.8791134869591
2007-06-07,968.8983081288532
2007-06-08,959.9173478083565
2007-06-11,971.1248546710339
2007-06-12,965.0182437776166
2007-06-13,969.585582444993
2007-06-14,985.5331249724067
2007-06-15,1002.6651321375056
2007-06-18,1001.7739821933471
2007-06-19,997.7136925267113
2007-06-20,1001.8791146496982
2007-06-21,990.6097800254407
2007-06-22,990.2775165499295
2007-06-25,990.6776943643853
2007-06-26,986.096715887975
2007-06-27,980.7350170694237
2007-06-28,993.3988597536365
2007-06-29,1001.6741724722928
2007-07-02,1008.0079103705494
2007-07-03,1017.4213797269226
2007-07-04,1023.566898713529
2007-07-05,1017.0091958566377
2007-07-06,1024.3550995982396
2007-07-09,1027.7088510697558
2007-07-10,1023.172424914072
2007-07-11,1027.3298922796107
2007-07-12,1040.2469911259113
2007-07-13,1044.2973741378626
2007-07-16,1044.552185755731
2007-07-17,1040.185474740174
2007-07-18,1031.0441137888138
2007-07-19,1043.5337366819556
2007-07-20,1034.0953534885841
2007-07-23,1039.6902875541405
2007-07-24,1024.8250185203663
2007-07-25,1007.3701037912394
2007-07-26,977.1749193571525
2007-07-27,965.546931585358
2007-07-30,967.674290750932
2007-07-31,988.2832611906308
2007-08-01,971.2282192321994
2007-08-02,980.0865188885675
2007-08-03,975.0673831256651
2007-08-06,966.195472249048
2007-08-07,973.8074989292812
2007-08-08,998.0029195258323
2007-08-09,974.723408415658
2007-08-10,944.0530514365018
2007-08-13,959.9837016131354
2007-08-14,945.9481468213654
2007-08-15,934.021606595693
2007-08-16,890.9880446715589
2007-08-17,912.5059899152327
2007-08-20,918.4304898016835
2007-08-21,919.9875663681248
2007-08-22,942.8177834984142
2007-08-23,949.9287496284421
2007-08-24,959.387387361239
2007-08-27,961.3501916200595
2007-08-28,946.0227925519359
2007-08-29,952.8220358468321
2007-08-30,965.9360524493096
2007-08-31,980.3144200597749
2007-09-03,981.4029620776431
