Date,EAFE ex ISRAEL IMI GROWTH
2010-05-26,1000.0
2010-05-27,1026.8572394441228
2010-05-28,1033.3169196719487
2010-05-31,1033.009044575364
2010-06-01,1035.4124629563291
2010-06-02,1025.731113233022
2010-06-03,1046.3691741709808
2010-06-04,1026.8958488091432
2010-06-07,1003.1235960602704
2010-06-08,1001.5104444288202
2010-06-09,1019.0699926302483
2010-06-10,1037.6868792966138
2010-06-11,1040.3907743690202
2010-06-14,1066.460971223039
2010-06-15,1073.1003361994312
2010-06-16,1080.3680489064825
2010-06-17,1081.4581453738542
2010-06-18,1084.1502468611136
2010-06-21,1101.241819191903
2010-06-22,1090.8760512529648
2010-06-23,1076.7326166738526
2010-06-24,1070.9787702254578
2010-06-25,1060.1918681467716
2010-06-28,1069.5119162336073
2010-06-29,1037.6814257259698
2010-06-30,1032.3943472656115
2010-07-01,1022.3681386486994
2010-07-02,1030.2432135831739
2010-07-05,1026.3224047563301
2010-07-06,1055.7576705919682
2010-07-07,1058.9178916883986
2010-07-08,1074.0529887245523
2010-07-09,1077.8944587324095
2010-07-12,1077.446013188096
2010-07-13,1094.2467277525375
2010-07-14,1105.0216825865377
2010-07-15,1104.659112589697
2010-07-16,1091.032976773376
2010-07-19,1082.7489085420384
2010-07-20,1078.3204588819126
2010-07-21,1083.7477142746125
2010-07-22,1100.9916400952648
2010-07-23,1109.4604775444855
2010-07-26,1121.0174857912314
2010-07-27,1120.6362304423608
2010-07-28,1126.3951102312342
2010-07-29,1127.6668933833544
2010-07-30,1120.0126268209983
2010-08-02,1149.184647001721
2010-08-03,1156.7053415047321
2010-08-04,1145.2634321701628
2010-08-05,1147.934288197846
2010-08-06,1152.3948689733584
2010-08-09,1156.8938002737925
2010-08-10,1138.3553800787618
2010-08-11,1107.2424067546785
2010-08-12,1100.7845036436427
2010-08-13,1101.1966356919704
2010-08-16,1109.2444557382
2010-08-17,1118.2994087456475
2010-08-18,1118.0642299106228
2010-08-19,1114.4170660052232
2010-08-20,1092.0232333687181
2010-08-23,1093.876252931653
2010-08-24,1082.9704949725704
2010-08-25,1068.0655858004186
2010-08-26,1084.3141815695576
2010-08-27,1089.5260198377614
2010-08-30,1095.097735512161
2010-08-31,1089.0746228926776
2010-09-01,1119.6203882134125
2010-09-02,1125.267051404152
2010-09-03,1134.629809418339
2010-09-06,1143.406755769608
2010-09-07,1132.5997257558802
2010-09-08,1136.075792919948
2010-09-09,1148.0126988728066
2010-09-10,1147.361258503738
2010-09-13,1165.5606111019565
2010-09-14,1174.3031899983685
2010-09-15,1173.9722682239633
2010-09-16,1169.3045751590453
2010-09-17,1170.090566227093
2010-09-20,1183.305430989178
2010-09-21,1182.9643129585902
2010-09-22,1192.5630732778682
2010-09-23,1189.6069153174567
2010-09-24,1203.72349895842
2010-09-27,1207.5106884664349
2010-09-28,1211.0808183955173
2010-09-29,1213.9923327364722
2010-09-30,1206.6456876069676
2010-10-01,1211.409494801287
2010-10-04,1204.7173756976024
2010-10-05,1225.110668496187
2010-10-06,1239.634920796266
2010-10-07,1243.1450472963954
2010-10-08,1242.3808556993947
2010-10-11,1244.191211272358
2010-10-12,1234.7301491652254
2010-10-13,1254.110185746615
2010-10-14,1269.1290062509433
2010-10-15,1261.5360935280664
2010-10-18,1259.7484324233308
2010-10-19,1240.955714936236
2010-10-20,1254.819487263638
2010-10-21,1261.2318637049375
2010-10-22,1254.02525885198
2010-10-25,1266.946178493857
2010-10-26,1252.8644577742486
2010-10-27,1236.6071201493237
2010-10-28,1249.4415539271838
2010-10-29,1248.5043863567118
2010-11-01,1251.101446364642
2010-11-02,1262.5066441165052
2010-11-03,1259.980979387208
2010-11-04,1298.33300595918
2010-11-05,1300.3774513656026
2010-11-08,1296.2185572190779
2010-11-09,1301.2053840911124
2010-11-10,1276.7839263644853
2010-11-11,1278.889244753575
2010-11-12,1270.008846341586
2010-11-15,1269.4833575942123
2010-11-16,1244.0963298181723
2010-11-17,1246.4337845101225
2010-11-18,1268.1583891008295
2010-11-19,1265.712492398377
2010-11-22,1263.1222501857565
2010-11-23,1239.5992048047153
2010-11-24,1244.4985595729877
2010-11-25,1250.1962795317334
2010-11-26,1234.3384278317308
2010-11-29,1216.754178169093
2010-11-30,1209.4248868774134
2010-12-01,1227.6257003164742
2010-12-02,1256.535485943175
2010-12-03,1275.4027531959487
2010-12-06,1272.8730335281132
2010-12-07,1283.0772270796272
2010-12-08,1271.2887496564601
2010-12-09,1271.8376209151213
2010-12-10,1274.9401192513662
2010-12-13,1293.1024707543818
2010-12-14,1296.7141205228581
2010-12-15,1286.381739107818
2010-12-16,1279.7503493930396
2010-12-17,1276.1739658899512
2010-12-20,1278.8198862932059
2010-12-21,1293.8326717764874
2010-12-22,1295.3338841047082
2010-12-23,1296.550192982886
2010-12-24,1297.6497027083838
2010-12-27,1295.0319057634367
2010-12-28,1299.0020190697526
2010-12-29,1304.0664720198088
2010-12-30,1302.184224887095
2010-12-31,1309.4242800723284
2011-01-03,1309.2084048833992
2011-01-04,1314.6569484161428
2011-01-05,1295.9670021707336
2011-01-06,1296.124781757379
2011-01-07,1294.4714817791714
2011-01-10,1285.303530192522
2011-01-11,1293.81493999603
2011-01-12,1310.8652620638204
2011-01-13,1323.6745861593865
2011-01-14,1319.1615668602985
2011-01-17,1316.1693631726812
2011-01-18,1330.8375721775346
2011-01-19,1329.201722201984
2011-01-20,1297.0870819441704
2011-01-21,1305.5121088372337
