Date,WORLD ex USA IMI GROWTH
1994-05-31,448.2097320716143
1994-06-30,456.6878585575606
1994-07-29,457.43925105119916
1994-08-31,466.7710488893842
1994-09-30,454.4108052357815
1994-10-31,465.24823416247824
1994-11-30,439.14956729491445
1994-12-30,445.6291962038334
1995-01-31,428.9504102056395
1995-02-28,421.60694057800725
1995-03-31,446.7810683868339
1995-04-28,464.5130612485105
1995-05-31,455.6771667965937
1995-06-30,449.78009282586913
1995-07-31,477.4268448797683
1995-08-31,462.6227617467925
1995-09-29,472.5213820842147
1995-10-31,458.91505771382003
1995-11-30,470.55558911344843
1995-12-29,486.7044094193361
1996-01-31,486.6741334911961
1996-02-29,489.28810642892813
1996-03-29,502.63827318981396
1996-04-30,520.1984959234937
1996-05-31,513.8037959761627
1996-06-28,516.0334367989315
1996-07-31,496.6944000409141
1996-08-30,498.97642394044567
1996-09-30,509.06039901595125
1996-10-31,503.013041880823
1996-11-29,515.6907768843893
1996-12-31,505.08478365452277
1997-01-01,505.09532532829905
1997-01-02,501.6033462181806
1997-01-03,501.20923114631813
1997-01-06,503.804433105955
1997-01-07,502.27172889033847
1997-01-08,499.9264957016051
1997-01-09,494.75576784966233
1997-01-10,487.17420569888543
1997-01-13,493.2267992244446
1997-01-14,494.7158099702253
1997-01-15,496.4674791506769
1997-01-16,500.1625201705138
1997-01-17,497.41578463512263
1997-01-20,491.5325933279101
1997-01-21,488.6966595104745
1997-01-22,490.71405113274636
1997-01-23,488.51333498896037
1997-01-24,485.95828773319687
1997-01-27,480.43785370850577
1997-01-28,479.60465705844945
1997-01-29,480.5730456950011
1997-01-30,480.15775303044177
1997-01-31,485.70208267834533
1997-02-03,485.2188557931136
1997-02-04,486.0579337196687
1997-02-05,483.84702968641716
1997-02-06,482.745722550552
1997-02-07,480.3816791751622
1997-02-10,487.0168725422436
1997-02-11,485.77559341626056
1997-02-12,485.9657301322117
1997-02-13,487.8272361109661
1997-02-14,489.5433207005791
1997-02-17,488.0636143699761
1997-02-18,486.9840014278211
1997-02-19,486.8544715752036
1997-02-20,491.8942463245628
1997-02-21,495.2692574223268
1997-02-24,497.3303833746087
1997-02-25,499.0247372473715
1997-02-26,495.7128318564592
1997-02-27,497.1436377506918
1997-02-28,492.2941765547765
1997-03-03,489.5348730447451
1997-03-04,491.14764953674586
1997-03-05,490.4400124073551
