Date,BRIC WITH BRAZIL + INDIA + RUSSIA DR
2010-02-26,1000.0
2010-03-01,1020.5724223382093
2010-03-02,1030.7532236540574
2010-03-03,1033.0779559704667
2010-03-04,1023.9696786039688
2010-03-05,1041.9640745133777
2010-03-08,1051.6050875353149
2010-03-09,1055.4999320765025
2010-03-10,1061.1513936509728
2010-03-11,1061.4736268702147
2010-03-12,1061.2658610026451
2010-03-15,1051.7400253936587
2010-03-16,1057.9839133525547
2010-03-17,1068.1230974417326
2010-03-18,1059.7466748931317
2010-03-19,1052.4616106600145
2010-03-22,1044.2827283242682
2010-03-23,1048.3067541451467
2010-03-24,1041.3725861170308
2010-03-25,1032.7744205763363
2010-03-26,1038.523670221561
2010-03-29,1058.5456288207415
2010-03-30,1066.6606913623896
2010-03-31,1068.2187502630557
2010-04-01,1091.328814931701
2010-04-02,1091.3495742707676
2010-04-05,1095.1448576478992
2010-04-06,1098.2951223802136
2010-04-07,1103.1569680843768
2010-04-08,1102.3187485664996
2010-04-09,1113.4557078631342
2010-04-12,1106.3576200253187
2010-04-13,1100.8378336753537
2010-04-14,1109.880356517238
2010-04-15,1107.5844767168728
2010-04-16,1084.5647469479259
2010-04-19,1066.9357194588224
2010-04-20,1079.476629040869
2010-04-21,1072.1382933241218
2010-04-22,1070.395881467498
2010-04-23,1072.1700080491726
2010-04-26,1081.9724094478122
2010-04-27,1053.7881664732367
2010-04-28,1045.9120932039473
2010-04-29,1056.3276776018422
2010-04-30,1061.39434671323
2010-05-03,1050.052657455477
2010-05-04,1022.0765240510917
2010-05-05,999.7945387774375
2010-05-06,974.3736032417743
2010-05-07,959.0283463472358
2010-05-10,1013.5494370699068
2010-05-11,996.2371561542814
2010-05-12,1004.7365623464711
2010-05-13,1008.6155265304526
2010-05-14,989.2252210191417
2010-05-17,969.7860619549513
2010-05-18,969.0473948871106
2010-05-19,941.7280164444782
2010-05-20,912.7825825165035
2010-05-21,927.7300786846629
2010-05-24,929.7848958564405
2010-05-25,898.074320202967
2010-05-26,921.1510850967552
2010-05-27,956.5600770109215
2010-05-28,964.6275536381501
2010-05-31,966.4044262102963
2010-06-01,951.8567622182884
2010-06-02,963.752773624804
2010-06-03,971.317803993449
2010-06-04,955.8420314039614
2010-06-07,935.0754568742359
2010-06-08,942.4216775165766
2010-06-09,946.3674730428518
2010-06-10,963.8322310808113
2010-06-11,972.6798943481906
2010-06-14,978.3969476414006
2010-06-15,991.0715705885127
2010-06-16,992.1837526588673
2010-06-17,991.9142967596956
2010-06-18,996.2316731899326
2010-06-21,1025.9499159531613
2010-06-22,1012.553459838898
2010-06-23,1009.3361978037312
2010-06-24,996.4168003941651
2010-06-25,997.1472872770591
2010-06-28,994.5963207060181
2010-06-29,960.642378486956
