Date,GOLDEN DRAGON WITH PARTIAL A SHARES
2008-11-25,1000.0
2008-11-26,1023.0751821686979
2008-11-27,1049.6332403558201
2008-11-28,1068.1418465496618
2008-12-01,1084.8779378259528
2008-12-02,1036.9611178515531
2008-12-03,1044.8122521100504
2008-12-04,1037.7378597857671
2008-12-05,1051.9256559928567
2008-12-08,1131.6138505793763
2008-12-09,1123.957104648541
2008-12-10,1185.060423242933
2008-12-11,1187.2616286177756
2008-12-12,1125.8199047299354
2008-12-15,1154.224357201785
2008-12-16,1162.4730113955957
2008-12-17,1192.8524614515622
2008-12-18,1209.1225397713447
2008-12-19,1192.1709849691981
2008-12-22,1150.9270391583707
2008-12-23,1112.0257254496391
2008-12-24,1111.1041584353325
2008-12-25,1109.6750968994236
2008-12-26,1111.1271318655347
2008-12-29,1123.0011694281127
2008-12-30,1134.3531376157896
2008-12-31,1144.4867982115802
2009-01-01,1144.4867982115802
2009-01-02,1177.1117261233826
2009-01-05,1216.9670893840682
2009-01-06,1218.672053895631
2009-01-07,1197.4208934375627
2009-01-08,1138.7555863627065
2009-01-09,1131.6828309530795
2009-01-12,1101.1170808960321
2009-01-13,1089.8511602024853
2009-01-14,1098.0669926675678
2009-01-15,1058.185345779501
2009-01-16,1067.439316574927
2009-01-19,1075.2971182220206
2009-01-20,1049.6258399815083
2009-01-21,1031.7225185508166
2009-01-22,1033.8865387851495
2009-01-23,1027.1756748996818
2009-01-26,1027.2035344786646
2009-01-27,1026.9064766958368
2009-01-28,1027.003921770332
2009-01-29,1055.7362312804896
2009-01-30,1069.081661129864
2009-02-02,1047.0004620432596
2009-02-03,1052.5220706122977
2009-02-04,1073.1521513197451
2009-02-05,1078.0873472282317
2009-02-06,1110.5986980802743
2009-02-09,1119.5738543503041
2009-02-10,1123.6939413310422
2009-02-11,1110.608767958421
2009-02-12,1084.5011763597354
2009-02-13,1111.1681134205
2009-02-16,1105.6377013529225
2009-02-17,1065.9611043546674
2009-02-18,1071.6883511016356
2009-02-19,1077.2832942616863
2009-02-20,1051.0615758694748
2009-02-23,1081.599753967679
2009-02-24,1054.6237182021464
2009-02-25,1069.7031639461204
2009-02-26,1056.3695528050207
2009-02-27,1052.5214795607649
2009-03-02,1010.8715520670185
2009-03-03,1013.0401387704644
2009-03-04,1045.5273869506111
2009-03-05,1046.2049470221784
2009-03-06,1035.7060199822276
2009-03-09,1021.1701708267595
2009-03-10,1037.0402345505395
2009-03-11,1058.2161653269259
2009-03-12,1057.62356820882
2009-03-13,1094.9381106747403
2009-03-16,1126.0136415271347
2009-03-17,1121.5610936178675
2009-03-18,1132.4805680501545
2009-03-19,1142.4888706337654
2009-03-20,1119.613580765604
2009-03-23,1174.4973780899045
2009-03-24,1199.2080502411497
2009-03-25,1190.6068616190225
2009-03-26,1223.9072023934725
2009-03-27,1225.1787223112442
2009-03-30,1171.4348258311052
2009-03-31,1180.9634762489143
2009-04-01,1188.381261678534
2009-04-02,1251.577532700277
2009-04-03,1257.076848770583
2009-04-06,1280.1207302304356
2009-04-07,1268.8714150900425
2009-04-08,1233.1609989515096
2009-04-09,1271.8513028630866
2009-04-10,1278.845956013667
2009-04-13,1285.2175245228298
2009-04-14,1323.4935010385832
2009-04-15,1330.3880670287035
2009-04-16,1331.6576426766867
2009-04-17,1316.6595818047215
2009-04-20,1332.4528521071686
2009-04-21,1315.1791556710318
2009-04-22,1291.3963073611599
2009-04-23,1311.462644039964
2009-04-24,1316.1908560018462
2009-04-27,1275.8363027925573
2009-04-28,1253.065036918197
2009-04-29,1285.8954095497402
2009-04-30,1347.412839749531
2009-05-01,1347.424717445642
2009-05-04,1428.5051857839082
2009-05-05,1434.7496066596045
2009-05-06,1464.6954831659632
2009-05-07,1473.4920438286722
2009-05-08,1484.4204207733671
2009-05-11,1469.1832511599382
2009-05-12,1450.7390971652185
2009-05-13,1461.5970095254606
2009-05-14,1422.8880568388615
2009-05-15,1445.8771381076874
2009-05-18,1469.0477602439682
2009-05-19,1502.556028981846
2009-05-20,1503.633466082063
2009-05-21,1492.5990893346188
2009-05-22,1483.9417328646728
2009-05-25,1492.053342585328
2009-05-26,1485.2325302177603
2009-05-27,1549.0482270990296
2009-05-28,1549.0618465011535
2009-05-29,1571.8615892218181
2009-06-01,1627.7706621362895
2009-06-02,1602.189960021279
2009-06-03,1617.197564606644
2009-06-04,1595.9609953369975
2009-06-05,1610.0634187481517
2009-06-08,1575.2073584383193
2009-06-09,1545.8319530998256
2009-06-10,1593.4352290793302
2009-06-11,1597.7707904524611
2009-06-12,1585.0412036879272
2009-06-15,1545.402628821957
2009-06-16,1522.1754169508692
2009-06-17,1517.6686911864101
2009-06-18,1499.3203793419702
2009-06-19,1512.6586724725587
2009-06-22,1529.9562347852159
2009-06-23,1489.0058928062713
2009-06-24,1526.8022788942758
2009-06-25,1553.9736954676991
2009-06-26,1579.8459990386175
2009-06-29,1571.8893613942287
2009-06-30,1562.3896041575485
2009-07-01,1573.722300144303
2009-07-02,1573.470713919212
2009-07-03,1575.5054161604644
2009-07-06,1562.5169730122448
2009-07-07,1557.1457369689422
2009-07-08,1542.268980905421
2009-07-09,1555.2116198026408
2009-07-10,1552.984911346945
2009-07-13,1509.6563673546427
2009-07-14,1553.8828126749572
2009-07-15,1588.3422052294497
2009-07-16,1596.861110627615
2009-07-17,1625.674995866916
2009-07-20,1673.7506478009027
2009-07-21,1674.4445582498167
2009-07-22,1664.4014267929906
2009-07-23,1695.9859658347636
2009-07-24,1706.0560686113586
2009-07-27,1734.1338644440004
2009-07-28,1767.6885942591332
2009-07-29,1723.6862537158302
2009-07-30,1722.5327152559673
2009-07-31,1747.33049586485
2009-08-03,1767.3646187361041
2009-08-04,1749.0959328429974
2009-08-05,1721.7510320583895
2009-08-06,1737.6506990318069
2009-08-07,1702.4172153698182
2009-08-10,1730.307125749424
2009-08-11,1740.5785618801297
2009-08-12,1704.2619875229666
2009-08-13,1735.3891408184047
2009-08-14,1736.2472726540336
2009-08-17,1676.065789496297
2009-08-18,1672.426867215339
2009-08-19,1653.4327174023133
2009-08-20,1675.1789849183551
2009-08-21,1665.053477167476
2009-08-24,1699.9780562865892
2009-08-25,1689.93543381193
2009-08-26,1683.0110500735484
2009-08-27,1666.6908538075074
2009-08-28,1665.9053339041025
2009-08-31,1640.9232615144283
2009-09-01,1665.7508692281322
2009-09-02,1648.48437574097
2009-09-03,1675.8616154680378
2009-09-04,1713.4605315887031
2009-09-07,1737.8214339492956
2009-09-08,1768.4655040841333
2009-09-09,1753.8150142784257
2009-09-10,1775.6380743044951
2009-09-11,1779.5754952553143
2009-09-14,1761.0186005214218
2009-09-15,1761.1202213395202
2009-09-16,1795.3028019187057
2009-09-17,1816.3609041520056
2009-09-18,1806.335772556958
2009-09-21,1793.3011844804957
2009-09-22,1802.3761678819592
2009-09-23,1793.363066193134
2009-09-24,1759.2952070732206
2009-09-25,1760.5392376700534
2009-09-28,1726.3187131358955
2009-09-29,1762.4925971069692
2009-09-30,1769.4658868788952
2009-10-01,1774.2249508649668
2009-10-02,1731.4500113773342
2009-10-05,1736.4734793593884
2009-10-06,1772.081261859595
2009-10-07,1802.6189657956438
2009-10-08,1806.0232659874443
2009-10-09,1813.165961360408
2009-10-12,1802.3028878167706
2009-10-13,1812.4853632114305
2009-10-14,1845.0823381830826
2009-10-15,1852.1915298315353
2009-10-16,1844.6596365150056
2009-10-19,1865.64167315547
2009-10-20,1880.0414228414897
2009-10-21,1873.1386074451102
2009-10-22,1858.9127952342396
2009-10-23,1882.747403139718
2009-10-26,1884.6320089881817
2009-10-27,1862.7161852767892
2009-10-28,1828.7010345454762
2009-10-29,1783.3321210702409
2009-10-30,1812.2743179197641
2009-11-02,1807.3761860351433
2009-11-03,1785.7857171027217
2009-11-04,1820.2433865577739
2009-11-05,1811.8981177034639
2009-11-06,1834.652565073738
2009-11-09,1861.5071987820631
2009-11-10,1869.454967657978
2009-11-11,1887.2825883920968
2009-11-12,1879.8575130532074
2009-11-13,1887.5611864987645
2009-11-16,1917.5009247425787
2009-11-17,1913.5183123349593
2009-11-18,1909.8929663135684
2009-11-19,1898.1064279735162
2009-11-20,1878.1436529549396
2009-11-23,1896.5847184055929
2009-11-24,1881.935301094333
2009-11-25,1897.9329432859597
2009-11-26,1878.456671606098
2009-11-27,1803.5974868386568
2009-11-30,1851.7213387305226
2009-12-01,1876.7962307726216
2009-12-02,1892.5354145223812
2009-12-03,1910.39994973628
2009-12-04,1905.40386052358
2009-12-07,1906.3666228425266
2009-12-08,1895.0708217023357
2009-12-09,1876.942427735526
2009-12-10,1863.6250748655111
2009-12-11,1883.942801435722
2009-12-14,1892.7489550867251
2009-12-15,1878.0993964190952
2009-12-16,1857.2952686394456
2009-12-17,1837.714462940123
2009-12-18,1821.7228161056423
2009-12-21,1812.994092344929
2009-12-22,1827.3674532222026
2009-12-23,1846.920793546117
2009-12-24,1865.0135552381737
2009-12-25,1864.6969982916412
2009-12-28,1872.4255760928222
2009-12-29,1873.0744741834446
2009-12-30,1878.4056597764584
2009-12-31,1910.3488824834737
2010-01-01,1910.3488824834737
2010-01-04,1917.1431689279418
2010-01-05,1949.1840659376967
2010-01-06,1964.203659894188
2010-01-07,1948.5153014220011
2010-01-08,1951.4865656758352
2010-01-11,1964.829175146441
2010-01-12,1961.2499543157007
2010-01-13,1913.6988090724603
2010-01-14,1922.02993305854
2010-01-15,1923.9634585213514
2010-01-18,1909.5210486035444
2010-01-19,1917.7303834893396
2010-01-20,1893.3225075149433
2010-01-21,1854.6832363852764
2010-01-22,1828.662205370095
2010-01-25,1819.067629702986
2010-01-26,1763.34286358656
2010-01-27,1750.7052161551676
2010-01-28,1779.2592829074483
2010-01-29,1765.3945083768922
2010-02-01,1762.3900859481234
2010-02-02,1761.608721467525
2010-02-03,1802.884519617544
2010-02-04,1778.8990766391903
2010-02-05,1712.4604765663257
2010-02-08,1702.9874512205986
2010-02-09,1727.6143215298243
2010-02-10,1745.2006088590229
2010-02-11,1767.3759557428225
2010-02-12,1768.6245621630496
2010-02-15,1768.4529971349034
2010-02-16,1768.6401613923342
2010-02-17,1782.895994020859
2010-02-18,1775.346185908509
2010-02-19,1744.0906644716385
2010-02-22,1778.9953885777945
2010-02-23,1794.3462340801418
2010-02-24,1781.1991890940826
2010-02-25,1765.956173333774
2010-02-26,1779.6772057476044
2010-03-01,1818.3409621738122
2010-03-02,1823.211528343298
2010-03-03,1824.6080831491572
2010-03-04,1801.9839492686808
2010-03-05,1823.7171906488118
2010-03-08,1860.0005480102193
2010-03-09,1862.772743458032
2010-03-10,1867.5140854876568
2010-03-11,1865.6744460755224
2010-03-12,1864.203446528558
2010-03-15,1843.4536863017968
2010-03-16,1844.387294910938
2010-03-17,1881.8857898220408
2010-03-18,1881.243235860737
2010-03-19,1886.3213798752404
2010-03-22,1854.8954065192333
2010-03-23,1852.0041695182224
2010-03-24,1855.718316280835
2010-03-25,1846.8100422320115
2010-03-26,1865.2272747674156
2010-03-29,1885.123831939483
2010-03-30,1895.8544827744527
2010-03-31,1883.241697033859
2010-04-01,1912.8954517994946
2010-04-02,1913.6042687804743
2010-04-05,1913.798964310417
2010-04-06,1921.57281607349
2010-04-07,1952.609030646302
2010-04-08,1938.9556988417305
2010-04-09,1958.8162381830532
2010-04-12,1951.0690561433782
2010-04-13,1938.0477874289263
2010-04-14,1946.449256823275
2010-04-15,1952.4377011885415
2010-04-16,1924.3470582889117
2010-04-19,1877.9485782887216
2010-04-20,1896.3976360404279
2010-04-21,1902.324882673212
2010-04-22,1895.0231252164276
2010-04-23,1888.1531532617462
2010-04-26,1922.1882554754222
2010-04-27,1902.2615738447848
2010-04-28,1877.7218069486862
2010-04-29,1863.784772050087
2010-04-30,1883.9607140964235
2010-05-03,1862.8010336703744
2010-05-04,1856.4178347147538
2010-05-05,1807.2241338952392
2010-05-06,1776.588510745359
2010-05-07,1766.0309164586686
2010-05-10,1802.567525084963
2010-05-11,1782.7906947985994
2010-05-12,1780.7716736200373
2010-05-13,1813.2939664698094
2010-05-14,1798.5177478385515
2010-05-17,1749.6221850879012
2010-05-18,1761.8407366843953
2010-05-19,1731.1643874051265
2010-05-20,1710.0913216014608
2010-05-21,1698.9929931526806
2010-05-24,1722.2760554527017
2010-05-25,1656.9220103386037
2010-05-26,1683.0473036700384
2010-05-27,1714.0983458013277
2010-05-28,1743.0982192801052
