Date,EFM EUROPE + CIS (E+C) ex RU
2002-05-31,173.55497255775066
2002-06-03,175.8215870766616
2002-06-04,175.97935464355544
2002-06-05,175.30127100984686
2002-06-06,175.6502265258719
2002-06-07,172.4883386949952
2002-06-10,170.41876179996922
2002-06-11,168.9969042227303
2002-06-12,168.2034679637712
2002-06-13,168.30057022702363
2002-06-14,163.1582231870782
2002-06-17,161.96486372067997
2002-06-18,164.0317253881905
2002-06-19,161.7751205679011
2002-06-20,159.94638548774563
2002-06-21,161.14798535529127
2002-06-24,157.60352025370804
2002-06-25,155.95014355116655
2002-06-26,149.9825588225048
2002-06-27,152.86059724750857
2002-06-28,152.5091478004542
2002-07-01,155.82014645302368
2002-07-02,149.57791883296207
2002-07-03,149.7513227775018
2002-07-04,149.98529680030774
2002-07-05,151.80517934551708
2002-07-08,149.77411846820937
2002-07-09,149.99853913847798
2002-07-10,149.98593808794826
2002-07-11,146.30279085567554
2002-07-12,148.42863726632893
2002-07-15,147.48199330154893
2002-07-16,148.51583849389425
2002-07-17,155.5289720001505
2002-07-18,154.41493828423378
2002-07-19,153.12269318332793
2002-07-22,146.81286778956107
2002-07-23,146.05537040869405
2002-07-24,137.86616605068326
2002-07-25,140.3547001615015
2002-07-26,141.2911196642164
2002-07-29,141.93924666224837
2002-07-30,144.29927801354435
2002-07-31,144.7251026992839
2002-08-01,147.3711022392373
2002-08-02,148.39381401165926
2002-08-05,145.7774457659365
2002-08-06,145.24192880026368
2002-08-07,144.2232016315106
2002-08-08,144.58638556114408
2002-08-09,143.85419580231192
2002-08-12,143.46843573308354
2002-08-13,145.26425067741377
2002-08-14,145.39201719129008
2002-08-15,145.15741924688368
2002-08-16,146.4007589014641
2002-08-19,146.0371815623396
2002-08-20,145.30002078802048
2002-08-21,148.53701226311497
2002-08-22,148.7682976152472
2002-08-23,149.99947615073285
2002-08-26,151.22691465485846
2002-08-27,153.1434409041486
2002-08-28,151.7889793023652
2002-08-29,150.7205385430465
2002-08-30,152.41701666229903
2002-09-02,151.72325478738588
2002-09-03,148.12932761842154
2002-09-04,148.32523115930871
2002-09-05,147.11797683693683
2002-09-06,150.08259237151776
2002-09-09,149.2843624511998
2002-09-10,149.79856530706712
2002-09-11,151.82261280563634
2002-09-12,148.75182167420087
2002-09-13,148.12033974915852
2002-09-16,147.48828676103747
2002-09-17,148.99131162023957
2002-09-18,148.49289666653087
2002-09-19,148.07797502825747
2002-09-20,149.24622186118484
2002-09-23,148.0840306253828
2002-09-24,145.56258839484528
2002-09-25,147.09172238474162
2002-09-26,146.5533908853006
2002-09-27,144.83008784862207
2002-09-30,144.32408170851568
2002-10-01,143.8691049779953
2002-10-02,143.0207569462882
2002-10-03,142.7004261955302
2002-10-04,141.26117073375278
2002-10-07,139.64105345934306
2002-10-08,138.519936061269
2002-10-09,139.1780075837659
2002-10-10,141.85051544216492
2002-10-11,143.22301382456277
2002-10-14,142.244499223777
2002-10-15,146.04806302238947
2002-10-16,143.9638978279024
2002-10-17,145.9463826313885
2002-10-18,147.59435089644182
2002-10-21,150.97869740199346
2002-10-22,152.66972800083855
2002-10-23,151.72579305023942
2002-10-24,152.52026467055063
2002-10-25,151.74767009149033
2002-10-28,155.57983546614076
2002-10-29,155.56626015435037
2002-10-30,156.04985516877375
2002-10-31,157.95583607685361
2002-11-01,158.6632391280976
2002-11-04,161.92053986252483
2002-11-05,165.5473337608678
2002-11-06,164.46092737225817
2002-11-07,171.40107612649973
2002-11-08,172.77695286440587
2002-11-11,171.3785641861005
2002-11-12,169.35897352811216
2002-11-13,170.58065190696058
2002-11-14,174.5574850334588
2002-11-15,176.73600302427434
2002-11-18,180.52842247398837
2002-11-19,176.68764275488948
2002-11-20,174.53826697489532
2002-11-21,179.87986681341027
2002-11-22,179.84842494581304
2002-11-25,180.16505266864837
2002-11-26,178.15497132564985
2002-11-27,179.49044629089374
2002-11-28,178.77129741286026
2002-11-29,179.720795389252
2002-12-02,182.55606447150723
2002-12-03,180.31773848584723
2002-12-04,178.75234179801598
2002-12-05,179.6015885428647
2002-12-06,177.97009946080897
2002-12-09,176.08445720581162
2002-12-10,176.51525310025255
2002-12-11,173.69310695820877
2002-12-12,177.3318662527746
2002-12-13,178.34139319821062
2002-12-16,176.55565621483643
2002-12-17,172.65696410253278
2002-12-18,169.07344979759338
2002-12-19,166.73710953934415
2002-12-20,166.68093039065954
2002-12-23,166.48910111621962
2002-12-24,165.76430905274498
2002-12-25,167.02130215627523
2002-12-26,166.27120670553964
2002-12-27,167.64700685315887
2002-12-30,167.3454826223118
2002-12-31,167.81074938225888
2003-01-01,167.81074938225888
2003-01-02,168.7847195786826
2003-01-03,172.63178177432394
2003-01-06,171.08310447799906
2003-01-07,167.68427450462093
2003-01-08,167.28189147642317
2003-01-09,168.11027927337582
2003-01-10,169.69152079989806
2003-01-13,172.7225295974904
2003-01-14,172.012575618467
2003-01-15,173.00264826369016
2003-01-16,172.3351975855891
2003-01-17,170.24190836702107
2003-01-20,169.87005355781628
2003-01-21,168.4660397597322
2003-01-22,165.93565474450187
2003-01-23,168.42644754172304
2003-01-24,167.93722838803538
2003-01-27,167.10359912744866
2003-01-28,167.43813241905784
2003-01-29,168.19874253327
2003-01-30,167.77606338235577
2003-01-31,166.7733227932186
2003-02-03,168.89350981429723
2003-02-04,166.69572101482595
2003-02-05,165.73668647583182
2003-02-06,164.59054525682674
2003-02-07,166.2174228913186
2003-02-10,165.9738948267399
2003-02-11,166.33870170011033
