Date,EFM ASEAN
2006-11-30,1000.0
2006-12-01,1006.1997824336541
2006-12-04,1003.8066364892237
2006-12-05,1024.2365194652275
2006-12-06,1031.3701123269454
2006-12-07,1031.2147889853647
2006-12-08,1025.7242673495725
2006-12-11,1023.5915228435828
2006-12-12,1020.7948888034823
2006-12-13,1016.1830763590889
2006-12-14,1014.6624854975504
2006-12-15,1026.2286523854796
2006-12-18,1014.5449383158149
2006-12-19,949.8774723702029
2006-12-20,988.6395573187765
2006-12-21,986.2001872231755
2006-12-22,987.1734264982026
2006-12-25,988.131872835171
2006-12-26,988.5437393716168
2006-12-27,1000.4716535571775
2006-12-28,1001.0032164854211
2006-12-29,1008.4751266699723
2007-01-01,1008.4768638157258
2007-01-02,1016.4188003879237
2007-01-03,1021.0500044969722
2007-01-04,1011.7096705101669
2007-01-05,1005.516024987142
2007-01-08,998.6763272742281
2007-01-09,992.8640759305831
2007-01-10,978.8059394931903
2007-01-11,980.7531377097959
2007-01-12,986.9266583290171
2007-01-15,1006.0250266950535
2007-01-16,1018.1206098939593
2007-01-17,1017.0968334760532
2007-01-18,1027.1377969053956
2007-01-19,1033.968643081625
2007-01-22,1042.4330878355163
2007-01-23,1046.3633034233303
2007-01-24,1057.5216475533175
2007-01-25,1047.6702302395963
2007-01-26,1048.9020856685574
2007-01-29,1044.3417061660293
2007-01-30,1047.4152836428893
2007-01-31,1048.2349879771286
2007-02-01,1047.4119381579508
2007-02-02,1065.7816830078796
2007-02-05,1077.4778709053742
2007-02-06,1082.687708917453
2007-02-07,1085.7255301113978
2007-02-08,1085.531109456147
2007-02-09,1086.6982611551502
2007-02-12,1082.8218405407686
2007-02-13,1076.5623815777476
2007-02-14,1091.990337500507
2007-02-15,1103.1787387179616
2007-02-16,1101.2324071663936
2007-02-19,1094.6186273339029
2007-02-20,1099.7489280872178
2007-02-21,1104.916770170019
2007-02-22,1102.7374831781592
2007-02-23,1104.970728122896
2007-02-26,1096.1017582102638
2007-02-27,1073.8172841041883
2007-02-28,1042.454602268982
2007-03-01,1045.1100470258887
2007-03-02,1038.4087817487634
2007-03-05,1006.2063426865914
2007-03-06,1018.9770708369604
2007-03-07,1032.8147706052694
2007-03-08,1047.565700748516
2007-03-09,1049.4358244592133
2007-03-12,1060.4336794600054
2007-03-13,1059.115602933019
2007-03-14,1033.1618866564584
2007-03-15,1040.1549764999306
2007-03-16,1043.5066599671968
2007-03-19,1046.6721824298668
2007-03-20,1057.3026468721298
2007-03-21,1069.8198472816641
2007-03-22,1087.0943234913495
2007-03-23,1072.5299328233905
2007-03-26,1079.0389619071161
2007-03-27,1083.3493205940015
2007-03-28,1069.027243236832
2007-03-29,1073.1508956843838
2007-03-30,1083.2622074404674
2007-04-02,1087.373071383736
2007-04-03,1104.610875083845
2007-04-04,1120.5914439943583
2007-04-05,1120.266897229441
2007-04-06,1119.6142805873383
2007-04-09,1128.2731255782437
2007-04-10,1134.1871655612497
2007-04-11,1138.7547004485355
2007-04-12,1134.2938921829711
