Date,MSCI EAFE Top 100 Select Index
1997-01-01,1255.337830137346
1997-01-02,1241.2102631813175
1997-01-03,1240.0817767939852
1997-01-06,1246.327125170793
1997-01-07,1239.7855223463102
1997-01-08,1233.517128901059
1997-01-09,1217.5164284075856
1997-01-10,1195.107778217983
1997-01-13,1213.262366850707
1997-01-14,1219.9358336392636
1997-01-15,1224.9973989590994
1997-01-16,1233.294670264187
1997-01-17,1223.3327746063053
1997-01-20,1204.8987745874963
1997-01-21,1200.1362782506071
1997-01-22,1209.1606256607465
1997-01-23,1205.1060232203395
1997-01-24,1196.7846675245498
1997-01-27,1180.7321127951377
1997-01-28,1181.0737160911792
1997-01-29,1183.0343802499542
1997-01-30,1182.8468276904412
1997-01-31,1197.4722209226043
1997-02-03,1195.6126809606774
1997-02-04,1198.7550489576354
1997-02-05,1197.7628234325787
1997-02-06,1195.6770792221434
1997-02-07,1191.9663782242844
1997-02-10,1208.6030578648179
1997-02-11,1205.139203500771
1997-02-12,1208.699025596154
1997-02-13,1213.701228727289
1997-02-14,1220.145488996
1997-02-17,1218.69531944404
1997-02-18,1215.4168023609857
1997-02-19,1214.601643092236
1997-02-20,1227.7087248872274
1997-02-21,1233.7671004669726
1997-02-24,1238.9760737232846
1997-02-25,1246.3697805542363
1997-02-26,1237.9054145368818
1997-02-27,1242.941872316009
1997-02-28,1226.433615798087
1997-03-03,1219.247066104218
1997-03-04,1227.5054930560245
1997-03-05,1224.0038978795749
1997-03-06,1224.4773471587528
1997-03-07,1226.6223148973427
1997-03-10,1236.8588622495445
1997-03-11,1242.5721152654328
1997-03-12,1231.8174249769625
1997-03-13,1220.2259566016114
1997-03-14,1223.9587150219497
1997-03-17,1217.299113723081
1997-03-18,1225.0755596168674
1997-03-19,1229.4947760608977
1997-03-20,1210.9484749825256
1997-03-21,1224.2193041843855
1997-03-24,1215.8996608869106
1997-03-25,1228.3164774877891
1997-03-26,1241.0618676287725
1997-03-27,1246.58291928975
1997-03-28,1242.9101211488637
1997-03-31,1243.333599460372
1997-04-01,1220.3566625757924
1997-04-02,1222.9050956450114
1997-04-03,1216.091492044368
1997-04-04,1211.4124490957347
