Date,ASEAN
2006-11-30,1000.0
2006-12-01,1003.2595547044209
2006-12-04,1004.7433664284771
2006-12-05,1026.0432189461578
2006-12-06,1027.6523143047039
2006-12-07,1028.9496061238306
2006-12-08,1019.6158540371865
2006-12-11,1022.0517490721722
2006-12-12,1022.6642837431024
2006-12-13,1017.8290892932932
2006-12-14,1022.2750317901878
2006-12-15,1032.0921213084468
2006-12-18,1030.5337276439207
2006-12-19,984.7015028601267
2006-12-20,1009.4887254863258
2006-12-21,1007.7465472934766
2006-12-22,1013.0316185019321
2006-12-25,1013.5623498538478
2006-12-26,1013.1222735336322
2006-12-27,1023.6118365482438
2006-12-28,1025.5863032279656
2006-12-29,1033.860231303022
2007-01-01,1033.861195982816
2007-01-02,1039.5411211845453
2007-01-03,1049.446078986878
2007-01-04,1041.188823441557
2007-01-05,1037.9228049643198
2007-01-08,1027.3025467351022
2007-01-09,1024.7774787022079
2007-01-10,1008.5034689461098
2007-01-11,1010.0927903660586
2007-01-12,1019.633741007811
2007-01-15,1035.4809396287317
2007-01-16,1043.7937919483854
2007-01-17,1043.7352117068804
2007-01-18,1052.8501290517997
2007-01-19,1059.5039603928428
2007-01-22,1075.6081936478035
2007-01-23,1076.4094538910379
2007-01-24,1085.3007852130859
2007-01-25,1071.3304604123143
2007-01-26,1067.7388560996817
2007-01-29,1071.4397420954729
2007-01-30,1073.6371374167015
2007-01-31,1073.97563596917
2007-02-01,1082.3891151932996
2007-02-02,1103.5437660787086
2007-02-05,1111.2474058545822
2007-02-06,1113.2013043419934
2007-02-07,1117.1981029059582
2007-02-08,1112.5048464771492
2007-02-09,1113.913246966878
2007-02-12,1100.9258688030352
2007-02-13,1092.227637601494
2007-02-14,1108.327131935081
2007-02-15,1126.8305710573825
2007-02-16,1125.1810822144696
2007-02-19,1121.2402538046383
2007-02-20,1123.3531393775695
2007-02-21,1135.4560306081178
2007-02-22,1132.7044266502392
2007-02-23,1136.8434432313998
2007-02-26,1132.7496756126873
2007-02-27,1109.86692741497
2007-02-28,1070.5508701431952
2007-03-01,1068.4232282972264
2007-03-02,1063.8959179061349
2007-03-05,1029.8573675086043
2007-03-06,1046.8841486627186
2007-03-07,1057.6334741713727
2007-03-08,1074.9557003604014
2007-03-09,1079.0521970753314
2007-03-12,1093.7019329223995
2007-03-13,1086.8101586660193
2007-03-14,1055.0311274189144
2007-03-15,1067.6582220245148
2007-03-16,1066.8876399167295
2007-03-19,1076.3629210857491
2007-03-20,1082.171012681117
2007-03-21,1097.2649997310136
2007-03-22,1119.9960081439026
2007-03-23,1109.495994250711
2007-03-26,1111.8905199171397
2007-03-27,1120.1104356211467
2007-03-28,1104.8941642816173
2007-03-29,1112.0614524719865
2007-03-30,1117.1468611060793
2007-04-02,1119.6685551527462
2007-04-03,1136.3993412346028
2007-04-04,1155.2905999190655
2007-04-05,1157.1175899674429
2007-04-06,1156.754054009081
2007-04-09,1171.708124797072
2007-04-10,1178.0648854964518
2007-04-11,1178.9468583018313
2007-04-12,1166.660708802977
2007-04-13,1169.9942027716656
2007-04-16,1184.6957408214942
2007-04-17,1188.3928724934378
2007-04-18,1186.4259738547755
2007-04-19,1154.235584533682
2007-04-20,1172.0162030172612
2007-04-23,1179.373158048473
2007-04-24,1173.2635448346343
2007-04-25,1174.8320446475561
2007-04-26,1184.6174539804088
2007-04-27,1185.1468758033268
2007-04-30,1171.8253384301695
